Site	Measurement_location	Sub_Site_Number	Coal	Region	Easting	Northing	Type_of_site	Type_of_measurement
Horden	Shaft_Log	40.1	Y	North_East	444225	541858	Pumped	ECT_Log_2006
Horden	Shaft_Log	40.1	Y	North_East	444225	541858	Pumped	ECT_Log_2005
Horden	Shaft_Log	40.1	Y	North_East	444225	541858	Pumped	ECT_Log_2004
Horden	Shaft_Log	40.1	Y	North_East	444225	541858	Pumped	ECT_Log_12/2003
Horden	Shaft_Log	40.1	Y	North_East	444225	541858	Pumped	ECT_Log_9/2003
Horden	Cascade	40.45	Y	North_East	444370	542030	Pumped	Temperature_logger
Horden	Shaft	40.1	Y	North_East	444225	541858	Pumped	Logger_data
Joppa_Day_Level	Weir	315.1	Y	Scotland	331500	673512	Discharge	Water_Level_Logger
Kames	No_1_Shaft_	369.1	Y	Scotland	268481	626239	Passive	Temperature_Logger
Karva	Borehole_	805.1	Y	East_Midlands_			Shaft_	Temperature_logger_
Kingshill	Raw_Pipe_Outflow_(Point_A)	417.1	Y	Scotland	285512	657314	Discharge	On_Site_Testing
Langton	Shaft	451.1	Y	East_Midlands	447468	355059	Shaft	ECT_Log_2013
Langton_	No.7_Shaft	451.1	Y	East_Midlands_	447468	355059	Shaft_	Water_level_logger
Langwith	Shaft	761.1	Y	East_Midlands	452915	370692	Shaft	ECT_Log_2017
Lathallan_Milll	Upwelling_Discharge	610.1	Y	Scotland	346460	706300	Discharge	On_Site_Testing
Leacroft_	Monitoring_Borehole	640.1	Y	West_Midlands_	400028	309714	Borehole_	ETC_Log_2019_
Leven_4_BH	Borehole_water_level	633.1	Y	Scotland	336451	699870	Monitoring_borehole	Water_Level_Logger
Littleton_	Monitoring_Borehole	782.1	Y	West_Midlands_	397028	312532	Borehole_	ETC_Log_2019_
Lynemouth	Shaft	708.1	Y	North_East	429829	590469	Pumped	On_Site_Testing
Lynemouth_No1_Shaft	Shaft	708.1	Y	North_East	429829	590469	Shaft	ECT_Log_2010
Michael	Shaft	164.1	Y	Scotland	333568	696104	Pumped	On_Site_Testing
Monckton_Coke_Works_BH	Borehole_Log						Monitoring_borehole	ECT_Log_2012
Morlais_	Shaft_discharge	528.10	Y	South_Wales	257225	202234	Pumped	Temperature_logger
Mosside_BH	Borehole	259.1	Y	Scotland	297800	667000	Monitoring_borehole	Water_Level_Logger
Niddrie_(Wisp)_BH	Borehole	740.1	Y	Scotland	330720	671326	Monitoring_borehole	Water_Level_Logger
Pegswood_Busty_BH	Borehole_water_level	442.1	Y	North_East_	423947	587378	Monitoring_borehole	Water_level_logger
Pennyvennie_No.3			Y	Scotland	248655	606625		On_Site_Testing
Polkemmet_No1_Shaft	Shaft	135.1	Y	Scotland	293410	663992	Shaft	Logger_data
Randolph_BH	Borehole_water_level	222.1	Y	Scotland	330442	695632	Monitoring_borehole	Water_Level_Logger
Rigside_BH	Borehole	634.1	Y	Scotland	286850	635552	Monitoring_borehole	Water_Level_Logger
Saltburn	Pumping_borehole		N	#N/A	#N/A	#N/A	Pumped	On_Site_Testing
Silverdale_	Top_of_Cascade	457.8	Y	West_Midlands_	382060	346770	Pumped	Temperature_logger
Six_Bells_(Vivian)	Cascade	444.25	Y	South_Wales	321830	203635	Pumped	Temperature_logger
Six_Bells_(Vivian)	Pumping_borehole	444.1	Y	South_Wales	321951	203548	Pumped	Logger_data
Star_Road	Discharge				329600	702500	Discharge	On_Site_Testing
Stony_Heap	Borehole	382.1	Y	North_East	414785	551565	Borehole	ECT_Log_2009
Taff_Merthyr	Raw_Mine_Water	527.1	Y	South_Wales_	310290	199020	Pumped	Temperature_logger
Tollcross_Burn	Borehole		Y	Scotland	267400	664900	Monitoring_borehole	On_Site_Testing
West_Cannock_No_5_	Aquifer_Borehole_	491.1	Y	West_Midlands_	401033	314133	Borehole_	ETC_Log_2019_
West_Cannock_No_5_	Seam_Borehole_	491.2	Y	West_Midlands_	400951	314158	Borehole_	ETC_Log_2019_
Whitrigg_BH	Borehole	258.1	Y	Scotland	297500	664900	Monitoring_borehole	Water_Level_Logger
Williamthorpe	Shaft	484.1	Y	East_Midlands	442738	366611	Shaft	ECT_Log_2017
Wilsontown_(Mousewater)_	Raw_Discharge	416.1	Y	Scotland	294870	653248	Passive	Temperature_Logger
Woodside_	Shaft	530.1	Y	East_Midlands	444765	344463	Shaft	ECT_Log_2010
Woodside_	Shaft	530.1	Y	East_Midlands	444765	344463	Shaft	Logger_data
Woolley__	Stepped_Cascade_Top_Inlet	83.15	Y	Yorkshire_	430572	411510	Pumped_	Temperature_logger
