summary,Climate Hydrology Ecology Support System subset,
originalResource,{"url":"https://eip.ceh.ac.uk/apps/chess/","title":"EIP | CHESS"},
metadataURL,https://catalogue.ceh.ac.uk/documents/80887755-1426-4dab-a4a6-250919d5020c,https://catalogue.ceh.ac.uk/documents/d329f4d6-95ba-4134-b77a-a377e0755653,
termsAndConditions,Licensing conditions apply,CHESS Met https://catalogue.ceh.ac.uk/documents/80887755-1426-4dab-a4a6-250919d5020c,CHESS PET https://catalogue.ceh.ac.uk/documents/d329f4d6-95ba-4134-b77a-a377e0755653,
credits,CEH, Terms and conditions apply,
location,{"type":"point","x":334132.7787655574,"y":658017.530274143,"spatialReference":{"wkid":27700}},
DATES,Surface Downwelling Shortwave Radiation (W m-2)
2008-02-20,38.189816
2008-02-21,40.253815
2008-02-22,52.193733
2008-02-23,41.284035
2008-02-24,66.082
2008-02-25,38.973232
2008-02-26,66.95143
2008-02-27,76.79463
2008-02-28,59.499542
2008-02-29,44.545597
2008-03-01,83.156235
2008-03-02,67.88319
2008-03-03,85.20727
2008-03-04,104.22619
2008-03-05,68.50882
2008-03-06,50.324524
2008-03-07,81.74436
2008-03-08,71.87658
2008-03-09,84.28003
2008-03-10,54.971397
2008-03-11,81.8459
2008-03-12,99.80026
2008-03-13,83.988014
2008-03-14,113.30847
2008-03-15,68.36691
2008-03-16,84.557594
2008-03-17,93.22001
2008-03-18,78.87668
2008-03-19,101.21154
2008-03-20,77.66509
2008-03-21,111.927826
2008-03-22,106.05031
2008-03-23,102.93267
2008-03-24,129.42575
2008-03-25,96.582504
2008-03-26,90.32735
2008-03-27,105.90054
2008-03-28,77.17353
2008-03-29,104.8283
2008-03-30,115.4367
2008-03-31,158.91638
2008-04-01,135.9021
2008-04-02,141.83936
2008-04-03,113.51372
2008-04-04,130.87257
2008-04-05,144.01227
2008-04-06,133.18959
2008-04-07,119.5997
2008-04-08,109.27531
2008-04-09,113.988754
2008-04-10,95.64955
2008-04-11,123.05621
2008-04-12,97.067474
2008-04-13,136.64424
2008-04-14,178.67218
2008-04-15,159.06395
2008-04-16,163.41927
2008-04-17,174.57758
2008-04-18,138.26797
2008-04-19,184.0773
2008-04-20,180.19647
2008-04-21,151.22205
2008-04-22,155.67244
2008-04-23,105.712944
2008-04-24,139.89613
2008-04-25,120.23661
2008-04-26,117.33279
2008-04-27,194.8859
2008-04-28,110.40793
2008-04-29,189.99396
2008-04-30,111.224335
2008-05-01,137.5851
2008-05-02,227.20114
2008-05-03,132.42548
2008-05-04,102.647766
2008-05-05,257.3064
2008-05-06,253.16971
2008-05-07,296.58398
2008-05-08,311.91095
2008-05-09,203.40659
2008-05-10,174.44594
2008-05-11,168.70952
2008-05-12,211.71935
2008-05-13,232.5549
2008-05-14,258.5647
2008-05-15,180.56146
2008-05-16,156.74088
2008-05-17,154.99767
2008-05-18,230.17831
2008-05-19,242.48022
2008-05-20,208.73044
2008-05-21,166.12035
2008-05-22,172.0447
2008-05-23,144.95558
2008-05-24,216.56436
2008-05-25,285.01126
2008-05-26,276.2225
2008-05-27,109.88816
2008-05-28,61.387737
2008-05-29,217.81717
2008-05-30,61.794132
2008-05-31,298.43802
2008-06-01,137.41985
2008-06-02,112.8412
2008-06-03,133.06561
2008-06-04,312.33353
2008-06-05,179.45828
2008-06-06,174.86739
2008-06-07,214.0274
2008-06-08,274.95508
2008-06-09,207.64232
2008-06-10,204.31058
2008-06-11,193.55972
2008-06-12,175.78516
2008-06-13,183.38867
2008-06-14,211.13715
2008-06-15,221.40921
2008-06-16,213.70831
2008-06-17,63.769287
2008-06-18,190.72023
2008-06-19,229.27737
2008-06-20,289.56036
2008-06-21,184.7332
2008-06-22,127.664154
2008-06-23,260.13443
2008-06-24,158.01994
2008-06-25,162.50827
2008-06-26,213.04727
2008-06-27,155.02786
2008-06-28,165.8256
2008-06-29,216.07759
2008-06-30,183.74435
