summary,Climate Hydrology Ecology Support System subset,
originalResource,{"url":"https://eip.ceh.ac.uk/apps/chess/","title":"EIP | CHESS"},
metadataURL,https://catalogue.ceh.ac.uk/documents/80887755-1426-4dab-a4a6-250919d5020c,https://catalogue.ceh.ac.uk/documents/d329f4d6-95ba-4134-b77a-a377e0755653,
termsAndConditions,Licensing conditions apply,CHESS Met https://catalogue.ceh.ac.uk/documents/80887755-1426-4dab-a4a6-250919d5020c,CHESS PET https://catalogue.ceh.ac.uk/documents/d329f4d6-95ba-4134-b77a-a377e0755653,
credits,CEH, Terms and conditions apply,
location,{"type":"point","x":334132.7787655574,"y":658017.530274143,"spatialReference":{"wkid":27700}},
DATES,Surface Downwelling Longwave Radiation (W m-2)
2008-02-21,327.53903
2008-02-22,306.2289
2008-02-23,326.3844
2008-02-24,292.93164
2008-02-25,314.30713
2008-02-26,297.13354
2008-02-27,279.54114
2008-02-28,299.22977
2008-02-29,317.88376
2008-03-01,284.43668
2008-03-02,295.35425
2008-03-03,264.964
2008-03-04,249.70386
2008-03-05,297.0924
2008-03-06,331.00592
2008-03-07,292.0781
2008-03-08,306.806
2008-03-09,284.99722
2008-03-10,305.0395
2008-03-11,293.62613
2008-03-12,280.6694
2008-03-13,292.16998
2008-03-14,279.1315
2008-03-15,306.30923
2008-03-16,298.14883
2008-03-17,278.28052
2008-03-18,289.0363
2008-03-19,281.96783
2008-03-20,314.247
2008-03-21,273.21152
2008-03-22,273.02994
2008-03-23,275.2585
2008-03-24,256.15112
2008-03-25,276.73834
2008-03-26,285.10202
2008-03-27,289.95245
2008-03-28,308.65604
2008-03-29,299.61942
2008-03-30,297.98486
2008-03-31,278.74313
2008-04-01,300.75928
2008-04-02,300.98727
2008-04-03,324.34192
2008-04-04,307.87137
2008-04-05,276.12625
2008-04-06,270.97357
2008-04-07,287.43784
2008-04-08,293.07056
2008-04-09,294.91898
2008-04-10,303.8105
2008-04-11,294.82846
2008-04-12,305.45816
2008-04-13,293.33484
2008-04-14,275.31396
2008-04-15,282.1635
2008-04-16,279.74533
2008-04-17,279.04544
2008-04-18,299.81287
2008-04-19,283.0122
2008-04-20,288.19342
2008-04-21,304.1075
2008-04-22,305.93115
2008-04-23,324.71997
2008-04-24,314.04443
2008-04-25,325.77383
2008-04-26,337.1183
2008-04-27,305.0743
2008-04-28,322.31943
2008-04-29,299.314
2008-04-30,322.18246
2008-05-01,318.79642
2008-05-02,294.87738
2008-05-03,334.19104
2008-05-04,352.33765
2008-05-05,309.53024
2008-05-06,310.28748
2008-05-07,300.80966
2008-05-08,295.54614
2008-05-09,329.46454
2008-05-10,344.43182
2008-05-11,341.04602
2008-05-12,322.3598
2008-05-13,305.78015
2008-05-14,293.08032
2008-05-15,317.37827
2008-05-16,324.8535
2008-05-17,317.8738
2008-05-18,290.4757
2008-05-19,289.21744
2008-05-20,304.33096
2008-05-21,320.05435
2008-05-22,329.70255
2008-05-23,336.19223
2008-05-24,312.1152
2008-05-25,300.60846
2008-05-26,300.26834
2008-05-27,341.3376
2008-05-28,345.95673
2008-05-29,336.17157
2008-05-30,354.67038
2008-05-31,318.4987
2008-06-01,340.8921
2008-06-02,354.7031
2008-06-03,352.10156
2008-06-04,303.44315
2008-06-05,338.29315
2008-06-06,341.38556
2008-06-07,335.8782
2008-06-08,324.77606
2008-06-09,344.02914
2008-06-10,331.01285
2008-06-11,327.23077
2008-06-12,324.11987
2008-06-13,321.1818
2008-06-14,312.5692
2008-06-15,310.74286
2008-06-16,318.30038
2008-06-17,346.5505
2008-06-18,333.61035
2008-06-19,322.06738
2008-06-20,300.9917
2008-06-21,321.82428
2008-06-22,346.25034
2008-06-23,309.11234
2008-06-24,331.8086
2008-06-25,344.80875
2008-06-26,328.40533
2008-06-27,346.82773
2008-06-28,351.37735
2008-06-29,331.5538
2008-06-30,340.60968
