Date,Hawthorn
29-Aug-04,-18.22
03-Sep-04,-18.20
08-Sep-04,-18.10
13-Sep-04,-17.81
18-Sep-04,-17.69
23-Sep-04,-17.59
28-Sep-04,-17.50
03-Oct-04,-17.28
08-Oct-04,-17.29
13-Oct-04,-17.16
18-Oct-04,-17.04
23-Oct-04,-16.93
28-Oct-04,-16.87
02-Nov-04,-16.85
07-Nov-04,-16.66
12-Nov-04,-16.39
17-Nov-04,-16.02
22-Nov-04,-15.75
27-Nov-04,-15.52
02-Dec-04,-15.23
07-Dec-04,-15.14
12-Dec-04,-15.08
17-Dec-04,-14.84
22-Dec-04,-14.80
27-Dec-04,-14.76
01-Jan-05,-14.72
06-Jan-05,-14.56
11-Jan-05,-14.46
16-Jan-05,-14.34
21-Jan-05,-14.26
26-Jan-05,-14.25
31-Jan-05,-14.12
05-Feb-05,-13.90
10-Feb-05,-13.62
15-Feb-05,-13.54
20-Feb-05,-13.36
25-Feb-05,-13.23
02-Mar-05,-13.01
07-Mar-05,-13.01
12-Mar-05,-12.75
17-Mar-05,-12.70
22-Mar-05,-12.57
27-Mar-05,-12.44
01-Apr-05,-12.41
06-Apr-05,-12.20
11-Apr-05,-12.15
16-Apr-05,-11.96
21-Apr-05,-11.94
26-Apr-05,-11.79
01-May-05,-11.69
06-May-05,-11.59
11-May-05,-11.59
16-May-05,-11.50
21-May-05,-11.32
26-May-05,-11.27
31-May-05,-11.24
05-Jun-05,-11.15
10-Jun-05,-11.09
15-Jun-05,-10.93
20-Jun-05,-10.90
25-Jun-05,-10.79
30-Jun-05,-10.54
05-Jul-05,-10.44
10-Jul-05,-10.48
15-Jul-05,-10.08
20-Jul-05,-9.94
25-Jul-05,-9.82
30-Jul-05,-9.69
04-Aug-05,-9.54
09-Aug-05,-9.36
14-Aug-05,-9.21
19-Aug-05,-9.06
24-Aug-05,-8.90
29-Aug-05,-8.89
03-Sep-05,-8.84
08-Sep-05,-8.68
13-Sep-05,-8.64
18-Sep-05,-8.57
23-Sep-05,-8.44
28-Sep-05,-8.34
03-Oct-05,-8.32
08-Oct-05,-8.12
13-Oct-05,-7.99
