summary,Climate Hydrology Ecology Support System subset,
originalResource,{"url":"https://eip.ceh.ac.uk/apps/chess/","title":"EIP | CHESS"},
metadataURL,https://catalogue.ceh.ac.uk/documents/80887755-1426-4dab-a4a6-250919d5020c,https://catalogue.ceh.ac.uk/documents/d329f4d6-95ba-4134-b77a-a377e0755653,
termsAndConditions,Licensing conditions apply,CHESS Met https://catalogue.ceh.ac.uk/documents/80887755-1426-4dab-a4a6-250919d5020c,CHESS PET https://catalogue.ceh.ac.uk/documents/d329f4d6-95ba-4134-b77a-a377e0755653,
credits,CEH, Terms and conditions apply,
location,{"type":"point","x":241843.56108712236,"y":666182.5804098262,"spatialReference":{"wkid":27700}},
DATES,Surface Downwelling Longwave Radiation (W m-2)
2003-06-30,354.5008
2003-07-01,362.70874
2003-07-02,346.4955
2003-07-03,331.37726
2003-07-04,325.28357
2003-07-05,351.65204
2003-07-06,359.00748
2003-07-07,360.52267
2003-07-08,357.89944
2003-07-09,359.67368
2003-07-10,364.6889
2003-07-11,353.6198
2003-07-12,344.7129
2003-07-13,329.64276
2003-07-14,350.0651
2003-07-15,352.2448
2003-07-16,351.31454
2003-07-17,378.3663
2003-07-18,363.97098
2003-07-19,362.89606
2003-07-20,355.24664
2003-07-21,357.82657
2003-07-22,357.60443
2003-07-23,369.6499
2003-07-24,352.3209
2003-07-25,359.5132
2003-07-26,342.42514
2003-07-27,330.09665
2003-07-28,357.88852
2003-07-29,367.1336
2003-07-30,361.50732
2003-07-31,364.25906
2003-08-01,343.72015
2003-08-02,342.46103
2003-08-03,349.7178
2003-08-04,347.76465
2003-08-05,372.34155
2003-08-06,359.01944
2003-08-07,353.15103
2003-08-08,347.58514
2003-08-09,366.56293
2003-08-10,358.7342
2003-08-11,347.1089
2003-08-12,368.41714
2003-08-13,339.17197
2003-08-14,325.42975
2003-08-15,323.5019
2003-08-16,318.7312
2003-08-17,363.9108
2003-08-18,337.96658
2003-08-19,352.4837
2003-08-20,357.34744
2003-08-21,367.23672
2003-08-22,335.7344
2003-08-23,346.97665
2003-08-24,340.39206
2003-08-25,354.9929
2003-08-26,344.2599
2003-08-27,332.4641
2003-08-28,339.25906
2003-08-29,316.80136
2003-08-30,311.01297
2003-08-31,334.4772
2003-09-01,345.15018
2003-09-02,363.77374
2003-09-03,328.29758
2003-09-04,348.59995
2003-09-05,359.04913
2003-09-06,319.31134
2003-09-07,324.82843
2003-09-08,310.19882
2003-09-09,334.99838
2003-09-10,314.83194
2003-09-11,348.80692
2003-09-12,336.70096
2003-09-13,359.1241
2003-09-14,368.03278
2003-09-15,360.64713
2003-09-16,360.0898
2003-09-17,349.7487
2003-09-18,359.09393
2003-09-19,333.74857
2003-09-20,324.6063
2003-09-21,340.36542
2003-09-22,314.01294
2003-09-23,285.38116
2003-09-24,335.0709
2003-09-25,351.73795
2003-09-26,314.22064
2003-09-27,328.29764
2003-09-28,319.71942
2003-09-29,347.43356
2003-09-30,323.87927
2003-10-01,304.61206
2003-10-02,328.35846
2003-10-03,324.7015
2003-10-04,292.12976
2003-10-05,325.47873
2003-10-06,320.72144
2003-10-07,297.13773
2003-10-08,345.4602
2003-10-09,354.43524
2003-10-10,325.28876
2003-10-11,331.01828
2003-10-12,350.12546
2003-10-13,350.73126
2003-10-14,330.33804
2003-10-15,308.71658
2003-10-16,285.56564
2003-10-17,278.15616
2003-10-18,283.42044
2003-10-19,304.02945
2003-10-20,283.70447
2003-10-21,291.4643
2003-10-22,302.46423
2003-10-23,277.79752
2003-10-24,282.89023
2003-10-25,309.05673
2003-10-26,299.25192
2003-10-27,332.91895
2003-10-28,337.3404
2003-10-29,300.6649
2003-10-30,280.0485
2003-10-31,309.97025
2003-11-01,314.1172
2003-11-02,316.6182
2003-11-03,323.28433
2003-11-04,344.77698
2003-11-05,350.72632
2003-11-06,312.85516
2003-11-07,305.88797
2003-11-08,326.63498
2003-11-09,323.37396
2003-11-10,322.61734
2003-11-11,340.1094
2003-11-12,296.98685
2003-11-13,313.93484
2003-11-14,337.3132
2003-11-15,321.57358
2003-11-16,291.26648
2003-11-17,344.76678
2003-11-18,348.9945
2003-11-19,332.1958
2003-11-20,318.14066
2003-11-21,295.4952
2003-11-22,286.1149
2003-11-23,280.23203
2003-11-24,316.79138
2003-11-25,318.58932
2003-11-26,315.26196
2003-11-27,307.3891
2003-11-28,324.2181
2003-11-29,337.33807
2003-11-30,298.69928
2003-12-01,309.66162
2003-12-02,330.29236
2003-12-03,323.9805
2003-12-04,290.9744
2003-12-05,327.39386
2003-12-06,297.27936
2003-12-07,263.42523
2003-12-08,253.74205
2003-12-09,319.35538
2003-12-10,338.1669
2003-12-11,279.85178
2003-12-12,320.92725
2003-12-13,331.41763
2003-12-14,306.6131
2003-12-15,275.8361
2003-12-16,326.34042
2003-12-17,332.66028
2003-12-18,327.0005
2003-12-19,304.7687
2003-12-20,314.1407
2003-12-21,290.2984
2003-12-22,304.78937
2003-12-23,338.41476
2003-12-24,342.9622
2003-12-25,333.1179
2003-12-26,325.2691
2003-12-27,306.18335
2003-12-28,286.56137
2003-12-29,254.28595
2003-12-30,259.26505
2003-12-31,295.86465
