summary,Climate Hydrology Ecology Support System subset,
originalResource,{"url":"https://eip.ceh.ac.uk/apps/chess/","title":"EIP | CHESS"},
metadataURL,https://catalogue.ceh.ac.uk/documents/80887755-1426-4dab-a4a6-250919d5020c,https://catalogue.ceh.ac.uk/documents/d329f4d6-95ba-4134-b77a-a377e0755653,
termsAndConditions,Licensing conditions apply,CHESS Met https://catalogue.ceh.ac.uk/documents/80887755-1426-4dab-a4a6-250919d5020c,CHESS PET https://catalogue.ceh.ac.uk/documents/d329f4d6-95ba-4134-b77a-a377e0755653,
credits,CEH, Terms and conditions apply,
location,{"type":"point","x":241859.1567183131,"y":666113.7970722595,"spatialReference":{"wkid":27700}},
DATES,Near-Surface Specific Humidity (kg kg-1)
2007-12-01,0.0048650317
2007-12-02,0.0050529083
2007-12-03,0.004296003
2007-12-04,0.0064329053
2007-12-05,0.0064520543
2007-12-06,0.0057089454
2007-12-07,0.0044296305
2007-12-08,0.004390408
2007-12-09,0.0046841237
2007-12-10,0.0035564841
2007-12-11,0.004419976
2007-12-12,0.0058214287
2007-12-13,0.0054323897
2007-12-14,0.005070936
2007-12-15,0.004348017
2007-12-16,0.003290703
2007-12-17,0.0030275343
2007-12-18,0.003633345
2007-12-19,0.0031917028
2007-12-20,0.0032884316
2007-12-21,0.0029530944
2007-12-22,0.004144195
2007-12-23,0.00456153
2007-12-24,0.00529649
2007-12-25,0.004317759
2007-12-26,0.005733597
2007-12-27,0.0058855396
2007-12-28,0.006191917
2007-12-29,0.004631913
2007-12-30,0.0048202896
2007-12-31,0.006092159
2008-01-01,0.0065482645
2008-01-02,0.0047258306
2008-01-03,0.0033082971
2008-01-04,0.0039445874
2008-01-05,0.0046164542
2008-01-06,0.004504552
2008-01-07,0.0041299365
2008-01-08,0.004431302
2008-01-09,0.003969539
2008-01-10,0.004553997
2008-01-11,0.003918931
2008-01-12,0.0038357936
2008-01-13,0.0059089735
2008-01-14,0.005142649
2008-01-15,0.0046844543
2008-01-16,0.003922287
2008-01-17,0.004612729
2008-01-18,0.0057164296
2008-01-19,0.0045876405
2008-01-20,0.0052010426
2008-01-21,0.004302492
2008-01-22,0.0046618325
2008-01-23,0.006670804
2008-01-24,0.0042278017
2008-01-25,0.0060839737
2008-01-26,0.005847005
2008-01-27,0.006141789
2008-01-28,0.0060482607
2008-01-29,0.0055046217
2008-01-30,0.0043780324
2008-01-31,0.004209492
2008-02-01,0.0035568583
