summary,Climate Hydrology Ecology Support System subset,
originalResource,{"url":"https://eip.ceh.ac.uk/apps/chess/","title":"EIP | CHESS"},
metadataURL,https://catalogue.ceh.ac.uk/documents/80887755-1426-4dab-a4a6-250919d5020c,https://catalogue.ceh.ac.uk/documents/d329f4d6-95ba-4134-b77a-a377e0755653,
termsAndConditions,Licensing conditions apply,CHESS Met https://catalogue.ceh.ac.uk/documents/80887755-1426-4dab-a4a6-250919d5020c,CHESS PET https://catalogue.ceh.ac.uk/documents/d329f4d6-95ba-4134-b77a-a377e0755653,
credits,CEH, Terms and conditions apply,
location,{"type":"point","x":241859.1567183131,"y":666113.7970722595,"spatialReference":{"wkid":27700}},
DATES,Near-Surface Specific Humidity (kg kg-1)
2008-12-01,0.0033138948
2008-12-02,0.003636074
2008-12-03,0.003094201
2008-12-04,0.004327675
2008-12-05,0.004245165
2008-12-06,0.0034365116
2008-12-07,0.00456365
2008-12-08,0.0046609542
2008-12-09,0.003980175
2008-12-10,0.0036887883
2008-12-11,0.0034105254
2008-12-12,0.0046934416
2008-12-13,0.0049913325
2008-12-14,0.0044905255
2008-12-15,0.004613649
2008-12-16,0.0060654613
2008-12-17,0.0051305057
2008-12-18,0.005447282
2008-12-19,0.0047848118
2008-12-20,0.0048423843
2008-12-21,0.0063034752
2008-12-22,0.0061426936
2008-12-23,0.005501958
2008-12-24,0.0057751513
2008-12-25,0.0052506644
2008-12-26,0.0040553
2008-12-27,0.0031507304
2008-12-28,0.003320983
2008-12-29,0.0032818962
2008-12-30,0.0028327606
2008-12-31,0.0033128285
2009-01-01,0.0034516463
2009-01-02,0.0035002083
2009-01-03,0.0029786339
2009-01-04,0.00379993
2009-01-05,0.0032088538
2009-01-06,0.0034136663
2009-01-07,0.0048711733
2009-01-08,0.0045996993
2009-01-09,0.0040747146
2009-01-10,0.0047190217
2009-01-11,0.0067294096
2009-01-12,0.005601437
2009-01-13,0.0045332233
2009-01-14,0.0040772464
2009-01-15,0.0056247734
2009-01-16,0.005291088
2009-01-17,0.004543382
2009-01-18,0.0037890174
2009-01-19,0.0037783121
2009-01-20,0.0039956165
2009-01-21,0.00401476
2009-01-22,0.004423892
2009-01-23,0.0040522628
2009-01-24,0.003906748
2009-01-25,0.004112877
2009-01-26,0.004220561
2009-01-27,0.005115983
2009-01-28,0.00454494
2009-01-29,0.004525122
2009-01-30,0.0049326606
2009-01-31,0.003499172
2009-02-01,0.0030481494
