Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,WIN,SPR,SUM,AUT,ANN
1954,0.3,-1.2,0.9,2.1,5.7,7.9,8.5,9,6.6,6.2,2.2,2.9,0.77,2.92,8.48,5,4.3
1955,-0.9,-3,-1.5,3.6,3.6,7.4,9.9,10.6,8.8,3.7,4.1,1,-0.25,1.89,9.31,5.53,3.98
1956,-0.4,-2.3,1.7,1.1,5.7,6.9,9.9,7.1,8.7,5.3,2.9,3.1,-0.52,2.82,7.97,5.62,4.16
1957,1,-0.1,4.5,2.9,4.1,7,9.9,9.9,6.8,5.9,3.3,1.4,1.39,3.82,8.94,5.36,4.74
1958,-0.9,-0.6,-0.8,2.1,4,7.6,9.8,10.1,9.6,6.7,3.2,0.4,-0.04,1.76,9.18,6.49,4.29
1959,-2.8,0.9,2.8,3.4,6.2,8.4,10,10.6,7.6,7.5,3.5,1.9,-0.52,4.12,9.67,6.23,5.03
1960,-0.3,-1.5,2.1,3.9,6.2,9.1,9.4,9.2,7.1,6.3,2.6,-0.4,0.08,4.07,9.27,5.32,4.5
1961,-0.4,2.7,4.2,4.1,5,7.8,8.8,9,9,6.2,2.1,-1.8,0.56,4.46,8.54,5.74,4.73
1962,0.5,1,-1.9,1.7,4.5,7.1,8.4,8.7,7.5,6.5,2,0.1,-0.15,1.44,8.1,5.35,3.87
1963,-3.4,-4.2,1.2,3.1,4.5,8.7,8.7,8.8,7.5,6.2,2.8,0.3,-2.45,2.91,8.74,5.49,3.72
1964,1.4,1,0.9,3.7,6.9,7.8,9.6,9,7.9,4.6,3,-0.2,0.92,3.85,8.81,5.18,4.65
1965,-0.7,-0.6,0,2.2,5.7,8.3,7.7,8.6,7.5,6.1,0.4,0.1,-0.49,2.64,8.2,4.69,3.81
1966,-0.1,0.6,2.4,1.6,4.7,9.4,8.8,8.3,9,4.5,1.2,1,0.17,2.94,8.83,4.9,4.31
1967,1.4,1.8,2.3,2.7,4.4,7.5,9.5,9.5,8.1,5.4,2,1.3,1.38,3.13,8.85,5.16,4.67
1968,0.9,-2.2,1.3,2.3,3.8,7.9,8.8,8.8,8.3,7.8,2.6,0.2,0.05,2.48,8.51,6.24,4.23
1969,1.4,-2.6,-1.1,1.5,5,7.5,10,10.5,8.4,8.5,0,0.1,-0.26,1.79,9.36,5.68,4.15
1970,0.1,-2.2,-0.4,1.3,6.7,9.3,8.8,10,8.7,6,2.9,1.4,-0.61,2.52,9.38,5.87,4.42
1971,1.4,1.7,1.1,2.4,5.3,6.6,9.5,9.7,8.6,6.7,2.4,4.2,1.49,2.93,8.62,5.9,4.98
1972,1,0.6,1.4,3.1,5.4,6,9.1,8.6,5.8,5.6,1.5,2.1,1.95,3.3,7.91,4.3,4.2
1973,1.7,0.1,1.3,1.6,5.1,7.9,9.6,9.8,8.2,4.5,1.5,0.8,1.33,2.68,9.12,4.75,4.37
1974,2.3,1.7,1,1.7,5.3,7.2,8.9,9.1,6.7,3.6,2.1,3.6,1.59,2.69,8.42,4.12,4.46
1975,2,0.9,0.1,3.2,3.1,7.4,10.4,11.3,7.2,6.1,2.2,2.4,2.2,2.13,9.72,5.18,4.72
1976,2.1,1.6,0.8,3.3,5.7,9.3,11.1,9.2,8.4,5.9,2.2,-1.4,2.04,3.28,9.85,5.5,4.85
