Site	Measurement_location	Sub_Site_Number	Coal	Region	Easting	Northing	Type_of_site	Type_of_measurement	Start_Date	End_Date	Minimum_Temperature_(_C)	Average_Temperature__(_C)_	Maximum_Temperature_(_C)	Approx._Ave._Flow_Rate_(L/s)	Approx._Depth_to_water_(mBGL)	Approx._Depth_of_Sensor_(mBGL)	Ave._Iron_(Total)_(mg/L)	Ave._EC_(us/cm_25_'C)	Ave._Chloride_(mg/L)	Ave._Sulphate_(mg/L)	Ave._pH	Comments	File_location_link
Lynemouth	Shaft	708.1	Y	North_East	429829	590469	Pumped	On_Site_Testing	09-Dec-16	17-Oct-17	14.5	15.1	15.4	100	57							Pumped_water._Depth_of_pumps_at_approx_XXXmBGL._Depth_of_shaft_is_XXXm._Data_for_May_to_July_2017_inclusive_is_missing_from_statistical_analysis	J:\Environment\Environment_Department_Team_Folder\Temperature_Data\Logger_Data\Lynemouth_Shaft\Lynemouth_708.1_data.xlsx
Lynemouth_No1_Shaft	Shaft	708.1	Y	North_East	429829	590469	Shaft	ECT_Log_2010	27-Jul-10	27-Jul-10	12.2	13.1	16.6									Range_of_log_from_102.2mBGL_to_143.1mBGL	J:\Environment\Environment_Department_Team_Folder\Temperature_Data\EC-T_Surveys\Lynemouth_Shaft
Michael	Shaft	164.1	Y	Scotland	333568	696104	Pumped	On_Site_Testing						50	10								
Monckton_Coke_Works_BH	Borehole_Log						Monitoring_borehole	ECT_Log_2012	26-Jul-12	26-Jul-12	17.6	19.0	20.4									Range_of_log_from_300.3mBGL_and_379.0mBGL	J:\Environment\Environment_Department_Team_Folder\Temperature_Data\EC-T_Surveys\Monckton_Coke_Works_BH
Morlais_	Shaft_discharge	528.10	Y	South_Wales	257225	202234	Pumped	Temperature_logger	24-May-16	10-Jul-19	4.4	13.8	19.7									Data_Taken_from_04/07/2016_to_24/09/2018	J:\Environment\Environment_Department_Team_Folder\Temperature_Data\Temperature_loggers\Morlais_Raw_Channel_
Mosside_BH	Borehole	259.1	Y	Scotland	297800	667000	Monitoring_borehole	Water_Level_Logger	01-Apr-17	02-Feb-18	4.8	9.5	10.5										J:\Environment\Technical_Team\STS_Coal_Loggers\Mosside_L259
Niddrie_(Wisp)_BH	Borehole	740.1	Y	Scotland	330720	671326	Monitoring_borehole	Water_Level_Logger	26-Oct-16	04-Jul-18	10.5	11.9	12.3									Range_of_log_from_28.02_to_30.3mAOD	J:\Environment\Technical_Team\STS_Coal_Loggers\Niddrie_(Wisp)_BH_L740
Pegswood_Busty_BH	Borehole_water_level	442.1	Y	North_East_	423947	587378	Monitoring_borehole	Water_level_logger	#REF!	#REF!	#REF!	#REF!	#REF!	N/A	80							Borehole_to_Busty_Seam_workings_at_XXmBGL._Casing_ID_is_XXXmm	
Pennyvennie_No.3			Y	Scotland	248655	606625		On_Site_Testing	10-Jul-95	10-Jul-95		14.3		6							7	3rd_Party_Data	\\infprod.tca\shared_folders\Environment\Environment_Department_Team_Folder\Temperature_Data\Public_(Non_CA)_Data
Polkemmet_No1_Shaft	Shaft	135.1	Y	Scotland	293410	663992	Shaft	Logger_data	29-Sep-16	02-Jul-19	15.5	18.4	18.7		63							Logger_data_available_for_pre-2016_but_only_looked_at_last_years_worth_of_data	J:\Environment\Environment_Department_Team_Folder\Temperature_Data\Logger_Data\Polkemmet_Shaft_(L135)\Polkemmet_logger_data_2016-2017.xlsx
Randolph_BH	Borehole_water_level	222.1	Y	Scotland	330442	695632	Monitoring_borehole	Water_Level_Logger	11-Dec-17		12.2	12.3	12.4									Range_of_Log_from_1.86_to_2.62mAOD	J:\Environment\Technical_Team\STS_Coal_Loggers\Randolph_L222
Rigside_BH	Borehole	634.1	Y	Scotland	286850	635552	Monitoring_borehole	Water_Level_Logger	10-Jan-17	29-Nov-17	5.3	10.5	14.0										J:\Environment\Technical_Team\STS_Coal_Loggers\Rigside_BH_L634
Saltburn	Pumping_borehole		N	#N/A	#N/A	#N/A	Pumped	On_Site_Testing						30									
Silverdale_	Top_of_Cascade	457.8	Y	West_Midlands_	382060	346770	Pumped	Temperature_logger	24-Jul-18	12-Jun-19	15.0	15.1	15.9									Data_taken_from_29/10/2018_to_30/10/2018	J:\Environment\Environment_Department_Team_Folder\Temperature_Data\Temperature_loggers\Silverdale_Cascade
Six_Bells_(Vivian)	Cascade	444.25	Y	South_Wales	321830	203635	Pumped	Temperature_logger	24-May-16	28-Jun-19	-6.0	18.5	28.1									Logger_data_missing_from_Sept_2018_to_April_2019	J:\Environment\Environment_Department_Team_Folder\Temperature_Data\Temperature_loggers\Six_Bells_Cascade
Six_Bells_(Vivian)	Pumping_borehole	444.1	Y	South_Wales	321951	203548	Pumped	Logger_data	16-Nov-16	02-Oct-17	14.8	17.2	18.2		30							Logger_data_available_for_pre-2016_but_only_looked_at_last_years_worth_of_data	J:\Environment\Environment_Department_Team_Folder\Temperature_Data\Logger_Data\Vivian_(Six_Bells)_(L444)\Six_Bells_(Vivian)_444.1_-_2016_to_2017.xlsx
Star_Road	Discharge				329600	702500	Discharge	On_Site_Testing	09-Jul-95	09-Jul-95		11.4		3			4				7	Long-term_changes_in_the_quality_of_polluted_minewater_discharges_(1995)	\\infprod.tca\shared_folders\Environment\Environment_Department_Team_Folder\Temperature_Data\Public_(Non_CA)_Data
Stony_Heap	Borehole	382.1	Y	North_East	414785	551565	Borehole	ECT_Log_2009	17-Dec-09	17-Dec-09	9.2	9.9	10.9		12		6	1883	78	796	8	Range_of_log_from_12.2mBGL_to_134.0mBGL	J:\Environment\Environment_Department_Team_Folder\Temperature_Data\EC-T_Surveys\Stoney_Hall_BHs
Taff_Merthyr	Raw_Mine_Water	527.1	Y	South_Wales_	310290	199020	Pumped	Temperature_logger	24-May-16	31-May-19	9.1	11.9	19.1									Data_taken_from_13/06/2016_to_31/05/2019_as_other_data_contained_errors_	J:\Environment\Environment_Department_Team_Folder\Temperature_Data\Temperature_loggers\Taff_Merthyr
Tollcross_Burn	Borehole		Y	Scotland	267400	664900	Monitoring_borehole	On_Site_Testing	20-Aug-08	20-Aug-08		11.4		30							7		\\infprod.tca\shared_folders\Environment\Environment_Department_Team_Folder\Temperature_Data\On_Site_Spot_Readings
West_Cannock_No_5_	Aquifer_Borehole_	491.1	Y	West_Midlands_	401033	314133	Borehole_	ETC_Log_2019_	25-Jun-19	25-Jun-19	-0.6	13.2	15.9									Range_of_log_from_2.12mbgl_to_39.89mbgl	J:\Environment\Technical_Team\Shaft_logging\Staffordshire\West_Cannock_No_5_Aquifer_BH
West_Cannock_No_5_	Seam_Borehole_	491.2	Y	West_Midlands_	400951	314158	Borehole_	ETC_Log_2019_	25-Jun-19	25-Jun-19	10.5	12.1	14.8									Range_of_log_from_132.51mbgl_to_260mbgl_	J:\Environment\Technical_Team\Shaft_logging\Staffordshire\West_Cannock_No_5_Seam_BH
Whitrigg_BH	Borehole	258.1	Y	Scotland	297500	664900	Monitoring_borehole	Water_Level_Logger	10-Feb-17	02-Feb-18	5.3	10.6	11.3										J:\Environment\Technical_Team\STS_Coal_Loggers\Whitrigg_L258
Williamthorpe	Shaft	484.1	Y	East_Midlands	442738	366611	Shaft	ECT_Log_2017	17-May-17	17-May-17	11.5	12.2	14.7									Range_of_log_from_136.0mBGL_to_328.3mBGL	J:\Environment\Environment_Department_Team_Folder\Temperature_Data\EC-T_Surveys\Williamthorpe_Shaft
Wilsontown_(Mousewater)_	Raw_Discharge	416.1	Y	Scotland	294870	653248	Passive	Temperature_Logger	17-Nov-09	15-Jul-10	1.4	7.3	18.0										J:\Environment\Technical_Team\STS_Coal_Loggers\Wilsontown_(Mousewater)_L416
Woodside_	Shaft	530.1	Y	East_Midlands	444765	344463	Shaft	ECT_Log_2010	07-Jan-10	07-Jan-10	7.0	13.7	16.5		78		9	2462	252	485	7	Range_of_log_from_77.6mBGL_to_245.7mBGL	J:\Environment\Environment_Department_Team_Folder\Temperature_Data\EC-T_Surveys\Woodside_Shaft\Woodside_Logs.xlsx
Woodside_	Shaft	530.1	Y	East_Midlands	444765	344463	Shaft	Logger_data	18-Sep-17	10-Jan-19	7.6	12.1	16.4		81								J:\Environment\Technical_Team\STS_Coal_Loggers\Woodside_L530
Woolley__	Stepped_Cascade_Top_Inlet	83.15	Y	Yorkshire_	430572	411510	Pumped_	Temperature_logger	25-Jul-18	31-Jan-19	14.9	15.9	18.7									Data_taken_from_25/07/2018_onwards_as_previous_data_contained_errors	J:\Environment\Environment_Department_Team_Folder\Temperature_Data\Temperature_loggers\Woolley_Cascade
