Site	Measurement_location	Sub_Site_Number	Coal	Region	Easting	Northing	Type_of_site	Type_of_measurement	Start_Date	End_Date	Minimum_Temperature_(_C)	Average_Temperature__(_C)_	Maximum_Temperature_(_C)	Approx._Ave._Flow_Rate_(L/s)	Approx._Depth_to_water_(mBGL)	Approx._Depth_of_Sensor_(mBGL)	Ave._Iron_(Total)_(mg/L)	Ave._EC_(us/cm_25_'C)	Ave._Chloride_(mg/L)	Ave._Sulphate_(mg/L)	Ave._pH	Comments	File_location_link
Blackvein	Floodplain_Discharge	594.1	Y	South_Wales	322629	191283	Passive	On_Site_Testing	22-Feb-05	22-Feb-05		9.0					0				7	Single_on_site_reading	\\infprod.tca\shared_folders\Environment\Environment_Department_Team_Folder\Temperature_Data\On_Site_Spot_Readings
Blackwood_(Scotland)			Y	Scotland	280300	643200	Not_Monitored	On_Site_Testing	1999	1999		9.0		3			1				7	"On_site_reading_from_In_QJEGH,_1999._v32._p69-70._Long-term_changes_in_the_quality_of_polluted_minewater_discharges_from_abandoned_underground_coal_workings_in_Scotland.
In_Mine_water_pollution_in_Scotland:_nature,_extent_and_preventative_strategies._Younger,_2001"	\\infprod.tca\shared_folders\Environment\Environment_Department_Team_Folder\Temperature_Data\Public_(Non_CA)_Data
Blaenavon	Vivian_Borehole	537.1	Y	South_Wales	324560	208930	Borehole	Temperature_Logger	05-Apr-11	12-Apr-11	16.8	18.4	18.6										J:\Environment\Technical_Team\STS_Coal_Loggers\Blaenavon_L537
Blaenavon	Weir	537.4	Y	South_Wales	324560	208930	Consented_Discharge	Temperature_Logger	05-Apr-11	12-Apr-11	7.2	11.0	14.6										J:\Environment\Technical_Team\STS_Coal_Loggers\Blaenavon_L537
Blairingone	Consented_Discharge_	575.4	Y	Scotland	298146	697750	Pumped_Passive_	Logger_Data_	03-Apr-17	01-Aug-19	0.3	9.6	22.4									Readings_are_very_seasonal,_mostly_dependant_on_ambient_air_temperature_	J:\Environment\Technical_Team\STS_Coal_Loggers\Blairingone_L575
Blenkinsop	Smallburn_Shaft	607.1	Y	North_East	367006	564317	Active_-_Passive_(Chemical_Addition	Water_Level_logger_	27-Nov-13	06-Jan-15	7.8	12.8	13.8									Data_taken_from_03/07/2012_to_23/02/13	J:\Environment\Technical_Team\STS_Coal_Loggers\Blenkinsopp_Shaft_L607
Blindwells_	Pumping_B/H	656.1	Y	Scotland	341785	674804	Pumped_Passive_	Water_Level_Logger_	05-Apr-18	02-Aug-19	10.3	11.5	12.0										J:\Environment\Technical_Team\STS_Coal_Loggers\Blindwells_L656\Blindwells_Pumping_BH
Blindwells_	Pumping_BH_5A	656.4	Y	Scotland	341622	674753	Pumped_Passive_	Temperature_Logger	17-Nov-11	09-Aug-12	10.7	11.6	14.1										\\infprod.tca\shared_folders\Environment\Environment_Department_Team_Folder\Temperature_Data\Logger_Data\Blindwells_(L656)\Blindwells_Pumping_Borehole_5A_(656.40)
Blindwells_	Cascade	656.55	Y	Scotland	341763	674793	Cascade_Outflow	Temperature_Logger	27-May-16	30-Nov-16	9.5	11.5	21.9										\\infprod.tca\shared_folders\Environment\Environment_Department_Team_Folder\Temperature_Data\Logger_Data\Blindwells_(L656)\Blindwells_Cascade_(656.55)
Boldon	No.1_Shaft_(South)	17.1	Y	North_East	434655	562252	Shaft_	Water_Level_Logger_	10-Aug-16	22-Jul-19	14.2	14.6	15.2										J:\Environment\Technical_Team\STS_Coal_Loggers\Boldon_L17
Boythorpe	Discharge	33.1	Y	Yorkshire_	437600	370900	Discharge	On_Site_Testing	05-Jun-09	05-Jun-19		11.6					49				6	Single_on_site_reading	\\infprod.tca\shared_folders\Environment\Environment_Department_Team_Folder\Temperature_Data\On_Site_Spot_Readings
Bridgewater_Canal_	Bottom	29.3	Y	North_West_	374828	400544	Cascade_Outflow	Temperature_Logger	07-Sep-11	07-Sep-11	11.9	12.1	12.5								7		\\infprod.tca\shared_folders\Environment\Environment_Department_Team_Folder\Temperature_Data\Cascade_(Aeration)_Report
Bridgewater_Canal_	Top_	29.3	Y	North_West_	374828	400544	Cascade_Outflow	Temperature_Logger	07-Sep-11	07-Sep-11	11.9	12.0	12.2								7		\\infprod.tca\shared_folders\Environment\Environment_Department_Team_Folder\Temperature_Data\Cascade_(Aeration)_Report
Broadclough	Discharge	639	Y	North_West_	386895	424387	Discharge	On_Site_Testing	19-Sep-07	19-Sep-07		10.0		1			22						\\infprod.tca\shared_folders\Environment\Environment_Department_Team_Folder\Temperature_Data\On_Site_Spot_Readings
