summary,Climate Hydrology Ecology Support System subset,
originalResource,{"url":"https://eip.ceh.ac.uk/apps/chess/","title":"EIP | CHESS"},
metadataURL,https://catalogue.ceh.ac.uk/documents/80887755-1426-4dab-a4a6-250919d5020c,https://catalogue.ceh.ac.uk/documents/d329f4d6-95ba-4134-b77a-a377e0755653,
termsAndConditions,Licensing conditions apply,CHESS Met https://catalogue.ceh.ac.uk/documents/80887755-1426-4dab-a4a6-250919d5020c,CHESS PET https://catalogue.ceh.ac.uk/documents/d329f4d6-95ba-4134-b77a-a377e0755653,
credits,CEH, Terms and conditions apply,
location,{"type":"point","x":334132.7787655574,"y":658017.530274143,"spatialReference":{"wkid":27700}},
DATES,Potential evapotranspiration with interception correction (mm/day)
2012-02-09,0.014117265
2012-02-10,0.25464135
2012-02-11,0.21922411
2012-02-12,0.1024901
2012-02-13,0.5714749
2012-02-14,0.91615987
2012-02-15,0.92213786
2012-02-16,0.8874414
2012-02-17,0.73855025
2012-02-18,1.0599034
2012-02-19,0.83133584
2012-02-20,0.8755127
2012-02-21,0.7920487
2012-02-22,1.0098817
2012-02-23,1.075881
2012-02-24,1.447723
2012-02-25,0.955621
2012-02-26,0.592718
2012-02-27,0.8100832
2012-02-28,0.6462501
2012-02-29,0.7030412
2012-03-01,0.76639104
2012-03-02,0.53783095
2012-03-03,0.7802334
2012-03-04,0.6459068
2012-03-05,0.6814643
2012-03-06,0.86430895
2012-03-07,1.2137022
2012-03-08,0.8146593
2012-03-09,1.1546758
2012-03-10,1.0268699
2012-03-11,1.0313027
2012-03-12,0.79494035
2012-03-13,0.66811484
2012-03-14,0.78719777
2012-03-15,1.0212667
2012-03-16,1.0096718
2012-03-17,1.1458596
2012-03-18,1.0548064
2012-03-19,1.3370802
2012-03-20,1.4062169
2012-03-21,1.487678
2012-03-22,1.2396836
2012-03-23,0.81622463
2012-03-24,1.0172541
2012-03-25,1.4494784
2012-03-26,1.6761504
2012-03-27,1.8359462
2012-03-28,2.0263376
2012-03-29,2.1854866
2012-03-30,2.20479
2012-03-31,1.3477542
2012-04-01,1.4653242
2012-04-02,0.41348043
2012-04-03,1.0344119
2012-04-04,1.7376189
2012-04-05,1.4303107
2012-04-06,0.5684622
2012-04-07,0.824937
2012-04-08,1.2529947
2012-04-09,1.1977932
2012-04-10,0.9910085
2012-04-11,1.1551008
2012-04-12,1.2321999
2012-04-13,1.5535747
2012-04-14,1.751639
2012-04-15,1.5881846
2012-04-16,1.7509062
2012-04-17,1.5461388
2012-04-18,1.4054881
2012-04-19,1.1267262
2012-04-20,1.2192676
2012-04-21,1.14843
2012-04-22,1.4451334
2012-04-23,1.4520953
2012-04-24,1.3344902
2012-04-25,1.1904387
2012-04-26,0.93313617
2012-04-27,1.8787513
2012-04-28,2.2217326
2012-04-29,1.8449199
2012-04-30,1.3145303
2012-05-01,1.7962005
2012-05-02,1.7322524
2012-05-03,2.1293252
2012-05-04,1.8728648
2012-05-05,2.0572221
2012-05-06,2.1199224
2012-05-07,1.4271474
2012-05-08,2.0287027
2012-05-09,2.207027
2012-05-10,0.6743969
2012-05-11,1.4565169
2012-05-12,2.8460424
2012-05-13,2.1224952
2012-05-14,2.4913156
2012-05-15,2.4928079
2012-05-16,2.3030052
2012-05-17,0.65053576
2012-05-18,0.7928722
2012-05-19,1.9344933
2012-05-20,2.9622777
2012-05-21,2.8764503
2012-05-22,3.8765814
2012-05-23,4.033761
2012-05-24,3.586295
2012-05-25,4.3114705
2012-05-26,5.1640215
2012-05-27,4.505669
2012-05-28,3.9433956
2012-05-29,1.898503
2012-05-30,1.4243757
2012-05-31,1.3700078
2012-06-01,2.4373364
2012-06-02,2.08029
2012-06-03,2.4066768
2012-06-04,2.6465182
2012-06-05,2.2020323
2012-06-06,1.4147032
2012-06-07,1.5907732
2012-06-08,0.8395385
2012-06-09,1.7471542
2012-06-10,1.6908641
2012-06-11,1.5345604
2012-06-12,2.0762644
2012-06-13,2.2114096
2012-06-14,2.661822
2012-06-15,1.0501
2012-06-16,0.7205021
2012-06-17,1.5881066
2012-06-18,3.0340455
2012-06-19,3.0709124
2012-06-20,3.0710454
2012-06-21,1.4497905
2012-06-22,1.6634771
2012-06-23,1.8869293
2012-06-24,2.1002986
2012-06-25,2.177568
2012-06-26,2.3688025
2012-06-27,1.4166878
2012-06-28,1.544424
2012-06-29,2.1927173
2012-06-30,2.7533026
