Borehole name,Grid reference,Northing (Y),Easting (X),Depth,Temp,T grad,Type,Ref
Hetton,,546900,436000,447,21.4,,strata,Prestwich 1886: Table 2 coal from 'On underground temperature wiobservations on the conductivit of rocks etc Proc R Soc London 1900
Hetton,,546900,436000,434,18.9,,strata,Prestwich 1886: Table 2 coal from 'On underground temperature wiobservations on the conductivit of rocks etc Proc R Soc London 1898
Hetton,,546900,436000,405,17.2,,strata,Prestwich 1886: Table 2 coal from 'On underground temperature wiobservations on the conductivit of rocks etc Proc R Soc London 1896
Hetton,,546900,436000,351,15.6,,strata,Prestwich 1886: Table 2 coal from 'On underground temperature wiobservations on the conductivit of rocks etc Proc R Soc London 1894
Hetton Colliery,,546900,436000,346,20.6,,strata,1871. Report of the commissioners appointed to inquire into the several matters relating to coal in the UK. HMSO 1871 Vol 1 Pages 81-212 (page 123) 
Hetton Colliery,,546900,436000,428,22.2,,strata,1871. Report of the commissioners appointed to inquire into the several matters relating to coal in the UK. HMSO 1871 Vol 1 Pages 81-212 (page 123) 
Hetton Colliery,,546900,436000,401,20.8,,strata,1871. Report of the commissioners appointed to inquire into the several matters relating to coal in the UK. HMSO 1871 Vol 1 Pages 81-212 (page 123) 
Hetton Colliery,,546900,436000,427,21.4,,strata,1871. Report of the commissioners appointed to inquire into the several matters relating to coal in the UK. HMSO 1871 Vol 1 Pages 81-212 (page 123) 
Hetton Colliery,,546900,436000,413,20.0,,strata,1871. Report of the commissioners appointed to inquire into the several matters relating to coal in the UK. HMSO 1871 Vol 1 Pages 81-212 (page 123) 
Hetton Colliery,,546900,436000,430,20.0,,strata,1871. Report of the commissioners appointed to inquire into the several matters relating to coal in the UK. HMSO 1871 Vol 1 Pages 81-212 (page 123) 
Hetton Colliery,,546900,436000,442,20.0,,strata,1871. Report of the commissioners appointed to inquire into the several matters relating to coal in the UK. HMSO 1871 Vol 1 Pages 81-212 (page 123) 
Hetton Colliery,,546900,436000,415,18.9,,strata,1871. Report of the commissioners appointed to inquire into the several matters relating to coal in the UK. HMSO 1871 Vol 1 Pages 81-212 (page 123) 
Hetton Colliery,,546900,436000,423,18.9,,strata,1871. Report of the commissioners appointed to inquire into the several matters relating to coal in the UK. HMSO 1871 Vol 1 Pages 81-212 (page 123) 
Hetton Colliery,,546900,436000,578,21.7,,strata,1871. Report of the commissioners appointed to inquire into the several matters relating to coal in the UK. HMSO 1871 Vol 1 Pages 81-212 (page 123) 
Hetton Colliery,,546900,436000,387,17.2,,strata,1871. Report of the commissioners appointed to inquire into the several matters relating to coal in the UK. HMSO 1871 Vol 1 Pages 81-212 (page 123) 
Hetton Colliery,,546900,436000,415,17.2,,strata,1871. Report of the commissioners appointed to inquire into the several matters relating to coal in the UK. HMSO 1871 Vol 1 Pages 81-212 (page 140) 
Hetton Colliery,,546900,436000,402,16.7,,strata,1871. Report of the commissioners appointed to inquire into the several matters relating to coal in the UK. HMSO 1871 Vol 1 Pages 81-212 (page 140) 
