#Written	by	Robertson	Geologging	WinLogger	V1.0/370					
~VERSION	INFORMATION									
#------------------------------------------------------------------------------										
	VERS.	2	:	CWLS	LOG	ASCII	STANDARD	-	VERSION	2
	WRAP.	NO	:	ONE	LINE	PER	DEPTH	STEP		
~WELL	INFORMATION									
#MNEM.UNIT	DATA	DESCRIPTION	OF	MNEMONIC						
#------------------------------------------------------------------------------										
	STRT.M	0.06	:	START	DEPTH					
	STOP.M	253.12	:	STOP	DEPTH					
	STEP.M	0.01	:	STEP	VALUE					
	NULL.	-999.25	:	NULL	VALUE					
	COMP.	WHITE	YOUN	GREEN	:	COMPANY	NAME			
	WELL.	MAINSFORTH	SHAFT	:	WELL	NAME				
	FLD.	MAINSFORTH	:	FIELD	NAME					
	LOC.	N/A	:	LOCATION						
	PROV.	N/A	:	PROVINCE		
	SRVC.	N/A	:	SERVICE	COMPANY	NAME
	DATE.	15	Dec	6	:	DATE
	UWI.	N/A	:	UNIQUE	WELL	IDENTIFIER
~PARAMETER	INFORMATION					
#MNEMO.UNIT	VALUE	DESCRIPTION	OF	MNEMONIC		
#------------------------------------------------------------------------------						
~OTHER	INFORMATION	SECTION				
#------------------------------------------------------------------------------						
	lLOGGING	DOWN				
~CURVE	INFORMATION					
#MNEMO.UNIT	API	CODE	CURVE	DESCRIPTION		
#------------------------------------------------------------------------------						
	DEPTH.M	:	0	Depth		
	TEMP.DegC	:	1	Temperature		
	CN25.mS/cm	:	2	Conductivity@25DegC		
	COND.mS/cm	:	3	Conductivity			
	DELT.DegC	:	4	Delta	T		
	DELC.mS/cm	:	5	Delta	C		
	NGAM.CPS	:	6	Natural	Gamma		
#------------------------------------------------------------------------------							
~A	DEPTH	TEMP	CN25	COND	DELT	DELC	NGAM
	1.27	0	15.89	0	0	0	66.33
	1.28	0	15.89	0	0	0	61
	1.29	0	15.89	0	0	0	55.8
	1.3	0	15.89	0	0	0	57.5
	1.31	0	15.89	0	0	0	57.86
	1.32	0	15.89	0	0	0	55.38
	1.33	0	15.89	0	0	0	55.89
	1.34	0	15.89	0	0	0	54.1
	1.35	0	15.89	0	0	0	54.18
	1.36	0	15.89	0	0	0	56.08
	1.37	0	15.89	0	0	0	56.85
	1.38	0	15.89	0	0	0	57.43
	1.39	0	15.89	0	0	0	57.73
	1.4	0	15.89	0	0	0	56.19
	1.41	0	15.89	0	0	0	56.47
	1.42	0	15.89	0	0	0	54.41
	1.43	0	15.89	0	0	0	57.71
	1.44	0	15.89	0	0	0	57.18
	1.45	0	15.89	0	0	0	56.76
	1.46	0	15.89	0	0	0	58
	1.47	0	15.89	0	0	0	55.59
	1.48	0	15.89	0	0	0	55.29
	1.49	0	15.89	0	0	0	57.06
	1.5	0	15.89	0	0	0	55.35
	1.51	8.32	9.68	0	8.32	-6.22	57.35
	1.52	8.31	9.68	0	8.31	-6.21	58.88
	1.53	8.31	9.68	0	8.31	-6.21	58
	1.54	8.31	9.68	0	8.31	-6.21	58
	1.55	8.31	10.83	0.77	8.31	-5.06	57.82
	1.56	8.32	10.83	0.77	8.32	-5.06	57.12
	1.57	8.32	10.82	0.76	8.32	-5.07	57.41
	1.58	8.32	10.82	0.76	8.32	-5.07	56.35
	1.59	8.32	10.82	0.76	8.32	-5.08	55.29
	1.6	8.32	10.82	0.76	8.32	-5.08	52
	1.61	8.32	10.81	0.76	8.32	-5.08	50.53
	1.62	8.32	10.81	0.76	8.32	-5.08	51.65
	1.63	8.33	10.81	0.76	8.33	-5.08	50.18
	1.64	8.33	10.81	0.76	8.33	-5.09	52.29
	1.65	8.33	10.81	0.76	8.33	-5.09	52.41
	1.66	8.33	10.8	0.76	8.33	-5.09	52.82
	1.67	8.33	10.8	0.76	8.33	-5.09	52.47
	1.68	8.33	10.8	0.76	8.33	-5.09	50.29
	1.69	8.33	10.8	0.76	8.33	-5.09	47
	1.7	8.33	10.8	0.76	8.33	-5.09	46.71
	1.71	8.33	10.8	0.76	8.33	-5.09	46.47
	1.72	8.33	10.8	0.76	8.33	-5.09	49.76
	1.73	8.33	10.8	0.76	8.33	-5.09	50.18
	1.74	8.33	10.8	0.76	8.33	-5.09	51.59
	1.75	8.33	10.8	0.76	8.33	-5.09	51.53
	1.76	8.33	10.8	0.76	8.33	-5.09	52.29
	1.77	8.33	10.8	0.76	8.33	-5.09	53
	1.78	8.33	10.8	0.76	8.33	-5.09	56.12
	1.79	8.33	10.8	0.76	8.33	-5.09	56.06
	1.8	8.33	10.8	0.76	8.33	-5.09	58.24
	1.81	8.33	10.8	0.76	8.33	-5.09	57.59
	1.82	8.33	10.8	0.76	8.33	-5.09	57.88
	1.83	8.34	10.8	0.76	8.34	-5.09	57.24
	1.84	8.34	10.79	0.76	8.34	-5.1	56.82
	1.85	8.34	10.79	0.76	8.34	-5.1	56.24
	1.86	8.34	10.79	0.76	8.34	-5.1	58.76
	1.87	8.34	10.79	0.76	8.34	-5.1	58.71
	1.88	8.34	10.79	0.76	8.34	-5.1	57.24
	1.89	8.35	10.79	0.76	8.35	-5.1	53.59
	1.9	8.35	10.79	0.76	8.35	-5.11	52.76
	1.91	8.35	10.78	0.76	8.35	-5.11	51.65
	1.92	8.35	10.78	0.76	8.35	-5.11	50.24
	1.93	8.35	10.78	0.76	8.35	-5.11	50.24
	1.94	8.35	10.79	0.76	8.35	-5.11	48.76
	1.95	8.35	10.79	0.76	8.35	-5.1	47.82
	1.96	8.35	10.79	0.76	8.35	-5.11	48.29
	1.97	8.35	10.79	0.76	8.35	-5.1	47.71
	1.98	8.35	10.79	0.76	8.35	-5.1	48.12
	1.99	8.34	10.79	0.76	8.34	-5.1	47.41
	2	8.34	10.79	0.76	8.34	-5.1	48.53
	2.01	8.34	10.79	0.76	8.34	-5.1	53.35
	2.02	8.34	10.8	0.76	8.34	-5.1	54.29
	2.03	8.34	10.8	0.76	8.34	-5.09	52.24
	2.04	8.34	10.8	0.76	8.34	-5.1	51.35
	2.05	8.33	10.8	0.76	8.33	-5.09	52.12
	2.06	8.33	10.8	0.76	8.33	-5.09	50.76
	2.07	8.33	10.8	0.76	8.33	-5.09	51.65
	2.08	8.34	10.8	0.76	8.34	-5.09	52.06
	2.09	8.34	10.8	0.76	8.34	-5.09	53.41
	2.1	8.34	10.8	0.76	8.34	-5.1	53.41
	2.11	8.34	10.8	0.76	8.34	-5.09	52.71
	2.12	8.34	10.8	0.76	8.34	-5.1	52.47
	2.13	8.35	10.79	0.76	8.35	-5.1	50.18
	2.14	8.35	10.79	0.76	8.35	-5.1	49.18
	2.15	8.35	10.78	0.76	8.35	-5.11	49.24
	2.16	8.36	10.78	0.76	8.36	-5.11	50.71
	2.17	8.36	10.78	0.76	8.36	-5.11	50.24
	2.18	8.36	10.78	0.76	8.36	-5.11	49.71
	2.19	8.36	10.78	0.76	8.36	-5.11	52.18
	2.2	8.36	10.78	0.76	8.36	-5.11	53.18
	2.21	8.36	10.78	0.76	8.36	-5.11	53.18
	2.22	8.36	10.78	0.76	8.36	-5.11	52.65
	2.23	8.35	10.78	0.76	8.35	-5.11	55.12
	2.24	8.35	10.78	0.76	8.35	-5.11	53.65
	2.25	8.35	10.79	0.76	8.35	-5.1	57.53
	2.26	8.35	10.79	0.76	8.35	-5.1	58.06
	2.27	8.35	10.79	0.76	8.35	-5.11	58.06
	2.28	8.34	10.79	0.76	8.34	-5.1	59.53
	2.29	8.34	10.79	0.76	8.34	-5.1	60
	2.3	8.34	10.79	0.76	8.34	-5.1	63.41
	2.31	8.34	10.79	0.76	8.34	-5.1	63.94
	2.32	8.34	10.79	0.76	8.34	-5.1	64.41
	2.33	8.34	10.79	0.76	8.34	-5.1	63.41
	2.34	8.34	10.79	0.76	8.34	-5.1	61.94
	2.35	8.35	10.79	0.76	8.35	-5.1	60.47
	2.36	8.35	10.79	0.76	8.35	-5.1	58.53
	2.37	8.35	10.79	0.76	8.35	-5.11	60.47
	2.38	8.35	10.79	0.76	8.35	-5.1	60
	2.39	8.35	10.78	0.76	8.35	-5.11	61
	2.4	8.35	10.79	0.76	8.35	-5.1	61.47
	2.41	8.36	10.79	0.76	8.36	-5.11	62.47
	2.42	8.36	10.78	0.76	8.36	-5.11	59.06
	2.43	8.36	10.78	0.76	8.36	-5.11	62
	2.44	8.36	10.78	0.76	8.36	-5.12	61.47
	2.45	8.36	10.78	0.76	8.36	-5.12	60.94
	2.46	8.36	10.78	0.76	8.36	-5.12	59.47
	2.47	8.36	10.78	0.76	8.36	-5.12	58.47
	2.48	8.36	10.78	0.76	8.36	-5.11	58.47
	2.49	8.36	10.78	0.76	8.36	-5.12	55.53
	2.5	8.36	10.78	0.76	0.04	1.1	55.06
	2.51	8.36	10.78	0.76	0.05	1.1	56.53
	2.52	8.36	10.78	0.76	0.05	1.1	58.06
	2.53	8.36	10.78	0.76	0.04	1.1	57.53
	2.54	8.36	10.78	0.76	0.04	-0.05	55.59
	2.55	8.36	10.78	0.76	0.04	-0.05	57
	2.56	8.36	10.78	0.76	0.04	-0.04	57
	2.57	8.36	10.78	0.76	0.04	-0.04	55.06
	2.58	8.36	10.78	0.76	0.04	-0.04	54.53
	2.59	8.36	10.78	0.76	0.04	-0.04	54.53
	2.6	8.36	10.78	0.76	0.04	-0.04	52.06
	2.61	8.36	10.78	0.76	0.04	-0.03	54.53
	2.62	8.36	10.78	0.76	0.04	-0.03	54.53
	2.63	8.36	10.78	0.76	0.03	-0.03	54.53
	2.64	8.36	10.78	0.76	0.03	-0.02	53.06
	2.65	8.36	10.78	0.76	0.03	-0.02	55
	2.66	8.36	10.78	0.76	0.02	-0.02	59.41
	2.67	8.36	10.78	0.76	0.02	-0.02	58.88
	2.68	8.36	10.78	0.76	0.02	-0.02	58.35
	2.69	8.35	10.78	0.76	0.02	-0.02	56.35
	2.7	8.35	10.78	0.76	0.02	-0.02	55.88
	2.71	8.35	10.78	0.76	0.02	-0.02	56.35
	2.72	8.35	10.78	0.76	0.02	-0.02	57.41
	2.73	8.35	10.78	0.76	0.02	-0.02	59.88
	2.74	8.36	10.78	0.76	0.03	-0.02	62.29
	2.75	8.36	10.78	0.76	0.03	-0.02	63.29
	2.76	8.36	10.78	0.76	0.03	-0.02	62.82
	2.77	8.36	10.78	0.76	0.03	-0.02	61.35
	2.78	8.36	10.77	0.76	0.03	-0.03	59.41
	2.79	8.36	10.77	0.76	0.03	-0.03	59.94
	2.8	8.36	10.77	0.76	0.03	-0.03	59.47
	2.81	8.37	10.77	0.76	0.03	-0.03	60.47
	2.82	8.37	10.77	0.76	0.03	-0.03	60.47
	2.83	8.37	10.77	0.76	0.03	-0.02	58.06
	2.84	8.37	10.77	0.76	0.02	-0.02	59.53
	2.85	8.36	10.77	0.76	0.02	-0.02	57.59
	2.86	8.36	10.77	0.76	0.02	-0.02	58.06
	2.87	8.36	10.77	0.76	0.02	-0.01	61.47
	2.88	8.36	10.77	0.76	0.02	-0.02	62.47
	2.89	8.37	10.78	0.76	0.02	-0.01	61
	2.9	8.37	10.78	0.76	0.01	-0.01	59
	2.91	8.37	10.78	0.76	0.01	-0.01	55.59
	2.92	8.37	10.78	0.76	0.01	-0.01	53.65
	2.93	8.36	10.78	0.76	0.01	-0.01	55.59
	2.94	8.36	10.78	0.76	0.01	-0.01	56.59
	2.95	8.36	10.78	0.76	0.01	-0.01	57.06
	2.96	8.36	10.78	0.76	0.01	-0.01	57.06
	2.97	8.36	10.78	0.76	0.01	-0.01	61.47
	2.98	8.36	10.78	0.76	0.02	-0.02	64.41
	2.99	8.36	10.77	0.76	0.02	-0.02	62.94
	3	8.36	10.78	0.76	0.02	-0.02	63.88
	3.01	8.36	10.78	0.76	0.02	-0.02	64.71
	3.02	8.36	10.78	0.76	0.02	-0.02	66.94
	3.03	8.36	10.78	0.76	0.03	-0.02	68.94
	3.04	8.36	10.77	0.76	0.03	-0.03	68
	3.05	8.37	10.77	0.76	0.03	-0.03	67.47
	3.06	8.37	10.77	0.76	0.04	-0.03	68.94
	3.07	8.37	10.77	0.76	0.04	-0.03	68.47
	3.08	8.37	10.77	0.76	0.04	-0.03	70.41
	3.09	8.37	10.77	0.76	0.03	-0.03	73.35
	3.1	8.37	10.77	0.76	0.03	-0.03	72.35
	3.11	8.37	10.77	0.76	0.03	-0.02	70.35
	3.12	8.37	10.77	0.76	0.02	-0.02	71.82
	3.13	8.37	10.77	0.76	0.02	-0.02	73.29
	3.14	8.37	10.77	0.76	0.01	-0.01	72.82
	3.15	8.36	10.77	0.76	0.01	-0.01	70.35
	3.16	8.36	10.78	0.76	0	0	70.35
	3.17	8.36	10.78	0.76	0	0	70.35
	3.18	8.36	10.78	0.76	0	0	68.06
	3.19	8.35	10.78	0.76	0	0	68.29
	3.2	8.35	10.78	0.76	0	0	68.76
	3.21	8.36	10.78	0.76	0	0	68.76
	3.22	8.36	10.78	0.76	0	0	69.76
	3.23	8.36	10.78	0.76	0.01	0	68.76
	3.24	8.36	10.78	0.76	0.01	-0.01	67
	3.25	8.36	10.78	0.76	0.01	-0.01	65.47
	3.26	8.36	10.78	0.76	0.02	-0.01	64.41
	3.27	8.36	10.78	0.76	0.02	-0.02	62.47
	3.28	8.36	10.77	0.76	0.02	-0.02	64.94
	3.29	8.37	10.77	0.76	0.02	-0.02	62.47
	3.3	8.37	10.77	0.76	0.03	-0.02	62.94
	3.31	8.37	10.77	0.76	0.03	-0.02	59.47
	3.32	8.37	10.77	0.76	0.02	-0.02	60.47
	3.33	8.36	10.77	0.76	0.02	-0.02	60.94
	3.34	8.36	10.78	0.76	0.02	-0.02	60
	3.35	8.36	10.78	0.76	0.02	-0.01	60.53
	3.36	8.37	10.77	0.76	0.02	-0.01	57.35
	3.37	8.37	10.77	0.76	0.02	-0.02	56.88
	3.38	8.37	10.78	0.76	0.02	-0.01	57.76
	3.39	8.37	10.78	0.76	0.02	-0.01	54.82
	3.4	8.37	10.77	0.76	0.01	-0.01	54.76
	3.41	8.37	10.77	0.76	0.01	-0.01	57
	3.42	8.37	10.77	0.76	0.01	-0.01	59.35
	3.43	8.37	10.77	0.76	0.01	-0.01	57.65
	3.44	8.37	10.77	0.76	0.01	-0.01	61.06
	3.45	8.37	10.77	0.76	0.01	-0.01	62.35
	3.46	8.37	10.77	0.76	0	0	63.71
	3.47	8.36	10.78	0.76	0	0	60.29
	3.48	8.36	10.78	0.76	0	0	60.24
	3.49	8.36	10.78	0.76	0	0	57.29
	3.5	8.36	10.78	0.76	0	0	56.35
	3.51	8.36	10.78	0.76	0	0	56.82
	3.52	8.36	10.78	0.76	0	0	55.82
	3.53	8.36	10.78	0.76	0	0	59
	3.54	8.36	10.78	0.76	0	0.01	58.47
	3.55	8.36	10.79	0.76	-0.01	0.01	55.12
	3.56	8.35	10.79	0.76	-0.01	0.01	59.53
	3.57	8.35	10.79	0.76	-0.01	0.01	59.59
	3.58	8.35	10.79	0.76	-0.01	0.01	56.88
	3.59	8.35	10.78	0.76	-0.01	0.01	55.59
	3.6	8.35	10.78	0.76	-0.01	0.01	57.82
	3.61	8.35	10.78	0.76	-0.01	0.01	57.35
	3.62	8.35	10.78	0.76	-0.01	0.01	57.06
	3.63	8.35	10.78	0.76	-0.01	0	57.71
	3.64	8.36	10.78	0.76	0	0	60.12
	3.65	8.36	10.78	0.76	0	0	59.53
	3.66	8.36	10.77	0.76	0.01	-0.01	65.41
	3.67	8.37	10.77	0.76	0.01	-0.01	64.88
	3.68	8.37	10.77	0.76	0.01	-0.01	64.88
	3.69	8.37	10.77	0.76	0.02	-0.01	69.76
	3.7	8.37	10.77	0.76	0.02	-0.01	71.24
	3.71	8.37	10.77	0.76	0.02	-0.01	68.29
	3.72	8.37	10.77	0.76	0.02	-0.01	69.29
	3.73	8.37	10.78	0.76	0.01	-0.01	65.35
	3.74	8.37	10.78	0.76	0.01	0	64.35
	3.75	8.36	10.78	0.76	0	0	68.06
	3.76	8.36	10.78	0.76	0	0	70.53
	3.77	8.36	10.78	0.76	0	0.01	69.59
	3.78	8.36	10.78	0.76	0	0	68.12
	3.79	8.36	10.78	0.76	0	0	70.06
	3.8	8.36	10.77	0.76	0	0	70.06
	3.81	8.36	10.77	0.76	0	0	68.59
	3.82	8.36	10.77	0.76	0	0	73.18
	3.83	8.36	10.77	0.76	0	0	69.53
	3.84	8.36	10.77	0.76	0	0	70.06
	3.85	8.37	10.77	0.76	0	0	68.59
	3.86	8.37	10.77	0.76	0	0	64.71
	3.87	8.37	10.77	0.76	0.01	-0.01	61.24
	3.88	8.37	10.77	0.76	0	-0.01	61.24
	3.89	8.37	10.78	0.76	0	0	61.71
	3.9	8.37	10.77	0.76	0	0	61.24
	3.91	8.36	10.77	0.76	0	0	63.24
	3.92	8.36	10.77	0.76	0	0	59.82
	3.93	8.36	10.77	0.76	0	-0.01	57.29
	3.94	8.37	10.77	0.76	0.01	0	61.71
	3.95	8.37	10.77	0.76	0.01	-0.01	59.76
	3.96	8.37	10.77	0.76	0.01	-0.01	55.35
	3.97	8.37	10.77	0.76	0.01	0	55.35
	3.98	8.37	10.77	0.76	0.01	0	53.41
	3.99	8.37	10.77	0.76	0.01	-0.01	52.41
	4	8.37	10.77	0.76	0.01	-0.01	51.18
	4.01	8.37	10.77	0.76	0.01	-0.01	50.65
	4.02	8.38	10.76	0.76	0.01	-0.01	50.65
	4.03	8.38	10.76	0.76	0.01	-0.01	51.59
	4.04	8.38	10.76	0.76	0.01	-0.01	52.12
	4.05	8.38	10.76	0.76	0.01	-0.01	52.65
	4.06	8.38	10.76	0.76	0.01	-0.01	53.12
	4.07	8.38	10.76	0.76	0.01	-0.01	56.18
	4.08	8.38	10.76	0.76	0.01	-0.01	54.71
	4.09	8.38	10.76	0.76	0.01	-0.01	59.12
	4.1	8.37	10.76	0.76	0	-0.01	60.65
	4.11	8.37	10.77	0.76	0	0	56.71
	4.12	8.37	10.77	0.76	0	0	58.18
	4.13	8.37	10.77	0.76	0	0	58.65
	4.14	8.37	10.77	0.76	0.01	0	57.65
