Scotland_E Sunshine (Total hours)
Areal series, starting from 1929
Allowances have been made for topographic, coastal and urban effects where relationships are found to exist.
Seasons: Winter=Dec-Feb, Spring=Mar-May, Summer=June-Aug, Autumn=Sept-Nov. (Winter: Year refers to Jan/Feb).
Values are ranked and displayed to 1 dp. Where values are equal, rankings are based in order of year descending.
Data are provisional from January 2018 and Winter 2018.  Last updated 02/12/2019.

Year    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC     WIN    SPR    SUM    AUT     ANN
1969   37.3   63.6   81.4  151.8  107.2  196.9  173.5  156.2  106.6   84.1   60.9   25.9   124.3  340.3  526.6  251.6  1245.4
1970   24.5  101.2  125.6  142.8  127.5  211.5  106.7  138.3   94.7   79.7   51.3   38.6   151.7  395.9  456.5  225.7  1242.4
1971   22.1   62.1   84.9  130.0  210.0  133.5  191.7  125.4  131.7   98.2   51.8   22.1   122.8  424.9  450.6  281.7  1263.5
1972   26.5   34.7   99.3  139.1  125.8  154.9  193.3  150.4  119.2   92.1   55.3   31.9    83.3  364.2  498.5  266.6  1222.4
1973   34.7   93.3  127.4  142.2  138.7  156.2  139.0  158.5  101.9   84.9   67.4   34.8   159.9  408.3  453.7  254.2  1279.0
1974   36.6   52.9   86.4  165.1  167.9  189.3  157.9  138.6  109.8   63.1   53.7   39.9   124.4  419.5  485.7  226.7  1261.2
1975   37.7   63.5  105.2  115.8  215.5  210.8  150.2  184.6  105.0   76.8   57.0   41.6   141.1  436.5  545.6  238.8  1363.8
1976   34.9   44.8   91.3  117.0  124.7  158.1  217.8  204.9   74.2   65.7   67.3   42.2   121.3  333.0  580.8  207.1  1242.7
1977   42.0   59.8   74.9  151.9  184.7  175.4  180.1  165.3   89.9   75.8   59.7   29.6   144.0  411.5  520.8  225.5  1289.2
1978   44.1   55.1   97.8   97.5  189.7  166.5  132.7  107.2   98.5   79.4   52.2   15.8   128.7  385.0  406.3  230.0  1136.3
1979   43.0   73.5  103.7  106.0  158.6  166.7  142.3  113.9  136.7   61.2   53.0   31.7   132.3  368.4  422.8  250.8  1190.2
1980   26.7   37.4   69.3  163.5  219.0  132.9  102.2  109.8   82.7   86.6   41.6   26.6    95.8  451.8  344.8  210.9  1098.3
1981   43.5   73.5   93.9  180.8  169.9  145.5  138.8  158.1  114.3  103.9   51.4   26.9   143.6  444.6  442.4  269.6  1300.5
1982   32.7   56.9  121.1  149.5  201.5  111.5  191.9  143.6  106.2   53.1   49.0   29.1   116.5  472.2  447.0  208.3  1246.1
1983   40.5   59.1   74.3  113.7   79.7  154.2  175.2  163.1   94.7   82.5   49.5   21.2   128.7  267.7  492.5  226.8  1107.8
1984   38.8   49.1   65.0  173.6  194.4  154.0  190.0  165.9   83.8   79.2   29.1   32.9   109.2  433.0  509.9  192.1  1255.8
1985   41.3   74.7   90.6  112.7  146.7  149.3  113.7  130.2   88.4  101.2   46.0   25.5   148.9  350.0  393.3  235.6  1120.2
1986   34.3   55.2  117.0  106.3  161.5  194.0  144.2  120.5  136.0  106.0   55.8   29.7   115.1  384.9  458.7  297.7  1260.6
1987   34.5   62.1  101.9  128.1  164.2  101.3  119.9  138.8  145.3   70.7   47.5   20.8   126.3  394.3  360.0  263.5  1135.1
1988   38.6   67.4  100.1  110.7  179.4  183.5  123.2  138.8  128.1   64.9   67.6   31.6   126.7  390.1  445.5  260.5  1233.8
1989   41.6   84.5  112.0  121.3  200.6  175.6  230.3  144.2  103.8   79.2   67.1   30.1   157.7  434.0  550.1  250.0  1390.3
1990   43.3   70.1  107.3  173.5  177.6  124.5  207.4  136.0  106.4   66.6   46.6   27.1   143.5  458.4  468.0  219.6  1286.4
1991   48.5   58.6   71.5  156.8  151.0  126.7  132.8  160.4  142.9   67.3   46.4   30.9   134.1  379.3  419.9  256.6  1193.7
1992   54.4   64.0   76.0   96.3  217.6  171.1  134.8  144.4   91.9   73.9   57.4   29.7   149.2  390.0  450.3  223.2  1211.5
1993   33.1   43.9  104.6  100.3  121.7  120.7  145.4  137.0  105.7   88.9   45.6   31.1   106.7  326.6  403.1  240.3  1078.0
1994   39.0   41.5  112.4  135.4  199.0  181.5  155.6  138.7  104.2   81.3   44.6   40.6   111.6  446.9  475.9  230.1  1273.9
1995   39.9   77.2  114.8  134.5  169.1  210.2  192.8  225.7   98.9   85.6   44.2   31.2   157.8  418.4  628.8  228.7  1424.3
1996   12.0   77.9   54.2   99.5  165.6  209.7  167.6  144.9  133.3   78.8   75.5   29.5   121.0  319.3  522.3  287.5  1248.5
1997   37.6   73.0  115.3  115.3  161.6  132.5  162.3  162.6  149.7  105.5   29.1   21.7   140.1  392.3  457.3  284.3  1266.1
1998   31.8   50.1   82.1  115.0  160.8  132.4  115.2  135.0   95.1  111.8   63.2   33.0   103.6  357.9  382.7  270.2  1125.8
1999   42.9   92.6  108.2  130.9  162.2  144.3  165.7  147.0  107.5   66.7   52.1   43.1   168.6  401.2  457.0  226.4  1263.2
2000   57.0   74.0   98.0  119.1  221.3  145.2  143.3  135.5   96.9   88.5   62.3   35.7   174.1  438.4  424.1  247.7  1276.9
2001   52.8   83.3  106.7  139.3  230.6  141.0  118.1  129.6   95.0   72.1   52.2   47.6   171.8  476.6  388.7  219.3  1268.3
2002   37.3   64.5  110.9  134.6  152.0  132.0  103.0  138.5  109.9   79.4   44.2   17.0   149.4  397.4  373.5  233.4  1123.2
2003   45.7   92.9  155.5  167.3  150.0  178.2  151.1  193.2  123.9  116.1   61.6   40.3   155.7  472.8  522.5  301.7  1475.9
2004   36.3   92.1  108.7  100.8  192.0  137.3  135.1  140.5  129.7   64.9   53.8   48.6   168.8  401.6  412.9  248.4  1240.0
2005   43.5   70.1   85.9  150.2  194.4  148.0  161.9  156.4  113.8   55.7   66.8   33.3   162.2  430.5  466.3  236.2  1279.9
2006   33.9   60.3   72.6  186.2  191.1  181.4  218.2  137.7  121.5   69.9   71.7   56.1   127.5  449.9  537.2  263.1  1400.5
2007   50.4   64.4  129.8  189.9  177.6   88.7  131.8  148.3  115.8  108.7   54.9   43.6   170.9  497.3  368.9  279.4  1304.0
2008   31.1   86.1  122.9  146.6  189.5  154.9  139.8   87.7   86.3  103.7   70.3   35.4   160.8  458.9  382.4  260.3  1254.2
2009   51.7   52.1  140.3  132.8  224.1  176.7  159.1  143.5  116.7   81.7   56.7   29.0   139.3  497.2  479.4  255.0  1364.6
2010   41.3   64.8  101.8  156.3  193.1  163.8  133.7  141.3  114.6   85.2   56.1   45.6   135.1  451.2  438.7  255.9  1297.4
2011   47.8   48.9  108.6  187.5  191.8  140.4  155.7  105.0  111.5   62.2   55.5   35.8   142.3  487.9  401.1  229.2  1250.7
2012   59.8   62.0  147.6  103.1  192.4   99.8   92.6  134.1  131.3   87.9   62.5   32.9   157.6  443.1  326.5  281.7  1206.0
2013   27.0   82.4   73.3  161.7  160.7  151.1  212.5  130.1  115.2   61.0   81.5   31.7   142.3  395.7  493.7  257.7  1288.1
2014   27.0   59.7  117.1  132.8  125.0  123.0  208.4  147.8   99.3   65.4   39.2   50.5   118.4  374.9  479.1  203.9  1195.2
2015   59.0   87.4  116.3  217.9  184.0  151.1  132.8  166.1  133.3   91.9   45.0   26.4   197.0  518.2  450.0  270.1  1411.2
2016   23.5   80.9  105.1  145.8  198.8  139.3  133.7  153.9  111.1   86.2   75.5   25.9   130.8  449.8  427.0  272.8  1279.8
2017   60.5   60.1  125.1  153.0  207.3  119.5  145.3  146.9  101.0   70.8   76.1   42.6   146.5  485.4  411.8  247.9  1308.4
2018   48.3   89.2   87.2  147.7  230.3  213.4  204.9  136.9  120.3   93.8   52.9   45.7   180.1  465.2  555.3  267.1  1470.7
2019   54.8   83.1  120.8  162.9  165.8  169.8  141.0  141.5  116.7   93.0   43.4          183.6  449.6  452.3  253.1
