Scotland_E Maximum Temperature (Degrees C)
Areal series, starting from 1910
Allowances have been made for topographic, coastal and urban effects where relationships are found to exist.
Seasons: Winter=Dec-Feb, Spring=Mar-May, Summer=June-Aug, Autumn=Sept-Nov. (Winter: Year refers to Jan/Feb).
Monthly values are ranked and displayed to 1 dp and seasonal/annual values to 2 dp. Where values are equal, rankings are based in order of year descending.
Data are provisional from January 2018 and Winter 2018.  Last updated 02/12/2019.

Year    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC     WIN    SPR    SUM    AUT     ANN
1950    5.1    4.6    8.9    8.5   12.4   17.7   17.2   16.9   13.0   10.3    5.5    1.7    5.03   9.96  17.23   9.58   10.17
1951    3.3    3.3    4.4    7.4   10.9   15.0   17.4   15.5   14.8   11.4    8.4    5.9    2.75   7.56  15.99  11.51    9.84
1952    2.3    4.8    7.0   11.5   14.4   15.0   18.0   16.5   11.8    9.5    4.7    3.7    4.34  10.97  16.48   8.71    9.95
1953    5.5    6.2    9.3    8.5   14.0   15.7   16.4   17.3   15.2   11.3    8.8    6.8    5.10  10.61  16.49  11.80   11.30
1954    4.1    3.0    5.9   10.2   12.7   14.4   15.6   15.2   13.1   11.6    7.3    6.5    4.70   9.60  15.12  10.68   10.02
1955    2.8    1.5    4.9   12.1   11.6   15.3   20.6   19.6   15.9   10.3    8.4    5.2    3.68   9.47  18.53  11.52   10.72
1956    3.5    2.7    6.8    9.0   14.2   15.0   16.5   14.0   14.6   10.8    7.6    6.7    3.79  10.03  15.16  10.99   10.14
1957    6.3    4.8    9.2   10.7   12.4   17.1   16.6   16.1   12.7   11.7    7.4    5.6    5.96  10.74  16.58  10.62   10.91
1958    4.0    4.1    3.5    9.3   11.9   14.7   17.0   16.2   16.0   12.1    7.7    4.5    4.59   8.23  16.00  11.94   10.13
1959    2.2    5.7    7.9   10.5   14.5   16.3   18.2   18.7   16.8   13.4    8.0    5.5    4.09  10.96  17.75  12.71   11.50
1960    4.3    4.0    6.0   11.1   14.9   17.9   16.4   16.3   14.3   10.2    6.9    3.9    4.61  10.67  16.86  10.46   10.53
1961    3.8    7.1   10.0   10.1   12.7   15.5   15.7   16.3   15.4   11.2    6.4    2.9    4.88  10.94  15.85  10.99   10.61
1962    4.9    5.8    4.0    9.3   12.0   16.0   15.3   15.1   12.8   11.5    5.9    4.3    4.51   8.44  15.47  10.12    9.78
1963    0.9    1.3    6.8    9.3   11.8   15.7   15.9   14.9   14.1   11.6    6.8    4.3    2.20   9.34  15.48  10.85    9.50
1964    5.7    5.3    4.7   10.1   13.8   15.3   16.9   15.9   14.5   10.2    7.8    4.4    5.08   9.51  16.02  10.85   10.38
1965    3.5    4.9    5.9   10.0   12.1   15.7   14.0   15.7   13.3   11.3    4.5    3.6    4.22   9.32  15.14   9.72    9.57
1966    3.2    3.7    8.0    6.6   12.9   15.8   16.7   15.0   14.7   10.3    5.8    4.7    3.50   9.19  15.80  10.27    9.82
1967    4.9    5.9    7.4    9.9   10.6   16.2   16.8   16.7   14.5   10.5    7.0    5.6    5.15   9.29  16.53  10.69   10.51
1968    4.8    2.7    7.2    9.6   10.1   16.6   15.2   16.5   14.1   12.0    6.4    4.3    4.38   8.96  16.09  10.86    9.98
1969    5.3    1.6    3.7    8.8   11.2   16.3   18.1   17.8   14.8   13.6    4.9    4.3    3.79   7.89  17.42  11.13   10.09
1970    3.6    3.3    5.4    7.9   13.4   17.5   15.2   17.2   14.6   10.9    6.8    5.2    3.73   8.90  16.65  10.77   10.12
1971    5.1    6.2    6.8    9.6   13.7   13.5   17.9   16.3   15.8   12.3    6.9    8.0    5.48  10.05  15.90  11.67   11.04
1972    4.1    4.5    7.1   10.2   12.1   13.7   17.3   16.3   13.7   12.2    6.7    6.1    5.57   9.80  15.77  10.86   10.35
1973    5.1    5.5    8.8    8.4   11.9   16.7   17.3   17.0   14.4   10.2    6.4    5.3    5.54   9.72  16.99  10.35   10.61
1974    6.5    5.9    6.1   10.5   12.8   15.4   15.9   16.4   12.7    8.6    6.8    7.4    5.88   9.80  15.90   9.37   10.45
1975    6.5    5.2    5.9    9.3   11.4   16.7   17.9   19.8   13.6   11.3    7.1    7.2    6.42   8.88  18.14  10.66   11.03
1976    5.7    5.5    5.5    9.7   12.5   17.5   19.7   19.3   13.3   10.7    6.8    2.1    6.13   9.23  18.84  10.27   10.71
1977    3.0    3.8    7.3    8.3   12.2   14.6   17.7   16.5   13.4   12.2    6.0    6.1    2.95   9.28  16.26  10.58   10.14
1978    3.4    2.1    7.2    7.4   14.1   15.4   15.6   15.8   14.1   12.4    8.8    3.8    3.94   9.57  15.61  11.76   10.05
1979    1.5    2.2    4.5    8.2   11.0   15.9   16.9   15.5   14.2   11.2    7.0    4.9    2.49   7.89  16.07  10.81    9.45
1980    2.6    5.2    4.8   11.0   13.8   15.3   15.7   16.4   14.8    9.2    6.8    6.3    4.22   9.88  15.80  10.25   10.17
1981    5.3    4.5    7.5   10.1   13.5   14.7   16.6   17.8   15.4    8.2    7.7    1.3    5.42  10.34  16.37  10.40   10.24
1982    3.3    6.0    7.3   10.8   13.4   15.0   18.4   16.9   14.4   10.6    7.3    4.7    3.44  10.50  16.76  10.76   10.69
1983    6.5    3.0    7.3    7.6   10.3   14.9   19.6   19.1   13.4   10.8    7.9    6.9    4.78   8.42  17.91  10.69   10.66
1984    2.6    4.6    5.4   10.5   13.0   15.8   19.0   18.8   13.3   11.5    7.6    6.3    4.66   9.61  17.93  10.82   10.72
1985    2.2    4.6    5.6    9.3   12.2   14.1   16.5   15.3   13.7   12.0    4.5    5.8    4.31   9.05  15.27  10.09    9.67
1986    3.3    0.9    6.5    7.0   12.3   16.1   16.7   14.3   13.5   11.3    8.4    5.4    3.41   8.64  15.70  11.07    9.70
1987    2.4    4.7    5.3   11.2   11.8   13.2   16.9   16.4   14.1    9.6    6.8    6.1    4.16   9.41  15.52  10.14    9.90
1988    4.8    5.3    6.6    9.4   13.0   17.0   15.8   16.4   14.3   10.5    7.0    8.2    5.41   9.69  16.39  10.60   10.72
1989    8.1    6.5    7.6    7.9   14.0   16.0   19.9   16.9   14.5   12.0    7.0    4.2    7.63   9.88  17.63  11.16   11.26
1990    6.5    6.6    9.0   10.2   14.0   15.1   17.5   17.9   13.7   11.3    6.8    5.3    5.73  11.08  16.86  10.59   11.19
1991    3.8    3.5    8.4    9.4   13.1   13.6   18.2   18.4   15.4   10.3    7.2    6.2    4.21  10.31  16.78  10.96   10.68
1992    5.7    6.7    7.5    9.3   14.6   17.5   16.7   15.8   13.3    8.4    7.3    4.3    6.20  10.48  16.64   9.62   10.59
1993    5.9    7.0    7.7    9.8   11.8   15.4   15.8   15.5   13.3    8.8    5.3    4.0    5.72   9.77  15.60   9.13   10.05
1994    4.6    3.1    7.0    9.1   11.8   15.5   18.3   16.4   13.6   10.7    9.7    6.3    3.92   9.29  16.74  11.33   10.55
1995    4.5    5.7    5.7    9.8   12.8   16.2   19.1   20.7   14.3   13.2    8.3    2.7    5.51   9.42  18.68  11.98   11.12
1996    4.7    4.0    4.6    9.6   10.6   16.1   17.5   18.1   15.2   12.1    5.8    3.9    3.80   8.25  17.23  11.06   10.20
1997    4.3    6.6    9.3   11.0   12.5   14.7   18.4   19.6   15.0   11.4    8.6    6.2    4.88  10.94  17.58  11.63   11.49
1998    5.5    8.8    8.3    8.1   13.8   14.6   16.0   16.5   15.1    9.9    6.8    6.6    6.78  10.10  15.72  10.59   10.85
1999    5.0    5.4    7.9   10.7   13.4   15.0   18.4   16.9   16.3   11.4    8.5    4.2    5.71  10.66  16.78  12.08   11.13
2000    6.2    6.2    8.8    8.9   13.9   14.9   16.6   17.7   14.9   11.0    6.9    5.3    5.56  10.54  16.39  10.96   10.97
2001    3.6    4.6    5.4    8.9   15.3   14.8   17.3   17.3   14.0   13.2    8.7    4.8    4.52   9.89  16.50  11.99   10.72
2002    6.4    6.3    8.4   10.8   13.4   15.6   16.6   18.1   15.6    9.7    8.1    5.2    5.83  10.86  16.78  11.15   11.21
2003    5.2    5.4   10.1   12.0   13.3   17.4   19.2   19.3   16.0   10.6    9.2    6.0    5.27  11.81  18.63  11.94   12.02
2004    5.5    6.2    8.1   10.9   14.7   16.4   16.9   18.0   15.4   10.6    8.6    7.0    5.86  11.22  17.10  11.54   11.53
2005    7.1    5.3    8.2   10.2   12.7   16.9   18.1   17.7   16.0   12.4    7.5    5.9    6.50  10.36  17.55  11.93   11.52
2006    5.5    5.4    4.9   10.0   13.4   17.7   21.4   17.7   17.3   13.1    8.8    6.4    5.61   9.41  18.91  13.05   11.81
2007    7.2    6.6    8.5   13.8   13.0   15.2   16.8   16.7   14.7   12.9    8.5    5.6    6.71  11.73  16.25  12.05   11.64
2008    5.9    7.6    6.9    9.4   14.7   15.9   18.0   16.9   14.5   10.5    7.3    5.0    6.33  10.34  16.95  10.80   11.06
2009    4.6    5.4    8.7   11.9   13.9   16.4   18.1   17.5   15.5   12.0    8.0    3.3    5.00  11.48  17.35  11.85   11.31
2010    2.5    3.1    7.4   11.1   13.1   17.4   17.5   16.8   14.8   11.0    5.3    0.9    2.94  10.52  17.25  10.34   10.11
2011    4.3    6.1    8.2   14.1   13.5   15.3   17.1   15.9   15.5   12.3   10.3    5.6    3.71  11.89  16.10  12.69   11.53
2012    5.5    7.0   11.7    8.3   13.0   13.7   15.8   17.5   14.1    9.4    7.3    4.6    6.00  11.02  15.70  10.29   10.69
2013    4.4    5.0    3.5    8.8   13.0   16.3   20.7   18.1   15.1   12.1    7.0    7.4    4.67   8.43  18.37  11.38   10.98
2014    5.4    6.1    8.7   11.4   13.8   17.1   19.7   16.2   16.3   12.3    8.8    5.5    6.30  11.27  17.65  12.46   11.79
2015    4.8    5.7    7.8   11.6   11.9   15.4   16.5   17.3   14.9   12.3    8.6    8.3    5.31  10.40  16.37  11.93   11.27
2016    5.1    5.1    8.0    8.6   14.1   15.8   17.4   17.5   16.6   11.7    6.2    8.2    6.18  10.28  16.93  11.47   11.22
2017    5.9    6.5    9.3   10.8   15.4   16.2   16.9   17.0   14.3   12.8    6.4    5.3    6.89  11.87  16.70  11.21   11.45
2018    4.3    4.0    4.8   10.1   15.9   18.1   20.4   17.2   14.4   11.7    8.7    6.4    4.58  10.28  18.59  11.59   11.39
2019    5.1    8.5    8.3   11.1   12.7   15.6   19.2   17.9   15.1   10.1    5.8           6.60  10.70  17.60  10.36
