Scotland_N Days of Air Frost
Areal series, starting from 1961
Allowances have been made for topographic, coastal and urban effects where relationships are found to exist.
Seasons: Winter=Dec-Feb, Spring=Mar-May, Summer=June-Aug, Autumn=Sept-Nov. (Winter: Year refers to Jan/Feb).
Values are ranked and displayed to 1 dp. Where values are equal, rankings are based in order of year descending.
Data are provisional from January 2018 and Winter 2018.  Last updated 02/12/2019.

Year    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC     WIN    SPR    SUM    AUT     ANN
2002    7.6   10.8    7.2    5.0    1.1    0.0    0.0    0.0    0.4    4.5    4.1   10.8    34.2   13.3    0.0    8.9    51.5
2003   15.4   14.7    7.9    2.9    0.6    0.0    0.0    0.0    0.3    6.2    3.7   12.4    40.9   11.4    0.0   10.2    64.0
2004   12.5   15.7    7.9    1.6    1.0    0.1    0.1    0.1    0.3    1.2    4.8    8.6    40.5   10.5    0.2    6.3    53.9
2005    7.0   12.1    8.1    5.0    2.9    0.3    0.0    0.0    0.1    0.6    7.9    8.4    27.8   15.9    0.3    8.6    52.4
2006   10.6   14.1   16.2    6.6    2.1    0.1    0.0    0.0    0.1    0.5    2.2    6.7    33.1   24.9    0.1    2.9    59.3
2007    6.9    7.3    8.5    2.6    2.0    0.3    0.0    0.1    0.9    0.6    3.5   11.7    20.8   13.2    0.4    5.0    44.4
2008   12.5    9.2   11.5    7.7    1.2    0.4    0.0    0.0    0.3    3.9    7.3   13.9    33.4   20.4    0.4   11.6    68.1
2009   13.7   12.0    7.4    3.5    1.0    0.6    0.0    0.0    0.1    1.2    4.6   20.1    39.7   11.9    0.7    6.0    64.3
2010   20.2   20.5   12.3    6.5    3.8    0.1    0.0    0.1    0.6    2.1   13.0   23.4    60.8   22.5    0.2   15.8   102.6
2011   15.0    8.2    9.9    0.9    1.0    0.3    0.0    0.0    0.0    0.3    2.0   12.5    46.7   11.8    0.4    2.4    50.4
2012   10.2    8.4    4.0    9.7    4.2    1.0    0.0    0.2    0.5    5.8    7.3   14.9    31.2   17.9    1.2   13.6    66.2
2013   11.6   16.7   19.7   11.7    2.3    0.1    0.0    0.0    0.5    0.9    7.2    6.1    43.1   33.7    0.1    8.7    76.9
2014    8.7    6.7    5.0    2.4    1.4    0.0    0.0    0.2    0.0    0.9    4.2   10.1    21.5    8.8    0.2    5.2    39.7
2015   13.5   11.0    9.0    5.6    2.5    0.3    0.0    0.0    0.2    1.7    3.7    6.5    34.6   17.1    0.4    5.6    54.1
2016   13.4   14.8   10.3    9.1    0.7    0.1    0.0    0.4    0.0    2.4    9.7    5.1    34.8   20.1    0.4   12.1    66.0
2017   11.9   11.9    8.3    3.1    1.6    0.3    0.0    0.0    0.2    0.8    5.9   14.1    28.9   13.0    0.3    6.9    58.1
2018   14.8   17.4   14.0    6.4    1.0    0.1    0.0    0.1    0.2    3.1    5.9    8.2    46.3   21.5    0.2    9.2    71.3
2019   16.4    7.8    6.9    4.2    5.5    0.1    0.0    0.0    0.0    5.3   13.8           32.4   16.6    0.1   19.1
