Scotland_N Rainfall (mm)
Areal series, starting from 1910
Allowances have been made for topographic, coastal and urban effects where relationships are found to exist.
Seasons: Winter=Dec-Feb, Spring=Mar-May, Summer=June-Aug, Autumn=Sept-Nov. (Winter: Year refers to Jan/Feb).
Values are ranked and displayed to 1 dp. Where values are equal, rankings are based in order of year descending.
Data are provisional from January 2018 and Winter 2018.  Last updated 02/12/2019.

Year    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC     WIN    SPR    SUM    AUT     ANN
1950  153.7  156.4  110.3  171.6   55.2  112.4  124.1  134.3  271.7  152.1  158.7  123.1   629.5  337.0  370.8  582.5  1723.5
1951  169.0  117.0   94.8  164.3   20.6   67.4  128.6  145.5   89.1   93.3  198.9  237.7   409.1  279.7  341.5  381.4  1526.3
1952  154.7   96.1  122.6   70.0   75.8  101.4   83.2  149.7  129.9  161.4  134.1  169.4   488.5  268.4  334.3  425.5  1448.5
1953  118.3  123.4   63.6  125.0  110.5   64.9  157.2  133.3  135.6  105.0  227.7  160.9   411.0  299.1  355.4  468.3  1525.3
1954  138.6  107.0  101.4   65.2  114.2  116.6  109.1   99.3  167.6  265.1  194.7  273.4   406.4  280.8  325.1  627.5  1752.3
1955  111.6  118.2   54.5   81.5  102.2   71.1   22.3   36.1  162.2  195.3   67.6  246.2   503.2  238.1  129.5  425.1  1268.7
1956  156.8  102.4   64.6   98.8  116.4   88.4  176.6  150.3  128.7  172.6  156.5  235.0   505.3  279.8  415.3  457.8  1646.9
1957  231.1  110.1  150.5   64.7   53.9   92.2  152.7  163.8  115.7  179.5   96.6  232.0   576.3  269.0  408.7  391.8  1642.7
1958  182.4  120.8   66.6   86.8  156.8   60.6   76.9  125.5  100.3  183.2   60.2  128.7   535.2  310.3  263.0  343.7  1348.9
1959  175.8   64.3   93.9  132.7   57.3  105.8  154.8  101.7   65.0  201.4  179.8  180.1   368.8  283.9  362.4  446.2  1512.7
1960  106.9  116.1   35.3   96.0   37.0   85.5   76.9  137.3   88.4   65.6  100.0  166.7   403.1  168.3  299.7  254.0  1111.6
1961  112.1  156.7  134.0   65.5   56.5  102.4  124.8  149.6  146.6  210.5  137.0  117.0   435.5  256.0  376.7  494.0  1512.6
1962  243.8  175.1   76.4   69.6  115.5  105.2   54.2  209.2  103.2  112.9   90.7  189.9   536.0  261.5  368.6  306.7  1545.7
1963   39.9   15.3  118.0   74.2  129.4   80.6   78.6  121.3  137.9  157.7  139.0   74.3   245.1  321.6  280.5  434.6  1166.2
1964   88.8   60.4   35.4  116.4  114.8   79.1  118.9  152.4  159.3  106.1  172.4  178.5   223.5  266.6  350.4  437.7  1382.4
1965  176.7   59.9   78.3  128.5   85.0  114.5   95.5  125.1  154.2  150.0  117.7  156.4   415.2  291.8  335.0  421.9  1441.8
1966   67.6   96.7  195.8   43.1  116.4  145.5   87.3   70.1  112.6  132.8  183.9  304.2   320.6  355.3  302.9  429.4  1556.0
