Conventions,G,BADC-CSV,1
title,G,uk-soil-temperature-obs
source,G,Met Office MIDAS database
creator,G,Met Office
activity,G,Met Office MIDAS Open: UK Land Surface Stations Data
feature_type,G,point series
collection_name,G,midas-open
collection_version_number,G,dataset-version-201908
history,G,Created 2019-08-20
last_revised_date,G,2019-08-20
observation_station,G,paisley
historic_county_name,G,renfrewshire
midas_station_id,G,00968
location,G,55.845,-4.431
height,G,32,m
date_valid,G,2009-01-01 00:00:00,2009-12-31 23:59:59
midas_qc_version_number,G,1
comments,G,The midas_qc_version_number indicates if the data are original received message (0) or current best version (1)
comments,G,This file contains station observations
comments,G,missing values are identified with the missing data flag
missing_value,G,NA
coordinate_variable,ob_time,t
long_name,ob_time,Date and time of observation,s
type,ob_time,char
comments,ob_time,Date and time (YYYY-MM-DD HH:MM:SS) of observation
long_name,id,station identifier,1
type,id,char
comments,id,a station may have more than one id assigned to it designated by the id_type
long_name,id_type,identifier type,1
type,id_type,char
comments,id_type,a station may have more than one id assigned to it defined by id_type
long_name,version_num,midas qc version number,1
type,version_num,int
comments,version_num,The midas_qc_version_number indicates if the data are original received message (0) or current best version (1)
long_name,met_domain_name,message type,1
type,met_domain_name,char
comments,met_domain_name,message type (see MIDAS documentation)
long_name,src_id,unique source identifier or station site number,1
type,src_id,int
comments,src_id,unique source identifier or station site number
long_name,rec_st_ind,state indicator for the record,1
type,rec_st_ind,int
comments,rec_st_ind,state indicator for the current stage in the life of the record (see MIDAS documentation)
long_name,q5cm_soil_temp,5cm soil temperature,degC
type,q5cm_soil_temp,float
long_name,q5cm_soil_temp_q,QC code: 5cm soil temperature,1
type,q5cm_soil_temp_q,int
long_name,q5cm_soil_temp_j,Descriptor: 5cm soil temperature,1
type,q5cm_soil_temp_j,char
long_name,q10cm_soil_temp,10cm soil temperature,degC
type,q10cm_soil_temp,float
long_name,q10cm_soil_temp_q,QC code: 10cm soil temperature,1
type,q10cm_soil_temp_q,int
long_name,q10cm_soil_temp_j,Descriptor: 10cm soil temperature,1
type,q10cm_soil_temp_j,char
long_name,q20cm_soil_temp,20cm soil temperature,degC
type,q20cm_soil_temp,float
long_name,q20cm_soil_temp_q,QC code: 20cm soil temperature,1
type,q20cm_soil_temp_q,int
long_name,q20cm_soil_temp_j,Descriptor: 20cm soil temperature,1
type,q20cm_soil_temp_j,char
long_name,q30cm_soil_temp,30cm soil temperature,degC
type,q30cm_soil_temp,float
long_name,q30cm_soil_temp_q,QC code: 30cm soil temperature,1
type,q30cm_soil_temp_q,int
long_name,q30cm_soil_temp_j,Descriptor: 30cm soil temperature,1
type,q30cm_soil_temp_j,char
long_name,q50cm_soil_temp,50cm soil temperature,degC
type,q50cm_soil_temp,float
long_name,q50cm_soil_temp_q,QC code: 50cm soil temperature,1
type,q50cm_soil_temp_q,int,
long_name,q50cm_soil_temp_j,Descriptor: 50cm soil temperature,1
type,q50cm_soil_temp_j,char
long_name,q100cm_soil_temp,100cm soil temperature,degC
type,q100cm_soil_temp,float
long_name,q100cm_soil_temp_q,QC code: 100cm soil temperature,1
type,q100cm_soil_temp_q,int
long_name,q100cm_soil_temp_j,Descriptor: 100cm soil temperature,1
type,q100cm_soil_temp_j,char
long_name,meto_stmp_time,Met Office receipt stamp time,s
type,meto_stmp_time,char
comments,meto_stmp_time,Met Office receipt stampe time in format (YYYY-MM-DD HH:MM:SS)
long_name,midas_stmp_etime,Elapsed time to storage in MIDAS,minutes
type,midas_stmp_etime,int
data
ob_time,id_type,id,met_domain_name,version_num,src_id,rec_st_ind,q5cm_soil_temp,q5cm_soil_temp_q,q5cm_soil_temp_j,q10cm_soil_temp,q10cm_soil_temp_q,q10cm_soil_temp_j,q20cm_soil_temp,q20cm_soil_temp_q,q20cm_soil_temp_j,q30cm_soil_temp,q30cm_soil_temp_q,q30cm_soil_temp_j,q50cm_soil_temp,q50cm_soil_temp_q,q50cm_soil_temp_j,q100cm_soil_temp,q100cm_soil_temp_q,q100cm_soil_temp_j,meto_stmp_time,midas_stmp_etime
2009-01-20 09:00:00,DCNN,6366,DLY3208,1,968,1011,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,NA,NA,NA,NA,6.4,6,NA,2009-01-20 10:08:14,43
2009-01-21 09:00:00,DCNN,6366,DLY3208,1,968,1011,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,NA,NA,NA,NA,6.4,6,NA,2009-01-21 10:08:18,48
2009-01-23 09:00:00,DCNN,6366,DLY3208,1,968,1011,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.1,6,NA,NA,NA,NA,6.1,6,NA,2009-01-23 10:08:12,9
2009-01-24 09:00:00,DCNN,6366,DLY3208,1,968,1011,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6,6,NA,NA,NA,NA,6.1,6,NA,2009-01-24 10:08:12,42
2009-01-25 09:00:00,DCNN,6366,DLY3208,1,968,1011,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4,6,NA,NA,NA,NA,6,6,NA,2009-01-25 10:08:10,51
2009-01-26 09:00:00,DCNN,6366,DLY3208,1,968,1011,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,6,NA,NA,NA,NA,5.9,6,NA,2009-01-27 11:08:06,43
2009-01-27 09:00:00,DCNN,6366,DLY3208,1,968,1011,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,6,NA,NA,NA,NA,5.8,6,NA,2009-01-27 11:08:06,41
2009-01-28 09:00:00,DCNN,6366,DLY3208,1,968,1011,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.1,6,NA,NA,NA,NA,5.8,6,NA,2009-01-28 10:08:14,40
2009-01-29 09:00:00,DCNN,6366,DLY3208,1,968,1011,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6,6,NA,NA,NA,NA,5.8,6,NA,2009-01-29 10:08:17,46
2009-01-30 09:00:00,DCNN,6366,DLY3208,1,968,1011,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.1,6,NA,NA,NA,NA,5.8,6,NA,2009-01-30 10:08:15,46
2009-01-31 09:00:00,DCNN,6366,DLY3208,1,968,1011,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.6,6,NA,NA,NA,NA,5.9,6,NA,2009-01-31 10:08:09,26
2009-02-01 09:00:00,DCNN,6366,DLY3208,1,968,1011,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.3,6,NA,NA,NA,NA,6.1,6,NA,2009-02-01 10:08:10,36
2009-02-02 09:00:00,DCNN,6366,DLY3208,1,968,1011,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7,6,NA,NA,NA,NA,6,6,NA,2009-03-03 10:08:19,27
2009-02-03 09:00:00,DCNN,6366,DLY3208,1,968,1011,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4,6,NA,NA,NA,NA,6.1,6,NA,2009-02-03 13:08:09,37
2009-02-04 09:00:00,DCNN,6366,DLY3208,1,968,1011,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1,6,NA,NA,NA,NA,5.8,6,NA,2009-02-04 11:08:09,44
2009-02-05 09:00:00,DCNN,6366,DLY3208,1,968,1011,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,6,NA,NA,NA,NA,5.8,6,NA,2009-02-05 10:08:14,42
2009-02-06 09:00:00,DCNN,6366,DLY3208,1,968,1011,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,6,NA,NA,NA,NA,5.7,6,NA,2009-02-06 11:08:06,38
2009-02-07 09:00:00,DCNN,6366,DLY3208,1,968,1011,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,6,NA,NA,NA,NA,5.6,6,NA,2009-02-08 10:08:10,16
2009-02-08 09:00:00,DCNN,6366,DLY3208,1,968,1011,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,NA,NA,NA,NA,5.5,6,NA,2009-02-08 10:08:10,11
2009-02-09 09:00:00,DCNN,6366,DLY3208,1,968,1011,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,6,NA,NA,NA,NA,5.4,6,NA,2009-02-09 15:09:38,331
2009-02-10 09:00:00,DCNN,6366,DLY3208,1,968,1011,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,6,NA,NA,NA,NA,5.2,6,NA,2009-02-10 10:08:11,40
2009-02-11 09:00:00,DCNN,6366,DLY3208,1,968,1011,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,6,NA,NA,NA,NA,5.1,6,NA,2009-02-11 11:08:18,22
2009-02-12 09:00:00,DCNN,6366,DLY3208,1,968,1011,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,6,NA,NA,NA,NA,5,6,NA,2009-02-12 10:08:12,54
2009-02-13 09:00:00,DCNN,6366,DLY3208,1,968,1011,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,6,NA,NA,NA,NA,5,6,NA,2009-02-13 10:08:09,60
2009-02-14 09:00:00,DCNN,6366,DLY3208,1,968,1011,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,6,NA,NA,NA,NA,4.9,6,NA,2009-02-15 13:08:02,2
2009-02-15 09:00:00,DCNN,6366,DLY3208,1,968,1011,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6,6,NA,NA,NA,NA,5,6,NA,2009-02-15 14:08:05,57
2009-02-16 09:00:00,DCNN,6366,DLY3208,1,968,1011,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.1,6,NA,NA,NA,NA,4.9,6,NA,2009-02-17 10:08:13,47
2009-02-17 09:00:00,DCNN,6366,DLY3208,1,968,1011,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.2,6,NA,NA,NA,NA,5.1,6,NA,2009-02-17 10:08:13,44
2009-02-18 09:00:00,DCNN,6366,DLY3208,1,968,1011,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,NA,NA,NA,NA,5.2,6,NA,2009-02-18 11:08:08,57
2009-02-19 09:00:00,DCNN,6366,DLY3208,1,968,1011,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.1,6,NA,NA,NA,NA,5.5,6,NA,2009-02-19 10:08:15,49
2009-02-20 09:00:00,DCNN,6366,DLY3208,1,968,1011,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,6,NA,NA,NA,NA,5.8,6,NA,2009-02-20 11:08:09,50
2009-02-21 09:00:00,DCNN,6366,DLY3208,1,968,1011,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.8,6,NA,NA,NA,NA,6,6,NA,2009-02-21 09:08:05,7
2009-02-22 09:00:00,DCNN,6366,DLY3208,1,968,1011,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,NA,NA,NA,NA,6.1,6,NA,2009-02-22 10:08:10,57
2009-02-23 09:00:00,DCNN,6366,DLY3208,1,968,1011,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.3,6,NA,NA,NA,NA,6.1,6,NA,2009-02-24 12:08:11,40
2009-02-24 09:00:00,DCNN,6366,DLY3208,1,968,1011,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.6,6,NA,NA,NA,NA,6.2,6,NA,2009-02-24 12:08:11,37
2009-02-25 09:00:00,DCNN,6366,DLY3208,1,968,1011,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.7,6,NA,NA,NA,NA,6.3,6,NA,2009-02-25 10:08:42,28
2009-02-26 09:00:00,DCNN,6366,DLY3208,1,968,1011,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.6,6,NA,NA,NA,NA,6.4,6,NA,2009-02-26 10:09:21,38
2009-02-27 09:00:00,DCNN,6366,DLY3208,1,968,1011,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.8,6,NA,NA,NA,NA,6.5,6,NA,2009-02-27 11:09:14,58
2009-02-28 09:00:00,DCNN,6366,DLY3208,1,968,1011,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.6,6,NA,NA,NA,NA,6.6,6,NA,2009-02-28 10:08:08,37
2009-03-01 09:00:00,DCNN,6366,DLY3208,1,968,1011,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.3,6,NA,NA,NA,NA,6.7,6,NA,2009-03-01 10:08:18,28
2009-03-02 09:00:00,DCNN,6366,DLY3208,1,968,1011,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.8,6,NA,NA,NA,NA,6.3,6,NA,2009-03-03 10:08:19,32
2009-03-03 09:00:00,DCNN,6366,DLY3208,1,968,1011,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.6,6,NA,NA,NA,NA,6.9,6,NA,2009-03-03 10:08:19,29
2009-03-04 09:00:00,DCNN,6366,DLY3208,1,968,1011,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.1,6,NA,NA,NA,NA,6.9,6,NA,2009-03-04 10:08:14,39
2009-03-05 09:00:00,DCNN,6366,DLY3208,1,968,1011,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.9,6,NA,NA,NA,NA,6.9,6,NA,2009-03-05 10:08:15,50
2009-03-06 09:00:00,DCNN,6366,DLY3208,1,968,1011,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.3,6,NA,NA,NA,NA,6.8,6,NA,2009-03-06 10:08:19,52
2009-03-07 09:00:00,DCNN,6366,DLY3208,1,968,1011,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.1,6,NA,NA,NA,NA,6.7,6,NA,2009-03-07 10:08:14,58
2009-03-08 09:00:00,DCNN,6366,DLY3208,1,968,1011,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.6,6,NA,NA,NA,NA,6.7,6,NA,2009-03-10 13:08:10,27
2009-03-09 09:00:00,DCNN,6366,DLY3208,1,968,1011,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,NA,NA,NA,NA,6.6,6,NA,2009-03-10 10:08:41,39
2009-03-10 09:00:00,DCNN,6366,DLY3208,1,968,1011,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.1,6,NA,NA,NA,NA,6.6,6,NA,2009-03-10 10:08:41,35
2009-03-11 09:00:00,DCNN,6366,DLY3208,1,968,1011,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.9,6,NA,NA,NA,NA,6.7,6,NA,2009-03-11 10:08:17,50
2009-03-12 09:00:00,DCNN,6366,DLY3208,1,968,1011,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.2,6,NA,NA,NA,NA,6.7,6,NA,2009-03-12 10:09:22,46
2009-03-13 09:00:00,DCNN,6366,DLY3208,1,968,1011,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,6,NA,NA,NA,NA,6.7,6,NA,2009-03-13 10:08:31,47
2009-03-14 09:00:00,DCNN,6366,DLY3208,1,968,1011,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.7,6,NA,NA,NA,NA,6.7,6,NA,2009-03-15 09:08:07,36
2009-03-15 09:00:00,DCNN,6366,DLY3208,1,968,1011,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.2,6,NA,NA,NA,NA,6.8,6,NA,2009-03-15 13:08:05,13
2009-03-16 09:00:00,DCNN,6366,DLY3208,1,968,1011,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.4,6,NA,NA,NA,NA,6.9,6,NA,2009-03-17 10:08:11,53
2009-03-17 09:00:00,DCNN,6366,DLY3208,1,968,1011,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.6,6,NA,NA,NA,NA,7.1,6,NA,2009-03-17 10:08:11,49
2009-03-18 09:00:00,DCNN,6366,DLY3208,1,968,1011,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.3,6,NA,NA,NA,NA,7.1,6,NA,2009-03-18 10:08:12,52
2009-03-19 09:00:00,DCNN,6366,DLY3208,1,968,1011,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.3,6,NA,NA,NA,NA,7.2,6,NA,2009-03-19 10:08:39,56
2009-03-20 09:00:00,DCNN,6366,DLY3208,1,968,1011,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,6,NA,NA,NA,NA,7.4,6,NA,2009-03-20 10:08:33,1
2009-03-21 09:00:00,DCNN,6366,DLY3208,1,968,1011,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.2,6,NA,NA,NA,NA,7.4,6,NA,2009-03-21 10:08:12,56
2009-03-22 09:00:00,DCNN,6366,DLY3208,1,968,1011,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.3,6,NA,NA,NA,NA,7.6,6,NA,2009-03-22 09:08:07,25
2009-03-23 09:00:00,DCNN,6366,DLY3208,1,968,1011,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,6,NA,NA,NA,NA,7.5,6,NA,2009-03-24 09:08:10,1
2009-03-24 09:00:00,DCNN,6366,DLY3208,1,968,1011,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.1,6,NA,NA,NA,NA,7.6,6,NA,2009-03-24 09:08:10,2
2009-03-25 09:00:00,DCNN,6366,DLY3208,1,968,1011,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,NA,NA,NA,NA,7.6,6,NA,2009-03-25 10:08:14,60
2009-03-26 09:00:00,DCNN,6366,DLY3208,1,968,1011,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.4,6,NA,NA,NA,NA,7.6,6,NA,2009-03-26 10:12:16,55
2009-03-27 09:00:00,DCNN,6366,DLY3208,1,968,1011,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.2,6,NA,NA,NA,NA,7.6,6,NA,2009-03-27 10:08:10,49
2009-03-28 09:00:00,DCNN,6366,DLY3208,1,968,1011,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.3,6,NA,NA,NA,NA,7.7,6,NA,2009-03-28 10:08:12,54
2009-03-29 09:00:00,DCNN,6366,DLY3208,1,968,1011,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.1,6,NA,NA,NA,NA,7.7,6,NA,2009-03-31 09:25:59,0
2009-03-30 09:00:00,DCNN,6366,DLY3208,1,968,1011,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.9,6,NA,NA,NA,NA,7.7,6,NA,2009-03-31 09:29:11,0
2009-03-31 09:00:00,DCNN,6366,DLY3208,1,968,1011,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.7,6,NA,NA,NA,NA,7.8,6,NA,2009-03-31 09:31:58,0
2009-04-01 09:00:00,DCNN,6366,DLY3208,1,968,1011,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5,6,NA,NA,NA,NA,7.8,6,NA,2009-04-01 09:31:15,0
2009-04-02 09:00:00,DCNN,6366,DLY3208,1,968,1011,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.8,6,NA,NA,NA,NA,7.9,6,NA,2009-04-02 09:15:57,0
2009-04-03 09:00:00,DCNN,6366,DLY3208,1,968,1011,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.8,6,NA,NA,NA,NA,8,6,NA,2009-04-03 09:43:38,0
2009-04-04 09:00:00,DCNN,6366,DLY3208,1,968,1011,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.1,6,NA,NA,NA,NA,8.1,6,NA,2009-04-04 09:14:33,0
2009-04-05 09:00:00,DCNN,6366,DLY3208,1,968,1011,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,6,NA,NA,NA,NA,8.1,6,NA,2009-04-05 09:37:05,0
2009-04-06 09:00:00,DCNN,6366,DLY3208,1,968,1011,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.7,6,NA,NA,NA,NA,8.3,6,NA,2009-04-07 09:14:43,0
2009-04-07 09:00:00,DCNN,6366,DLY3208,1,968,1011,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5,6,NA,NA,NA,NA,8.4,6,NA,2009-04-07 09:14:03,0
