summary,Climate Hydrology Ecology Support System subset,
originalResource,{"url":"https://eip.ceh.ac.uk/apps/chess/","title":"EIP | CHESS"},
metadataURL,https://catalogue.ceh.ac.uk/documents/80887755-1426-4dab-a4a6-250919d5020c,https://catalogue.ceh.ac.uk/documents/d329f4d6-95ba-4134-b77a-a377e0755653,
termsAndConditions,Licensing conditions apply,CHESS Met https://catalogue.ceh.ac.uk/documents/80887755-1426-4dab-a4a6-250919d5020c,CHESS PET https://catalogue.ceh.ac.uk/documents/d329f4d6-95ba-4134-b77a-a377e0755653,
credits,CEH, Terms and conditions apply,
location,{"type":"point","x":334132.7787655574,"y":658017.530274143,"spatialReference":{"wkid":27700}},
DATES,Near-Surface Air Temperature (K)
2011-02-21,274.64197
2011-02-22,276.34167
2011-02-23,280.10452
2011-02-24,281.36038
2011-02-25,281.90332
2011-02-26,278.38864
2011-02-27,276.64868
2011-02-28,275.32495
2011-03-01,276.66492
2011-03-02,275.70557
2011-03-03,276.3586
2011-03-04,278.50882
2011-03-05,277.61246
2011-03-06,275.67004
2011-03-07,275.6959
2011-03-08,277.3114
2011-03-09,276.06158
2011-03-10,277.2573
2011-03-11,275.40057
2011-03-12,275.13116
2011-03-13,275.6396
2011-03-14,275.81265
2011-03-15,275.33942
2011-03-16,275.40472
2011-03-17,276.7194
2011-03-18,275.42462
2011-03-19,276.97723
2011-03-20,279.5739
2011-03-21,281.8679
2011-03-22,281.76498
2011-03-23,281.36737
2011-03-24,280.23358
2011-03-25,278.20605
2011-03-26,278.47675
2011-03-27,278.40723
2011-03-28,277.77887
2011-03-29,278.74057
2011-03-30,279.6817
2011-03-31,280.96097
2011-04-01,283.37668
2011-04-02,282.27158
2011-04-03,280.0513
2011-04-04,280.10397
2011-04-05,284.3107
2011-04-06,285.21408
2011-04-07,281.89368
2011-04-08,283.2369
2011-04-09,283.87228
2011-04-10,285.60205
2011-04-11,282.03735
2011-04-12,279.5993
2011-04-13,279.9277
2011-04-14,282.4136
2011-04-15,282.28146
2011-04-16,281.5194
2011-04-17,281.92667
2011-04-18,282.52853
2011-04-19,283.64618
2011-04-20,283.3552
2011-04-21,283.73254
2011-04-22,284.11395
2011-04-23,283.14948
2011-04-24,282.0818
2011-04-25,281.6634
2011-04-26,280.30167
2011-04-27,280.27072
2011-04-28,280.90375
2011-04-29,281.98553
2011-04-30,283.33865
2011-05-01,282.86975
2011-05-02,280.7124
2011-05-03,279.67386
2011-05-04,280.31888
2011-05-05,282.2228
2011-05-06,285.2964
2011-05-07,286.18045
2011-05-08,285.22595
2011-05-09,284.41046
2011-05-10,284.20813
2011-05-11,283.5549
2011-05-12,282.6505
2011-05-13,281.12946
2011-05-14,281.54965
2011-05-15,282.32233
2011-05-16,284.49106
2011-05-17,284.01703
2011-05-18,283.19174
2011-05-19,282.28625
2011-05-20,282.00305
2011-05-21,283.22406
2011-05-22,282.28436
2011-05-23,281.9734
2011-05-24,281.23312
2011-05-25,281.91327
2011-05-26,282.38034
2011-05-27,282.19815
2011-05-28,282.48102
2011-05-29,282.93185
2011-05-30,281.8281
2011-05-31,282.09265
2011-06-01,285.38403
2011-06-02,288.29102
2011-06-03,289.8801
2011-06-04,283.5735
2011-06-05,281.70428
2011-06-06,282.67285
2011-06-07,282.23593
2011-06-08,282.22565
2011-06-09,281.94687
2011-06-10,281.31107
2011-06-11,280.81314
2011-06-12,282.56146
2011-06-13,284.2777
2011-06-14,285.40088
2011-06-15,286.14764
2011-06-16,284.33096
2011-06-17,283.46405
2011-06-18,283.76862
2011-06-19,284.61707
2011-06-20,285.0859
2011-06-21,284.25882
2011-06-22,283.93832
2011-06-23,283.54245
2011-06-24,283.20435
2011-06-25,285.91534
2011-06-26,288.95197
2011-06-27,287.1263
2011-06-28,284.9782
2011-06-29,284.01447
2011-06-30,284.15256
