DEPTH.M	:	0	Depth			
TEMP.DegC	:	1	Temperature			
CN25.mS/cm	:	2	Conductivity@25DegC			
COND.mS/cm	:	3	Conductivity			
DELT.DegC	:	4	Delta	T		
DELC.mS/cm	:	5	Delta	C		
NGAM.CPS	:	6	Natural	Gamma		

DEPTH	TEMP	CN25	COND	DELT	DELC	NGAM
45.64	10.06	9.22	0.76	10.06	-6.67	15.41
45.65	10.06	9.22	0.76	10.06	-6.68	15.29
45.66	10.06	9.21	0.76	10.06	-6.68	17.71
45.67	10.06	9.22	0.76	10.06	-6.67	17.71
45.68	10.06	9.22	0.76	10.06	-6.68	19.24
45.69	10.06	9.22	0.76	10.06	-6.68	19.24
45.7	10.06	9.22	0.76	10.06	-6.68	18.41
45.71	10.06	9.21	0.76	10.06	-6.68	17.94
45.72	10.06	9.22	0.76	10.06	-6.67	17.18
45.73	10.06	9.22	0.76	10.06	-6.67	16.71
45.74	10.06	9.22	0.76	10.06	-6.68	15.76
45.75	10.06	9.22	0.76	10.06	-6.68	16.82
45.76	10.06	9.22	0.76	10.06	-6.68	15.88
45.77	10.06	9.22	0.77	10.06	-6.67	15.88
45.78	10.06	9.22	0.76	10.06	-6.68	14.24
45.79	10.06	9.22	0.76	10.06	-6.68	14.76
45.8	10.06	9.22	0.76	10.06	-6.67	14.76
45.81	10.06	9.22	0.76	10.06	-6.67	13.76
45.82	10.06	9.22	0.76	10.06	-6.67	13.41
45.83	10.06	9.22	0.76	10.06	-6.67	11.94
45.84	10.06	9.22	0.76	10.06	-6.67	11.88
45.85	10.06	9.22	0.76	10.06	-6.67	10.41
45.86	10.06	9.22	0.76	10.06	-6.67	9.94
45.87	10.06	9.22	0.76	10.06	-6.67	10.41
45.88	10.06	9.21	0.76	10.06	-6.68	9.35
45.89	10.06	9.21	0.76	10.06	-6.68	10.35
45.9	10.06	9.21	0.76	10.06	-6.68	12.29
45.91	10.06	9.21	0.76	10.06	-6.68	12.29
45.92	10.06	9.21	0.76	10.06	-6.68	12.29
45.93	10.06	9.21	0.76	10.06	-6.68	12.76
45.94	10.07	9.21	0.76	10.07	-6.68	12.29
45.95	10.07	9.21	0.76	10.07	-6.68	12.82
45.96	10.07	9.21	0.76	10.07	-6.68	11.82
45.97	10.07	9.21	0.76	10.07	-6.68	13
45.98	10.07	9.21	0.76	10.07	-6.68	13
45.99	10.07	9.21	0.76	10.07	-6.68	12.53
46	10.07	9.21	0.76	10.07	-6.68	12.41
46.01	10.06	9.21	0.76	10.06	-6.68	12
46.02	10.06	9.21	0.76	10.06	-6.68	12.35
46.03	10.06	9.21	0.76	10.06	-6.68	13.35
46.04	10.06	9.21	0.76	10.06	-6.68	13.35
46.05	10.06	9.21	0.76	10.06	-6.68	12.94
46.06	10.06	9.21	0.76	10.06	-6.68	11.94
46.07	10.06	9.22	0.76	10.06	-6.68	9.53
46.08	10.06	9.22	0.76	10.06	-6.67	9.53
46.09	10.06	9.22	0.76	10.06	-6.67	8.53
46.1	10.06	9.22	0.76	10.06	-6.67	8.06
46.11	10.05	9.22	0.76	10.05	-6.67	8.53
46.12	10.05	9.22	0.76	10.05	-6.67	7.59
46.13	10.05	9.22	0.76	10.05	-6.67	7.12
46.14	10.05	9.23	0.76	10.05	-6.66	5.47
46.15	10.05	9.23	0.76	10.05	-6.66	5.41
46.16	10.05	9.23	0.76	10.05	-6.66	5.88
46.17	10.05	9.23	0.76	10.05	-6.66	6
46.18	10.05	9.23	0.76	10.05	-6.66	6.41
46.19	10.05	9.23	0.76	10.05	-6.66	6.06
46.2	10.05	9.23	0.76	10.05	-6.66	8
46.21	10.05	9.23	0.76	10.05	-6.66	10
46.22	10.05	9.23	0.76	10.05	-6.66	10
46.23	10.05	9.23	0.76	10.05	-6.66	9.94
46.24	10.05	9.23	0.76	10.05	-6.66	10.41
46.25	10.05	9.23	0.76	10.05	-6.67	10.88
46.26	10.05	9.23	0.76	10.05	-6.67	10.82
46.27	10.05	9.23	0.76	10.05	-6.66	12.29
46.28	10.04	9.23	0.76	10.04	-6.66	11.82
46.29	10.04	9.23	0.76	10.04	-6.66	12.65
46.3	10.04	9.23	0.76	10.04	-6.66	14.12
46.31	10.04	9.23	0.76	10.04	-6.66	14.53
46.32	10.04	9.23	0.76	10.04	-6.66	14.12
46.33	10.05	9.23	0.76	10.05	-6.66	13.65
46.34	10.05	9.23	0.76	10.05	-6.66	12.71
46.35	10.05	9.23	0.76	10.05	-6.66	12.29
46.36	10.05	9.23	0.76	10.05	-6.66	11.82
46.37	10.05	9.23	0.76	10.05	-6.66	9.65
46.38	10.05	9.23	0.76	10.05	-6.66	7.18
46.39	10.05	9.23	0.76	10.05	-6.66	8
46.4	10.05	9.23	0.76	10.05	-6.66	8.53
46.41	10.05	9.23	0.76	10.05	-6.66	9
46.42	10.05	9.23	0.76	10.05	-6.66	10.18
46.43	10.04	9.23	0.76	10.04	-6.66	10.71
46.44	10.04	9.23	0.76	10.04	-6.66	10.47
46.45	10.04	9.23	0.76	10.04	-6.66	10.94
46.46	10.04	9.24	0.76	10.04	-6.66	10.59
46.47	10.04	9.24	0.76	10.04	-6.66	9.53
46.48	10.04	9.23	0.76	10.04	-6.66	9.59
46.49	10.04	9.23	0.76	10.04	-6.66	9.59
46.5	10.04	9.23	0.76	0	1.09	11.06
