summary,Climate Hydrology Ecology Support System subset,
originalResource,{"url":"https://eip.ceh.ac.uk/apps/chess/","title":"EIP | CHESS"},
metadataURL,https://catalogue.ceh.ac.uk/documents/80887755-1426-4dab-a4a6-250919d5020c,https://catalogue.ceh.ac.uk/documents/d329f4d6-95ba-4134-b77a-a377e0755653,
termsAndConditions,Licensing conditions apply,CHESS Met https://catalogue.ceh.ac.uk/documents/80887755-1426-4dab-a4a6-250919d5020c,CHESS PET https://catalogue.ceh.ac.uk/documents/d329f4d6-95ba-4134-b77a-a377e0755653,
credits,CEH, Terms and conditions apply,
location,{"type":"point","x":241843.56108712236,"y":666182.5804098262,"spatialReference":{"wkid":27700}},
DATES,Potential evapotranspiration with interception correction (mm/day)
2005-02-08,0.7835356
2005-02-09,0.90241516
2005-02-10,1.2055209
2005-02-11,0.21081723
2005-02-12,0.89229304
2005-02-13,1.339982
2005-02-14,0.81449836
2005-02-15,0.15705533
2005-02-16,0.1520109
2005-02-17,0.39596558
2005-02-18,1.0974698
2005-02-19,1.0326556
2005-02-20,0.7947234
2005-02-21,0.5546495
2005-02-22,0.49964362
2005-02-23,0.50111383
2005-02-24,0.6066417
2005-02-25,0.4514146
2005-02-26,0.522968
2005-02-27,0.40619838
2005-02-28,0.62301195
2005-03-01,0.69354653
2005-03-02,0.83721554
2005-03-03,0.80644214
2005-03-04,1.020637
2005-03-05,1.0379661
2005-03-06,0.5535516
2005-03-07,0.49555534
2005-03-08,0.75243104
2005-03-09,0.60933465
2005-03-10,0.7606071
2005-03-11,1.4682965
2005-03-12,1.2884288
2005-03-13,0.9496711
2005-03-14,0.8081002
2005-03-15,0.58269054
2005-03-16,1.2942781
2005-03-17,1.2183392
2005-03-18,0.7076615
2005-03-19,1.0393476
2005-03-20,0.9615166
2005-03-21,0.9934764
2005-03-22,0.98602134
2005-03-23,1.4590364
2005-03-24,1.4819099
2005-03-25,1.09226
2005-03-26,0.7923572
2005-03-27,0.49134436
2005-03-28,0.96421325
2005-03-29,0.93327785
2005-03-30,0.47582394
2005-03-31,1.3245827
2005-04-01,0.99856377
2005-04-02,1.7725097
2005-04-03,1.452169
2005-04-04,1.8229736
2005-04-05,1.9389235
2005-04-06,1.5895875
2005-04-07,1.7736089
2005-04-08,2.1881182
2005-04-09,1.3344588
2005-04-10,1.4988338
2005-04-11,2.0316095
2005-04-12,2.132774
2005-04-13,1.5770383
2005-04-14,1.2190821
2005-04-15,1.8546679
2005-04-16,1.1516911
2005-04-17,1.5193958
2005-04-18,0.64330477
2005-04-19,2.206014
2005-04-20,2.3016436
2005-04-21,1.9928019
2005-04-22,2.16753
2005-04-23,2.8564491
2005-04-24,2.7071552
2005-04-25,3.0285597
2005-04-26,1.6534276
2005-04-27,1.9589806
2005-04-28,1.685099
2005-04-29,2.8939047
2005-04-30,1.7951584
2005-05-01,1.4262545
2005-05-02,2.049757
2005-05-03,1.5360548
2005-05-04,2.7483633
2005-05-05,1.9505069
2005-05-06,2.1479852
2005-05-07,2.5489914
2005-05-08,2.7198203
2005-05-09,2.3735008
2005-05-10,2.628649
2005-05-11,2.8980868
2005-05-12,2.9897242
2005-05-13,3.4499207
2005-05-14,3.5301385
2005-05-15,2.5070045
2005-05-16,2.2598617
2005-05-17,2.276244
2005-05-18,1.7678231
2005-05-19,1.6452127
2005-05-20,1.8267398
2005-05-21,3.0311947
2005-05-22,2.3162932
2005-05-23,1.7574993
2005-05-24,2.0217617
2005-05-25,1.333215
2005-05-26,3.0615122
2005-05-27,1.5443383
2005-05-28,1.7870398
2005-05-29,2.576599
2005-05-30,2.7865038
2005-05-31,3.2358763
2005-06-01,1.3672278
2005-06-02,1.4631511
2005-06-03,2.5020673
2005-06-04,1.8307111
2005-06-05,1.6067564
2005-06-06,3.5155299
2005-06-07,2.8873794
2005-06-08,2.9738054
2005-06-09,2.4323134
2005-06-10,3.2790325
2005-06-11,3.0330365
2005-06-12,2.5330575
2005-06-13,1.7358122
2005-06-14,1.6736238
2005-06-15,1.9816442
2005-06-16,1.5798166
2005-06-17,2.085745
2005-06-18,2.0647779
2005-06-19,2.2027707
2005-06-20,2.8675566
2005-06-21,2.927439
2005-06-22,2.9455485
2005-06-23,2.5246637
2005-06-24,1.541976
2005-06-25,2.4431736
2005-06-26,3.9985034
2005-06-27,2.9527729
2005-06-28,3.893098
2005-06-29,2.122944
2005-06-30,1.8090003
