Site,Measurement location,Coal,Region,Easting,Northing,grid ref,Type of site,Type of measurement,Start Date,End Date,Minimum Temperature ( C),Average Temperature  ( C) ,Maximum Temperature ( C),Gradient,Approx. Ave. Flow Rate (L/s),Water level (mAOD),Approx. Depth to water (mBGL),Approx. Depth of Sensor (mBGL),Comments
Blenkinsop,Smallburn Shaft,,,367006,564317,NY6700664317,,,2010,2010,,,10.0,,,,,,Max temp
Blenkinsop,Smallburn Shaft,Y,North East,367006,564317,NY6700664317,Active - Passive (Chemical Addition,Water Level logger ,27-nov-13,06-janv-15,7.8,12.8,13.8,,,116,10,,Data taken from 03/07/2012 to 23/02/13
Blindwells ,Pumping BH 5A,Y,Scotland,341622,674753,NT4162274753,Pumped Passive ,Temperature Logger,17-nov-11,09-août-12,10.7,11.6,14.1,,,,15,,
Blindwells ,Cascade,Y,Scotland,341763,674793,NT4176374793,Cascade Outflow,Temperature Logger,27-mai-16,30-nov-16,9.5,11.5,21.9,,,,,,
Blindwells ,Pumping B/H,Y,Scotland,341785,674804,NT4178574804,Pumped Passive ,Water Level Logger ,05-avr-18,02-août-19,10.3,11.5,12.0,,,18,,,
Boldon,No.1 Shaft (South),Y,North East,434655,562252,NZ3465562252,Shaft ,Water Level Logger ,10-août-16,22-juil-19,14.2,14.6,15.2,,,-28,57,,
Boldon,No1 shaft,,North East,434655,562252,NZ3465562252,Shaft,,2009,2009,15.2,16.0,16.9,0.01,,-95.16,,,Reach seam at -432 mAOD
Boythorpe,Discharge,Y,Yorkshire ,437600,370900,SK3760070900,Discharge,On Site Testing,05-juin-09,05-juin-19,,11.6,,,,,,,Single on site reading
Bridgewater Canal ,Bottom,Y,North West ,374828,400544,SD7482800544,Cascade Outflow,Temperature Logger,07-sept-11,07-sept-11,11.9,12.1,12.5,,,,,,
Bridgewater Canal ,Top ,Y,North West ,374828,400544,SD7482800544,Cascade Outflow,Temperature Logger,07-sept-11,07-sept-11,11.9,12.0,12.2,,,,,,
Broadclough,Discharge,Y,North West ,386895,424387,SD8689524387,Discharge,On Site Testing,19-sept-07,19-sept-07,,10.0,,,1,,,,
Broken Banks,Primary Discharge,Y,North East,419532,529584,NZ1953229584,Discharge,On Site Testing,1995,1995,,10.9,,,140,,,,
Broomhill,Borehole,Y,North East,424464,601079,NU2446401079,Borehole,Water Level Logger,30-juin-17,11-janv-19,11.1,11.1,14.4,,,3.5,,,Data taken from 2/8/17 onwards as previous data contained errors . Bot sur qbout depth WL mBGL
Cadley Hill,Borehole,Y,South Derbyshire,427952,319076,SK2795219076,Borehole,Pumping Test (Raw Pumped),25-déc-09,28-janv-10,9.6,12.5,14.4,,,,,,Data taken from "Raw Pumped" values
Cairnhill,Discharge,Y,Scotland,262785,623410,NS6278523410,Discharge,On Site Testing,1995,1995,,17.9,,,0,,,,
Cameron,Dysart Main B/H,Y,Scotland,334610,699140,NT3461099140,Shaft ,Water Level Logger ,,,,11.3,,,8,34,,,
Cannock Wood,Monitoring Borehole,Y,West Midlands ,403552,312589,SK0355212589,Pumped Passive ,Logger Data,22-sept-17,11-août-19,16.0,17.1,17.1,,,,,,
Cannock Wood,Cascade,Y,West Midlands ,403552,312589,SK0355212589,Borehole,Temperature Logger,24-mai-16,08-oct-16,11.5,15.7,19.7,,,,,,Data taken from 24/07/2016 onwards as previous data contained errors 
Caphouse,Hope Shaft,Y,North East,424864,416190,SE2486416190,Pumped Discharge,On Site Testing,2009,2009,,14.2,,,76,,,,
Carling How,Shaft Discharge,N,North East,471140,519215,NZ7114019215,Shaft,On Site Testing,05-oct-09,05-oct-09,,14.7,,,20,,,,
Carling How,Shaft Discharge,N,North East,471140,519215,NZ7114019215,Shaft,On Site Testing,05-oct-09,05-oct-09,,14.7,,,20,,,,
Carr and Craggs,Adit Discharge,Y,North West ,389162,425881,SD8916225881,Adit ,On Site Testing,05-nov-08,05-nov-08,,9.8,,,4,,,,
Coalburn Mine (Muir Burn),Discharge,Y,Scotland,257424,614414,NS5742414414,Discharge,On Site Testing,01-sept-06,01-sept-06,,11.8,,,,,,,
Craig yr Aber,,,,285637,184812,SS8563784812,Discharge,,,,,12.0,,,19,,,,
Cuthill Top,Stepped Cascade Top Inlet,Y,Scotland,299056,662874,NS9905662874,Cascade Outflow,Temperature Logger,20-juil-11,20-juil-11,10.4,11.0,12.1,,,,,,
Dawdon,Shaft,Y,East of Wear,443580,547810,NZ4358047810,Shaft,ECT Log 2000,2000,2000,13.6,18.1,23.2,0.03,,,,,Log from -108.52 to -486.3 mAOD
Dawdon,Shaft,Y,East of Wear,443580,547810,NZ4358047810,Shaft,ECT Log 2005,2005,2005,11.3,16.7,23.1,-,,,,,Log from -6.955 to -483.853 mAOD 
Dawdon,Shaft,Y,East of Wear,443580,547810,NZ4358047810,Shaft,ECT Log 2004,2004,2004,11.4,16.9,23.1,-,,,,,Log from -25.13 to -483.93 mAOD
Dawdon,Shaft,Y,East of Wear,443580,547810,NZ4358047810,Shaft,ECT Log 2006,2006,2006,11.1,16.5,23.0,-,,,,,Log from -6.09 to -477.06 mAOD
Dawdon,Shaft,Y,East of Wear,443580,547810,NZ4358047810,Shaft,ECT Log 2003,2003,2003,12.0,16.9,23.0,-,,,,,Log from -27.03 to -483.93 mAOD
Dawdon,Shaft,Y,East of Wear,443580,547810,NZ4358047810,Shaft,ECT Log 2008,2008,2008,11.2,16.4,22.7,-,,,,,Log from -7.51 to -464.91 mAOD (pumping starts)
Dawdon,shaft,Y,East of Wear,443580,547810,NZ4358047810,Shaft,,,22/09/2016,,19.0,,,,-18,#REF!,,
Douglas Discharge,Rigside Day Level,Y,Scotland,286721,635603,NS8672135603,Discharge,Temperature Logger,07-févr-17,03-nov-17,8.0,10.4,11.5,,,,,,
Easingtom,shaft,,Scotland,443791,544134,,,ECT Log 2000,,,,17.7,,,,,,,depth of the High Main : stable temperature
Easingtom,shaft,,Scotland,443791,544134,,,ECT Log 2005,,,,17.7,,,,,,,
Easingtom,shaft,,Scotland,443791,544134,,,ECT Log 2006,,,,17.7,,,,,,,
Easingtom,shaft,,Scotland,443791,544134,,,ECT Log 2008,,,,17.7,,,,,,,
Easingtom,shaft,,Scotland,443791,544134,,,,,,,12.0,,,,-10,70,,
Easthouses,shaft,,Scotland,334193,665977,NT3419365977,Shaft ,,01/12/2018,01/12/2018,,10.0,,,,39,55,,
Easthouses,Great Seam Borehole ,Y,Scotland,334193,665977,NT3419365977,Shaft ,ETC Log 2016,31-mars-16,31-mars-16,9.6,11.1,14.3,0.03,,,,,Range of log from 4.68mbgl to 170.79mbgl. Min T at 19.55 m
Easthouses,Great Seam Borehole ,Y,Scotland,334193,665977,NT3419365977,Shaft ,ETC Log 2019 ,11-juil-19,11-juil-19,9.8,11.4,14.9,0.03,,,,,Range of log from 46.5mbgl to 229.2mbgl. Min T at 70.33m. T max at well bottom.
Elginhaugh,Discharge,,Scotland,331792,667033,NT 31792 67033,Discharge,On Site Testing,09-juil-95,09-juil-95,,13.8,,,,,,,Long-term changes in the quality of polluted minewater discharges - Scotland
Fordell Upper Discharge,Discharge,Y,Scotland,314815,685510,NT1481585510,Discharge,Water level logger,11-avr-16,08-août-18,10.0,10.9,11.5,,,,,,
Frances,Cascade,Y,Scotland,330940,694010,NT3094094010,Pumped,Temperature logger,19-oct-16,10-juin-19,7.7,11.2,19.8,,180,,N/A,1,Data taken from 21/05/2017 onwards as previous data contained errors - ensure shaft logger 163.1 seperated from cascade data
