Timestamp,Value
Jan 2010,56.8
Feb 2010,99.6
Mar 2010,90.8
Apr 2010,95.4
May 2010,26.2
Jun 2010,32.6
Jul 2010,162.2
Aug 2010,80.8
Sep 2010,205
Oct 2010,144.6
Nov 2010,121.4
Dec 2010,47
Jan 2011,126.4
Feb 2011,206.4
Mar 2011,125.2
Apr 2011,79.6
May 2011,164.8
Jun 2011,111.2
Jul 2011,94.6
Aug 2011,137.4
Sep 2011,183.8
Oct 2011,185.4
Nov 2011,189.4
Dec 2011,216.2
Jan 2012,145.4
Feb 2012,65.8
Mar 2012,56
Apr 2012,94.8
May 2012,70.8
Jun 2012,202.6
Jul 2012,198.4
Aug 2012,154.4
Sep 2012,157.6
Oct 2012,140
Nov 2012,147.6
Dec 2012,212.2
Jan 2013,178.4
Feb 2013,74.2
Mar 2013,47.8
Apr 2013,60
May 2013,97.2
Jun 2013,56.6
Jul 2013,132.4
Aug 2013,70.6
Sep 2013,109
Oct 2013,237.8
Nov 2013,98
Dec 2013,236.8
Jan 2014,181.8
Feb 2014,166.8
Mar 2014,141.4
Apr 2014,83
May 2014,83
Jun 2014,63.8
Jul 2014,74.2
Aug 2014,101.8
Sep 2014,23
Oct 2014,199.8
Nov 2014,96.6
Dec 2014,183.4
Jan 2015,205.6
Feb 2015,128.2
Mar 2015,163.8
Apr 2015,78.4
May 2015,156.4
Jun 2015,102
Jul 2015,216
Aug 2015,110.8
Sep 2015,32.6
Oct 2015,99
Nov 2015,296.8
Dec 2015,291
Jan 2016,219.8
Feb 2016,170.6
Mar 2016,64.4
Apr 2016,97.2
May 2016,86.4
Jun 2016,75.6
Jul 2016,143.6
Aug 2016,103.8
Sep 2016,173.4
Oct 2016,45.8
Nov 2016,103.2
Dec 2016,101.8
Jan 2017,66.2
Feb 2017,160.2
Mar 2017,126.8
Apr 2017,18.6
May 2017,69.4
Jun 2017,146.4
Jul 2017,120.4
Aug 2017,153.6
Sep 2017,163.2
Oct 2017,159.4
Nov 2017,91.8
Dec 2017,130
Jan 2018,190.6
Feb 2018,77.2
Mar 2018,239.6
Apr 2018,61.6
May 2018,29.8
Jun 2018,108.6
Jul 2018,52.4
Aug 2018,113.8
Sep 2018,138.8
Oct 2018,128.6
Nov 2018,173.2
Dec 2018,114.6
Jan 2019,51.8
Feb 2019,89.6
Mar 2019,176
Apr 2019,46.2
May 2019,84
Jun 2019,83.2
Jul 2019,121.4
Aug 2019,207.6
Sep 2019,138.6
Oct 2019,139.4
Nov 2019,74
Dec 2019,69.6
