Timestamp,Value
Jan 2010,36
Feb 2010,78.6
Mar 2010,91.2
Apr 2010,49.4
May 2010,42
Jun 2010,39.8
Jul 2010,123
Aug 2010,72.8
Sep 2010,109.8
Oct 2010,69.4
Nov 2010,108
Dec 2010,50.2
Jan 2011,85.8
Feb 2011,118.2
Mar 2011,81.2
Apr 2011,40.6
May 2011,80.6
Jun 2011,75.6
Jul 2011,94.2
Aug 2011,145.4
Sep 2011,92.6
Oct 2011,118.6
Nov 2011,81.8
Dec 2011,109
Jan 2012,63.4
Feb 2012,33.4
Mar 2012,22
Apr 2012,99.6
May 2012,80.6
Jun 2012,163.8
Jul 2012,148.6
Aug 2012,72
Sep 2012,125.6
Oct 2012,117.4
Nov 2012,107.2
Dec 2012,131.2
Jan 2013,76
Feb 2013,38.4
Mar 2013,43.6
Apr 2013,59.6
May 2013,72.4
Jun 2013,35.8
Jul 2013,81
Aug 2013,50
Sep 2013,62.2
Oct 2013,36
Nov 2013,46.4
Dec 2013,220.8
Jan 2014,104.6
Feb 2014,135.6
Mar 2014,106.4
Apr 2014,65
May 2014,77.8
Jun 2014,66
Jul 2014,47
Aug 2014,115.4
Sep 2014,20.6
Oct 2014,143.8
Nov 2014,79.8
Dec 2014,117.4
Jan 2015,133.8
Feb 2015,74.2
Mar 2015,109.4
Apr 2015,49.8
May 2015,95
Jun 2015,59.4
Jul 2015,131
Aug 2015,37.8
Sep 2015,31.4
Oct 2015,31
Nov 2015,190.4
Dec 2015,249.4
Jan 2016,187
Feb 2016,121
Mar 2016,44
Apr 2016,77.4
May 2016,37.6
Jun 2016,75
Jul 2016,66.6
Aug 2016,77
Sep 2016,68
Oct 2016,36
Nov 2016,60.2
Dec 2016,75
Jan 2017,29.4
Feb 2017,108.8
Mar 2017,98.6
Apr 2017,11.6
May 2017,44.6
Jun 2017,202.8
Jul 2017,95.6
Aug 2017,98
Sep 2017,81
Oct 2017,83.2
Nov 2017,59.6
Dec 2017,61.8
Jan 2018,117
Feb 2018,49.2
Mar 2018,85.8
Apr 2018,96.6
May 2018,22.8
Jun 2018,78.8
Jul 2018,53
Aug 2018,73.6
Sep 2018,79.4
Oct 2018,56.6
Nov 2018,89
Dec 2018,57.2
Jan 2019,17.8
Feb 2019,43.8
Mar 2019,112.4
Apr 2019,69.2
May 2019,71
Jun 2019,132.8
Jul 2019,69.2
Aug 2019,139.4
Sep 2019,93.2
Oct 2019,120.2
Nov 2019,100
Dec 2019,44.8
