Timestamp,Value
Jan 2010,63
Feb 2010,67
Mar 2010,73.4
Apr 2010,101.4
May 2010,35
Jun 2010,44.8
Jul 2010,157.4
Aug 2010,71.8
Sep 2010,192.8
Oct 2010,156.8
Nov 2010,165.4
Dec 2010,38
Jan 2011,121.6
Feb 2011,208.6
Mar 2011,128.6
Apr 2011,68.4
May 2011,193.6
Jun 2011,106.2
Jul 2011,101.8
Aug 2011,161
Sep 2011,199.4
Oct 2011,231
Nov 2011,226.6
Dec 2011,288
Jan 2012,206.9
Feb 2012,82.4
Mar 2012,50.2
Apr 2012,61.8
May 2012,67.4
Jun 2012,153.6
Jul 2012,150
Aug 2012,117
Sep 2012,155.4
Oct 2012,123
Nov 2012,144.2
Dec 2012,169.2
Jan 2013,175.8
Feb 2013,85.8
Mar 2013,30
Apr 2013,100
May 2013,94.2
Jun 2013,57.6
Jul 2013,103
Aug 2013,56.4
Sep 2013,96
Oct 2013,199.8
Nov 2013,126.2
Dec 2013,287.2
Jan 2014,183.2
Feb 2014,213.6
Mar 2014,154
Apr 2014,103.6
May 2014,120.4
Jun 2014,46.8
Jul 2014,81.8
Aug 2014,86.6
Sep 2014,13
Oct 2014,211.2
Nov 2014,113.6
Dec 2014,214.8
Jan 2015,262.8
Feb 2015,136.2
Mar 2015,191.2
Apr 2015,62
May 2015,153.4
Jun 2015,105.6
Jul 2015,174.6
Aug 2015,114
Sep 2015,33.8
Oct 2015,91
Nov 2015,308
Dec 2015,351.8
Jan 2016,228
Feb 2016,178.4
Mar 2016,61.6
Apr 2016,86.8
May 2016,96.2
Jun 2016,62
Jul 2016,149.2
Aug 2016,102
Sep 2016,169.4
Oct 2016,44.4
Nov 2016,99.8
Dec 2016,147.8
Jan 2017,92
Feb 2017,182
Mar 2017,155.6
Apr 2017,35.4
May 2017,63
Jun 2017,154.4
Jul 2017,101.2
Aug 2017,102.8
Sep 2017,120.8
Oct 2017,175.4
Nov 2017,94.4
Dec 2017,134
Jan 2018,185.4
Feb 2018,93.2
Mar 2018,83.8
Apr 2018,72
May 2018,43.8
Jun 2018,86.4
Jul 2018,98.2
Aug 2018,96.4
Sep 2018,147.6
Oct 2018,139.6
Nov 2018,166.8
Dec 2018,144.6
Jan 2019,62.6
Feb 2019,103
Mar 2019,162
Apr 2019,30.8
May 2019,71.4
Jun 2019,79.8
Jul 2019,123.4
Aug 2019,219.2
Sep 2019,124.8
Oct 2019,161.8
Nov 2019,65.2
Dec 2019,67.4
