Timestamp,Value
Jan 2010,57.4
Feb 2010,50
Mar 2010,71.8
Apr 2010,27.6
May 2010,92.8
Jun 2010,19.6
Jul 2010,106.8
Aug 2010,46
Sep 2010,72
Oct 2010,79
Nov 2010,104.8
Dec 2010,24
Jan 2011,58.8
Feb 2011,100.2
Mar 2011,84.2
Apr 2011,7.6
May 2011,77.8
Jun 2011,64.2
Jul 2011,100.2
Aug 2011,154.6
Sep 2011,69
Oct 2011,67
Nov 2011,50
Dec 2011,52.6
Jan 2012,24.6
Feb 2012,25.4
Mar 2012,17.2
Apr 2012,104.6
May 2012,63.6
Jun 2012,120.2
Jul 2012,114.8
Aug 2012,74.6
Sep 2012,48.8
Oct 2012,100
Nov 2012,51.4
Dec 2012,83.4
Jan 2013,80.8
Feb 2013,26
Mar 2013,29.6
Apr 2013,20.4
May 2013,51.4
Jun 2013,19.4
Jul 2013,74.8
Aug 2013,30.8
Sep 2013,29.2
Oct 2013,90.4
Nov 2013,19.8
Dec 2013,77
Jan 2014,85.6
Feb 2014,68.8
Mar 2014,35.8
Apr 2014,54.8
May 2014,49.6
Jun 2014,46.8
Jul 2014,36.2
Aug 2014,113.4
Sep 2014,16.4
Oct 2014,120
Nov 2014,87.1
Dec 2014,36.6
Jan 2015,48.2
Feb 2015,39
Mar 2015,37.8
Apr 2015,16.4
May 2015,74.4
Jun 2015,19.8
Jul 2015,83.2
Aug 2015,61.6
Sep 2015,24.4
Oct 2015,43.6
Nov 2015,111
Dec 2015,122.4
Jan 2016,128.2
Feb 2016,43
Mar 2016,17.8
Apr 2016,82.2
May 2016,19
Jun 2016,55.8
Jul 2016,62.8
Aug 2016,39.2
Sep 2016,30.4
Oct 2016,33.6
Nov 2016,35.8
Dec 2016,38
Jan 2017,32.8
Feb 2017,52.2
Mar 2017,36.2
Apr 2017,12.2
May 2017,30.2
Jun 2017,126.6
Jul 2017,41.2
Aug 2017,78
Sep 2017,57
Oct 2017,37.2
Nov 2017,37.2
Dec 2017,38
Jan 2018,70.4
Feb 2018,27
Mar 2018,78.6
Apr 2018,46.4
May 2018,38.2
Jun 2018,35
Jul 2018,38.6
Aug 2018,55
Sep 2018,41
Oct 2018,59.2
Nov 2018,56.4
Dec 2018,37.4
Jan 2019,8.8
Feb 2019,23.8
Mar 2019,78.4
Apr 2019,24.6
May 2019,62.4
Jun 2019,62.2
Jul 2019,59.2
Aug 2019,97.8
Sep 2019,45
Oct 2019,74
Nov 2019,106.8
Dec 2019,11.8
