Abbey_St_Bathans	2.7339848404187896e-08
Annfield	3.636461581362334e-08
Auchentroig	5.9023499885922886e-08
Auchinner	3.965732501837909e-08
Avonbank	4.4562324131112637e-08
Balgray_RG	2.285566709762466e-08
Baluniefield	2.5961099703399504e-08
Biggar_Burn	3.9374984155956085e-08
Blackdyke_Farm	4.588751996349533e-08
Bow_Burn	3.6490734403123176e-08
Braco	4.929779197404112e-08
Broadside	3.1143052703627655e-08
Burnfoot	2.8403934392982993e-08
Bush	3.589056201992548e-08
Caldercruix	2.171172712753822e-08
Camphill_WTW_Raingauge	2.4482850406875042e-08
Comiston_Rain_Gauge	2.3754024387152383e-08
Crichton	3.261274621644231e-08
Daldowie_STW	3.2113975714249496e-08
Dalmarnock_STW	3.1750196466144445e-08
Deanston	5.6960605369229595e-08
Drumjohn	3.105179101072325e-08
Dunbar	3.7724034780845176e-08
Dunnswood_STW	4.1678074378279714e-08
East_Kilbride	2.5489897837604887e-08
Fife_Airport	3.475295966740182e-08
Giffor_Rain_Gauge	2.6890511318984967e-08
Gilston	2.828351965928969e-08
Gladhouse_Reservoir	3.4357809212360885e-08
Glenmavis_	2.6162952822774865e-08
Glenquery	2.2914290060080612e-08
Gogarbank	4.74383349811139e-08
Haddington_STW	2.167972215884604e-08
Harelaw	2.2115116485410806e-08
Harperrig	2.1116941719268897e-08
Hatton	5.604418586964788e-08
Hunterston_Terminal	3.2203653002763194e-08
Irvine_Gailes	3.580183537404619e-08
Killermont_Raingauge	3.176857555707659e-08
Kinghorn_Ecology_Centre_Rain_Gauge	3.088954800111543e-08
Kinkell_Bridge	2.4936623824371943e-08
Kircaldy	2.692726950084924e-08
Kirriemuir_Montrose	2.9677161761350678e-08
Lanark	3.030490278094659e-08
Letham_Grange	4.922110680153118e-08
Lochwinnoch	1.5052475473420032e-08
Luffness	4.692435419677035e-08
Lukeston	2.8272111947676627e-08
Lyne_Station	2.4331064466245853e-08
Murray_Burn	2.6131898496717113e-08
Murton	2.3982812381169674e-08
Mylnefield	2.886214414277385e-08
Newton_of_Falkland	1.9937511090830734e-08
North_Berwick	2.5714249499328213e-08
Nunraw_Abbey	4.129147970694857e-08
Penwhapple_Reservoir	4.3029254442669916e-08
Perth_Norwich_Union	4.9945496488959874e-08
Picketlaw_Reservoir	2.7744188404694912e-08
Polmonthill	2.5801708621694934e-08
Portmoak	3.098080969401983e-08
Prestwick	2.6415190001774534e-08
Quinloc_Farm	4.780940248941619e-08
Ross_Priory	2.3935914011204908e-08
Rossie_Farm	2.7773341445483816e-08
Saline	4.494099678049028e-08
Shotts_WWTW	4.1623887748117727e-08
Slamannan	3.3217988693690274e-08
South_Moorhouse	5.308990544274596e-08
Strathkelvin_House	3.6250538697492844e-08
Strathkinness	2.5273151316956926e-08
Tillicoultry	2.8440692574847265e-08
Waulkmill_Glen	2.7538215833903722e-08
Edinburgh_RBG	3.04725327654828e-08
