Timestamp,Value
Jan 2010,89
Feb 2010,118.4
Mar 2010,127
Apr 2010,36
May 2010,36.2
Jun 2010,22.2
Jul 2010,88.8
Aug 2010,46.2
Sep 2010,106.6
Oct 2010,86.2
Nov 2010,115.6
Dec 2010,79
Jan 2011,36.8
Feb 2011,88.6
Mar 2011,58
Apr 2011,9.8
May 2011,70.6
Jun 2011,75.8
Jul 2011,110.8
Aug 2011,205.8
Sep 2011,72.4
Oct 2011,70.8
Nov 2011,43.4
Dec 2011,47
Jan 2012,26.2
Feb 2012,13
Mar 2012,23
Apr 2012,156.8
May 2012,111.4
Jun 2012,154
Jul 2012,178
Aug 2012,69.4
Sep 2012,120.4
Oct 2012,75.4
Nov 2012,66.6
Dec 2012,42.6
Jan 2013,30.6
Feb 2013,9.6
Mar 2013,14.8
Apr 2013,7.2
May 2013,53.2
Jun 2013,12.8
Jul 2013,45.4
Aug 2013,29.4
Sep 2013,80.8
Oct 2013,59.8
Nov 2013,21.2
Dec 2013,86
Jan 2014,60
Feb 2014,95.4
Mar 2014,36.2
Apr 2014,52
May 2014,66.8
Jun 2014,107.6
Jul 2014,34.4
Aug 2014,131.2
Sep 2014,20.8
Oct 2014,132.6
Nov 2014,79.4
Dec 2014,50.2
Jan 2015,46.6
Feb 2015,11.8
Mar 2015,51.4
Apr 2015,28.4
May 2015,85
Jun 2015,31
Jul 2015,99
Aug 2015,44.2
Sep 2015,53.8
Oct 2015,33.4
Nov 2015,94.6
Dec 2015,131.8
Jan 2016,177.6
Feb 2016,68.4
Mar 2016,30
Apr 2016,91.4
May 2016,27.2
Jun 2016,81.4
Jul 2016,129.8
Aug 2016,44.2
Sep 2016,43.8
Oct 2016,55.8
Nov 2016,102.4
Dec 2016,33.6
Jan 2017,26.6
Feb 2017,71.6
Mar 2017,57
Apr 2017,9.8
May 2017,20.8
Jun 2017,260.4
Jul 2017,69.8
Aug 2017,60
Sep 2017,57.8
Oct 2017,43.2
Nov 2017,51.6
Dec 2017,41.6
Jan 2018,62
Feb 2018,39.8
Mar 2018,97.8
Apr 2018,75.4
May 2018,18.4
Jun 2018,47.2
Jul 2018,38
Aug 2018,62
Sep 2018,59.6
Oct 2018,41.4
Nov 2018,81.4
Dec 2018,29.6
Jan 2019,8.8
Feb 2019,11.8
Mar 2019,65.6
Apr 2019,54
May 2019,99.2
Jun 2019,141.6
Jul 2019,86.4
Aug 2019,95.8
Sep 2019,49.8
Oct 2019,109.6
Nov 2019,168.8
Dec 2019,8.8
