Scotland_N Minimum Temperature (Degrees C)
Areal series, starting from 1910
Allowances have been made for topographic, coastal and urban effects where relationships are found to exist.
Seasons: Winter=Dec-Feb, Spring=Mar-May, Summer=June-Aug, Autumn=Sept-Nov. (Winter: Year refers to Jan/Feb).
Monthly values are ranked and displayed to 1 dp and seasonal/annual values to 2 dp. Where values are equal, rankings are based in order of year descending.
Data are provisional from January 2018 and Winter 2018.  Last updated 02/12/2019.

Year    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC     WIN    SPR    SUM    AUT     ANN
1949    0.7    1.0    0.4    3.2    4.2    6.6    9.3    9.5    8.6    6.4    2.5    0.3    1.35   2.59   8.52   5.86    4.42
1950    1.7   -1.2    2.2    1.2    4.3    7.8    9.2    9.2    7.0    4.5    0.8   -2.3    0.35   2.58   8.73   4.10    3.74
1951   -0.7   -1.2   -0.8    0.1    3.4    5.9    8.8    8.4    7.6    5.6    3.4    1.2   -1.39   0.90   7.74   5.52    3.50
1952   -2.8   -0.3    1.3    3.2    6.1    6.4    8.7    9.0    5.1    3.7   -0.1    0.0   -0.64   3.57   8.05   2.92    3.38
1953    1.4    0.8    1.3    0.5    5.2    8.0    9.0    9.1    8.5    6.3    4.0    1.9    0.71   2.36   8.70   6.25    4.69
1954    0.3   -1.5   -0.4    1.6    5.1    7.0    8.0    8.7    6.0    5.0    1.6    1.6    0.28   2.13   7.89   4.22    3.62
1955   -2.1   -4.3   -0.6    2.9    2.6    6.7    9.4   10.4    8.3    3.9    3.9    0.0   -1.51   1.65   8.82   5.37    3.46
1956   -1.5   -2.0    1.1    0.5    5.3    6.0    8.5    7.1    8.0    5.1    3.3    2.2   -1.15   2.31   7.23   5.44    3.66
1957    0.6   -0.9    3.4    2.3    3.6    6.5    9.1    8.9    6.2    5.2    2.6    0.6    0.66   3.13   8.21   4.69    4.06
1958   -1.8   -1.7   -1.9    1.8    2.9    7.1    8.8    9.3    8.8    5.7    2.4   -0.1   -0.94   0.92   8.43   5.63    3.47
1959   -3.4   -0.6    1.5    2.8    5.2    7.4    9.6   10.2    7.2    6.4    2.6    0.4   -1.40   3.14   9.11   5.40    4.13
1960   -1.2   -2.6    1.2    3.4    5.6    8.3    8.5    8.5    6.4    5.5    1.7   -1.1   -1.08   3.41   8.43   4.55    3.71
1961   -1.0    1.3    3.3    2.8    4.2    7.0    8.5    8.6    7.9    5.6    0.8   -2.4   -0.30   3.43   8.04   4.80    3.90
1962    0.1   -0.1   -2.1    0.9    4.1    7.0    7.6    7.7    6.7    6.3    1.7    0.2   -0.83   0.95   7.44   4.91    3.36
1963   -3.7   -3.8    1.0    2.3    3.7    7.8    8.0    8.1    7.3    5.2    1.9   -0.1   -2.37   2.34   8.00   4.80    3.20
1964    1.3    0.6    0.9    2.9    6.0    6.5    8.5    7.6    6.6    3.8    2.5   -0.7    0.60   3.27   7.54   4.31    3.88
1965   -1.3    0.2   -0.4    1.6    4.8    7.7    7.1    8.0    7.2    5.3   -0.2   -1.1   -0.64   2.02   7.60   4.10    3.26
1966   -0.9   -1.1    1.5    0.3    3.8    8.7    8.1    7.5    8.5    4.0    0.4   -0.2   -1.02   1.89   8.07   4.32    3.41
1967    0.9    1.4    1.1    1.9    3.5    6.9    8.8    8.6    7.7    4.1    1.9    0.8    0.69   2.15   8.11   4.57    3.98
1968   -0.3   -2.8    0.8    1.8    2.9    7.2    8.2    8.1    7.6    6.2    1.4   -0.2   -0.74   1.82   7.83   5.11    3.43
1969    0.6   -3.4   -1.4    1.1    4.3    7.0    9.2   10.1    7.3    7.1   -0.9    0.2   -0.91   1.33   8.75   4.54    3.48
1970   -0.4   -3.1   -1.2    0.5    5.8    8.3    7.6    9.5    7.6    5.0    1.7    0.9   -1.03   1.72   8.49   4.78    3.58
1971    1.2    0.9    0.8    2.0    5.1    5.9    8.6    8.5    7.8    5.3    1.7    3.4    1.02   2.63   7.69   4.95    4.30
1972    0.3   -0.2    0.8    2.4    4.8    5.6    8.2    7.9    5.7    5.2    1.1    1.2    1.20   2.65   7.25   4.04    3.60
1973    1.1   -1.0    1.2    1.0    4.2    7.2    8.9    8.9    7.3    3.4    1.1    0.0    0.49   2.13   8.32   3.92    3.64
1974    1.7    0.8    0.5    1.8    5.0    6.8    8.2    8.4    6.0    3.6    2.0    2.3    0.84   2.43   7.80   3.84    3.93
1975    0.2   -0.1   -0.3    2.1    3.2    6.6    9.3   10.3    6.4    5.6    2.1    2.5    0.82   1.64   8.74   4.72    4.01
1976    0.4    0.3    0.5    2.7    5.0    8.3   10.2    8.7    7.6    5.3    1.7   -1.9    1.07   2.73   9.06   4.87    4.07
1977   -1.1   -1.1    1.6    1.0    3.7    5.6    8.8    8.2    6.4    6.5    0.9    1.4   -1.38   2.14   7.56   4.62    3.54
1978   -1.5   -3.2    1.0    1.1    4.8    7.2    7.9    9.1    8.0    6.2    2.5    0.9   -1.01   2.34   8.06   5.55    3.71
1979   -4.0   -2.8   -1.2    1.9    2.8    7.4    8.6    7.9    6.7    6.1    1.1    0.5   -1.95   1.17   7.98   4.65    2.95
1980   -0.8    0.3   -0.5    2.8    4.2    7.7    8.5    9.4    8.3    3.7    1.7    1.2    0.00   2.16   8.53   4.51    3.87
1981   -0.5   -0.4    0.9    1.1    5.2    6.8    8.8    9.0    7.9    2.0    2.3   -3.3    0.12   2.41   8.22   4.03    3.33
1982   -1.2    0.7    0.8    2.9    3.8    7.5    9.2    9.1    6.7    5.3    2.1   -0.5   -1.33   2.48   8.62   4.73    3.89
1983    1.2   -2.1    1.8    0.2    4.1    6.7    9.6    9.9    7.0    4.8    3.3    1.4   -0.41   2.07   8.76   5.02    4.04
1984   -2.9    0.7    0.2    2.1    3.5    7.7    9.4    9.4    6.7    4.7    3.1    1.5   -0.25   1.95   8.84   4.82    3.85
1985   -2.3   -1.4   -0.4    1.9    4.1    6.0    9.2    8.4    7.0    5.4   -1.0    0.3   -0.71   1.89   7.88   3.78    3.13
1986   -1.2   -3.7    0.5    0.1    5.0    7.0    8.7    7.1    5.6    5.5    2.3    0.6   -1.47   1.88   7.60   4.49    3.18
1987   -1.6   -1.0   -1.1    3.1    3.9    5.6    9.3    8.6    6.9    3.1    2.7    0.9   -0.64   1.98   7.90   4.21    3.40
1988   -0.2    0.5    0.2    2.0    4.8    8.0    8.8    8.7    7.7    4.6    2.1    3.3    0.38   2.33   8.51   4.82    4.22
1989    3.1    0.3    0.7    0.9    4.8    6.5    9.7    8.7    6.6    5.6    1.9   -1.0    2.28   2.15   8.31   4.72    4.01
1990    1.1    1.0    2.5    1.9    5.0    7.4    9.1    9.7    6.6    5.7    2.1    0.5    0.34   3.15   8.79   4.80    4.42
1991   -0.8   -1.8    1.8    2.5    5.2    5.7   10.8   10.1    6.8    4.8    2.2    1.4   -0.66   3.17   8.89   4.61    4.10
1992    1.1    1.4    1.5    2.7    5.6    8.3    8.8    8.1    6.8    2.5    1.5   -0.2    1.32   3.24   8.39   3.58    4.00
1993    0.2    2.6    1.2    3.0    4.1    7.7    8.1    7.8    6.2    3.4    0.8   -1.0    0.79   2.76   7.89   3.48    3.68
1994   -0.3   -1.0    0.4    1.8    3.1    7.1    9.6    8.6    6.3    4.2    4.9    1.0   -0.77   1.80   8.46   5.15    3.85
1995   -0.9   -0.4   -0.7    2.3    4.2    7.0    9.7   10.2    7.5    6.3    2.8   -2.6   -0.10   1.94   8.97   5.55    3.81
1996    1.7   -1.6    0.6    3.1    2.5    7.2    8.5    9.9    7.7    5.9   -0.1   -1.0   -0.81   2.04   8.54   4.51    3.72
1997   -0.6    0.3    2.8    2.8    4.3    6.9    9.6   10.8    7.0    4.5    4.6    1.8   -0.43   3.28   9.12   5.36    4.59
1998    0.5    3.8    1.3    1.2    5.4    6.2    8.8    9.0    8.2    3.8    1.3    1.3    1.97   2.64   8.01   4.41    4.23
1999    0.7   -0.3    1.5    3.3    5.4    6.9    9.4    8.5    8.7    5.8    3.0   -0.7    0.58   3.37   8.26   5.85    4.36
2000    1.3    0.6    2.0    1.5    4.4    6.6    8.6    9.2    8.4    5.4    1.5    0.8    0.39   2.68   8.17   5.12    4.22
2001   -1.7   -1.0   -1.2    1.6    5.4    6.8    9.3    9.3    7.6    8.0    3.0   -0.3   -0.63   1.93   8.50   6.19    3.92
2002    1.8    0.2    1.7    3.2    5.4    8.5    9.0   10.1    8.0    3.9    3.8    1.1    0.56   3.42   9.22   5.21    4.74
2003   -0.2   -0.6    1.5    4.0    5.1    9.1   10.9   10.1    7.4    2.8    3.1    0.2    0.13   3.55  10.02   4.43    4.48
2004    0.7   -0.5    1.4    4.0    5.4    8.3    9.0   10.6    7.8    4.7    3.2    1.7    0.14   3.61   9.29   5.23    4.71
2005    1.7    0.2    2.4    2.9    3.9    8.2    9.4    9.5    8.4    6.6    1.8    1.5    1.24   3.07   9.05   5.59    4.74
2006    0.8    0.0   -0.7    1.8    4.3    8.3   10.9    9.9    9.5    6.5    3.3    1.9    0.79   1.79   9.70   6.45    4.73
2007    1.9    1.3    1.7    4.6    4.4    7.9    9.2    8.9    7.1    6.3    3.3    0.4    1.70   3.52   8.69   5.58    4.77
2008    0.3    0.6    0.2    1.7    5.7    7.2   10.1   10.0    7.9    3.9    2.0   -0.5    0.43   2.57   9.11   4.62    4.11
2009    0.2    0.3    1.6    3.8    4.8    7.3    9.8    9.9    8.8    5.6    2.7   -2.5   -0.02   3.39   9.03   5.68    4.37
2010   -2.4   -2.9    0.3    2.5    3.9    8.3    9.4    8.7    7.5    4.9   -0.3   -4.8   -2.60   2.19   8.80   4.07    2.95
2011   -0.2    0.8    1.4    4.8    5.4    6.5    8.4    8.5    8.6    6.3    4.6    0.0   -1.44   3.83   7.83   6.52    4.62
2012    0.5    1.7    3.4    1.0    3.7    6.5    8.6    9.3    7.0    2.5    1.7   -0.5    0.72   2.75   8.14   3.70    3.79
2013    0.9   -1.1   -1.5    0.5    4.1    7.5   10.3    9.9    7.5    6.2    1.5    2.4   -0.22   1.01   9.26   5.09    4.05
2014    1.2    1.2    2.3    4.2    5.8    9.2    9.9    8.4    8.9    5.7    3.4    0.4    1.59   4.09   9.18   6.00    5.06
2015   -0.2    0.4    1.0    2.0    3.6    6.5    8.4    9.1    7.3    5.3    3.3    2.1    0.20   2.20   8.04   5.29    4.09
2016    0.3   -1.0    1.2    1.4    5.4    8.4    9.5    9.2    9.1    4.7    0.7    2.8    0.49   2.68   9.07   4.84    4.33
2017    1.1    0.8    1.4    3.1    5.8    8.4    8.7    9.3    8.2    6.5    1.6    0.3    1.56   3.46   8.80   5.45    4.63
2018   -0.7   -1.3   -0.4    2.7    5.7    8.1   10.3    9.0    7.1    4.8    3.2    1.6   -0.55   2.68   9.15   5.01    4.20
2019   -0.3    1.8    2.3    3.4    3.8    7.6   11.0   10.0    7.7    4.1    0.8           1.00   3.19   9.57   4.18
