summary,Climate Hydrology Ecology Support System subset,
originalResource,{"url":"https://eip.ceh.ac.uk/apps/chess/","title":"EIP | CHESS"},
metadataURL,https://catalogue.ceh.ac.uk/documents/80887755-1426-4dab-a4a6-250919d5020c,https://catalogue.ceh.ac.uk/documents/d329f4d6-95ba-4134-b77a-a377e0755653,
termsAndConditions,Licensing conditions apply,CHESS Met https://catalogue.ceh.ac.uk/documents/80887755-1426-4dab-a4a6-250919d5020c,CHESS PET https://catalogue.ceh.ac.uk/documents/d329f4d6-95ba-4134-b77a-a377e0755653,
credits,CEH, Terms and conditions apply,
location,{"type":"point","x":334132.7787655574,"y":658017.530274143,"spatialReference":{"wkid":27700}},
DATES,Near-Surface Wind Speed (m s-1)
2009-02-09,1.6521808
2009-02-10,2.8998907
2009-02-11,2.680577
2009-02-12,2.7535932
2009-02-13,1.2504934
2009-02-14,2.2704487
2009-02-15,3.5149586
2009-02-16,4.7624984
2009-02-17,3.1878307
2009-02-18,1.5504692
2009-02-19,2.8824296
2009-02-20,2.7907753
2009-02-21,5.546373
2009-02-22,5.58045
2009-02-23,3.9512255
2009-02-24,2.4385874
2009-02-25,6.4539227
2009-02-26,6.2369666
2009-02-27,4.2494526
2009-02-28,4.4684854
2009-03-01,4.2378564
2009-03-02,5.2205114
2009-03-03,5.7439156
2009-03-04,3.6930604
2009-03-05,1.8599249
2009-03-06,3.2670143
2009-03-07,5.63395
2009-03-08,8.47084
2009-03-09,7.13531
2009-03-10,3.0759647
2009-03-11,3.8826275
2009-03-12,6.605956
2009-03-13,3.7892792
2009-03-14,7.9607863
2009-03-15,4.464101
2009-03-16,3.649664
2009-03-17,2.6753838
2009-03-18,2.610738
2009-03-19,2.4918158
2009-03-20,2.3256354
2009-03-21,3.1015165
2009-03-22,6.579639
2009-03-23,8.87173
2009-03-24,5.508652
2009-03-25,6.5644593
2009-03-26,7.753403
2009-03-27,7.8987665
2009-03-28,5.861382
2009-03-29,4.826556
2009-03-30,5.334224
2009-03-31,4.0709867
2009-04-01,1.7747287
2009-04-02,2.173554
2009-04-03,2.457422
2009-04-04,4.8303742
2009-04-05,4.470617
2009-04-06,3.5639532
2009-04-07,5.9827414
2009-04-08,6.764106
2009-04-09,5.127654
2009-04-10,4.3671913
2009-04-11,3.798289
2009-04-12,1.7988755
2009-04-13,3.0164645
2009-04-14,3.5730212
2009-04-15,4.789892
2009-04-16,6.050394
2009-04-17,6.05544
2009-04-18,2.838685
2009-04-19,1.971988
2009-04-20,1.8212479
2009-04-21,3.8806434
2009-04-22,3.3552346
2009-04-23,4.2323933
2009-04-24,4.0551023
2009-04-25,2.9680529
2009-04-26,3.8619719
2009-04-27,3.7869165
2009-04-28,3.849408
2009-04-29,4.2345266
2009-04-30,4.080844
2009-05-01,4.7425256
2009-05-02,4.2984433
2009-05-03,5.052885
2009-05-04,6.4942617
2009-05-05,5.8859386
2009-05-06,6.0834484
2009-05-07,9.214602
2009-05-08,8.354615
2009-05-09,5.897543
2009-05-10,2.3403723
2009-05-11,3.1609652
2009-05-12,4.31877
2009-05-13,5.5619054
2009-05-14,5.501171
2009-05-15,6.261233
2009-05-16,4.914685
2009-05-17,4.171915
2009-05-18,4.9586186
2009-05-19,4.7736897
2009-05-20,4.075626
2009-05-21,3.4009936
2009-05-22,3.1402478
2009-05-23,4.0475
2009-05-24,4.120181
2009-05-25,2.5797856
2009-05-26,5.2289195
2009-05-27,5.025789
2009-05-28,3.564786
2009-05-29,2.6554546
2009-05-30,3.5114102
2009-05-31,2.7386801
2009-06-01,2.0853848
2009-06-02,2.4745803
2009-06-03,3.2233052
2009-06-04,2.2547345
2009-06-05,2.910705
2009-06-06,4.8847923
2009-06-07,3.8628128
2009-06-08,2.9465282
2009-06-09,2.9060853
2009-06-10,1.9656554
2009-06-11,2.9746225
2009-06-12,2.3675945
2009-06-13,2.6322517
2009-06-14,2.1932626
2009-06-15,2.6535037
2009-06-16,2.6473722
2009-06-17,5.250535
2009-06-18,6.5776978
2009-06-19,6.3648977
2009-06-20,3.6090896
2009-06-21,2.5557656
2009-06-22,2.7980497
2009-06-23,2.1652508
2009-06-24,3.1631818
2009-06-25,4.2149243
2009-06-26,4.2620907
2009-06-27,3.4740038
2009-06-28,2.8409817
2009-06-29,2.5582337
2009-06-30,1.9925071
