summary,Climate Hydrology Ecology Support System subset,
originalResource,{"url":"https://eip.ceh.ac.uk/apps/chess/","title":"EIP | CHESS"},
metadataURL,https://catalogue.ceh.ac.uk/documents/80887755-1426-4dab-a4a6-250919d5020c,https://catalogue.ceh.ac.uk/documents/d329f4d6-95ba-4134-b77a-a377e0755653,
termsAndConditions,Licensing conditions apply,CHESS Met https://catalogue.ceh.ac.uk/documents/80887755-1426-4dab-a4a6-250919d5020c,CHESS PET https://catalogue.ceh.ac.uk/documents/d329f4d6-95ba-4134-b77a-a377e0755653,
credits,CEH, Terms and conditions apply,
location,{"type":"point","x":248249.29832359683,"y":664355.3510028278,"spatialReference":{"wkid":27700}},
DATES,Near-Surface Specific Humidity (kg kg-1)
2011-01-26,0.003988848
2011-01-27,0.0037409805
2011-01-28,0.0032565487
2011-01-29,0.0036441758
2011-01-30,0.0037285315
2011-01-31,0.0052919746
2011-02-01,0.0051298235
2011-02-02,0.005687539
2011-02-03,0.0043368074
2011-02-04,0.0055190697
2011-02-05,0.0050044935
2011-02-06,0.0049895775
2011-02-07,0.004713936
2011-02-08,0.004066557
2011-02-09,0.005655017
2011-02-10,0.004504739
2011-02-11,0.004699712
2011-02-12,0.0048738974
2011-02-13,0.005021111
2011-02-14,0.0044251606
2011-02-15,0.0040773703
2011-02-16,0.004804878
2011-02-17,0.0045261676
2011-02-18,0.0046962416
2011-02-19,0.004483107
2011-02-20,0.004415909
2011-02-21,0.004250912
2011-02-22,0.0051331758
2011-02-23,0.0065221554
2011-02-24,0.006472389
2011-02-25,0.006519832
2011-02-26,0.0050614434
2011-02-27,0.004345521
2011-02-28,0.0036898057
2011-03-01,0.0046245176
2011-03-02,0.004231739
2011-03-03,0.0050357054
2011-03-04,0.005577949
2011-03-05,0.0051112827
2011-03-06,0.004010053
2011-03-07,0.004352003
2011-03-08,0.0049057743
2011-03-09,0.004322404
2011-03-10,0.0044343947
2011-03-11,0.0040573855
2011-03-12,0.0045211487
2011-03-13,0.0042822664
2011-03-14,0.0042058495
2011-03-15,0.004255989
2011-03-16,0.004051437
2011-03-17,0.004353431
2011-03-18,0.003935146
2011-03-19,0.004408166
2011-03-20,0.0059174406
2011-03-21,0.0061356057
2011-03-22,0.006432286
2011-03-23,0.006219807
2011-03-24,0.005343795
2011-03-25,0.0048655462
2011-03-26,0.005059849
2011-03-27,0.004845644
2011-03-28,0.004719227
2011-03-29,0.005123992
2011-03-30,0.0061951517
2011-03-31,0.006082879
2011-04-01,0.0073521193
2011-04-02,0.006135665
2011-04-03,0.0052776476
2011-04-04,0.005833184
2011-04-05,0.0077529578
2011-04-06,0.008012933
2011-04-07,0.005397726
2011-04-08,0.006495708
2011-04-09,0.006989915
2011-04-10,0.007448529
2011-04-11,0.0059902193
2011-04-12,0.004855473
2011-04-13,0.005967766
2011-04-14,0.0067188563
2011-04-15,0.006337204
2011-04-16,0.005644148
2011-04-17,0.0057959845
2011-04-18,0.0061546885
2011-04-19,0.006577095
2011-04-20,0.005970942
2011-04-21,0.006831464
2011-04-22,0.0064538587
2011-04-23,0.006813428
2011-04-24,0.0058380235
2011-04-25,0.005004752
2011-04-26,0.004568766
2011-04-27,0.00449669
2011-04-28,0.005115642
2011-04-29,0.0054666772
2011-04-30,0.0042327223
2011-05-01,0.0042618155
2011-05-02,0.004322891
2011-05-03,0.004144494
2011-05-04,0.004163779
2011-05-05,0.0063516796
2011-05-06,0.007971548
2011-05-07,0.008810158
2011-05-08,0.007877161
2011-05-09,0.0070054466
2011-05-10,0.0072607226
2011-05-11,0.0067685903
2011-05-12,0.006655744
2011-05-13,0.0056413007
2011-05-14,0.0058455807
2011-05-15,0.006923951
2011-05-16,0.007828932
2011-05-17,0.007456867
2011-05-18,0.006138152
2011-05-19,0.0056383754
2011-05-20,0.005655502
2011-05-21,0.006954469
2011-05-22,0.0059877643
2011-05-23,0.0060769967
2011-05-24,0.005219234
2011-05-25,0.006127844
2011-05-26,0.0068512633
2011-05-27,0.0061782235
2011-05-28,0.006116193
2011-05-29,0.0061812573
2011-05-30,0.0055265506
2011-05-31,0.0056915353
2011-06-01,0.008075902
2011-06-02,0.008571438
2011-06-03,0.008749448
2011-06-04,0.00714829
2011-06-05,0.0061167423
2011-06-06,0.0059789247
2011-06-07,0.006625987
2011-06-08,0.0066780443
2011-06-09,0.005721745
2011-06-10,0.0051573985
2011-06-11,0.005973151
2011-06-12,0.006367077
2011-06-13,0.0071468707
2011-06-14,0.006388439
2011-06-15,0.008216325
2011-06-16,0.0067612855
2011-06-17,0.0072459085
2011-06-18,0.007854715
2011-06-19,0.007954931
2011-06-20,0.007171971
2011-06-21,0.008321427
2011-06-22,0.00789781
2011-06-23,0.0068521025
2011-06-24,0.006190559
2011-06-25,0.00861374
2011-06-26,0.010020181
2011-06-27,0.0080504175
2011-06-28,0.00633975
2011-06-29,0.0068164007
2011-06-30,0.00676806
