summary,Climate Hydrology Ecology Support System subset,
originalResource,{"url":"https://eip.ceh.ac.uk/apps/chess/","title":"EIP | CHESS"},
metadataURL,https://catalogue.ceh.ac.uk/documents/80887755-1426-4dab-a4a6-250919d5020c,https://catalogue.ceh.ac.uk/documents/d329f4d6-95ba-4134-b77a-a377e0755653,
termsAndConditions,Licensing conditions apply,CHESS Met https://catalogue.ceh.ac.uk/documents/80887755-1426-4dab-a4a6-250919d5020c,CHESS PET https://catalogue.ceh.ac.uk/documents/d329f4d6-95ba-4134-b77a-a377e0755653,
credits,CEH, Terms and conditions apply,
location,{"type":"point","x":248249.29832359683,"y":664355.3510028278,"spatialReference":{"wkid":27700}},
DATES,Near-Surface Wind Speed (m s-1)
2004-02-08,7.44056
2004-02-09,2.2554212
2004-02-10,6.4037595
2004-02-11,2.0844615
2004-02-12,2.0476217
2004-02-13,2.2923193
2004-02-14,0.69993913
2004-02-15,0.748563
2004-02-16,1.5143217
2004-02-17,1.8687464
2004-02-18,0.7989673
2004-02-19,1.1567073
2004-02-20,2.1098025
2004-02-21,1.8154175
2004-02-22,4.208377
2004-02-23,3.5662565
2004-02-24,4.47659
2004-02-25,4.6429253
2004-02-26,4.377868
2004-02-27,4.957692
2004-02-28,2.6738615
2004-02-29,1.0401384
2004-03-01,2.0410311
2004-03-02,3.9801476
2004-03-03,5.2373686
2004-03-04,2.2580302
2004-03-05,1.3930956
2004-03-06,2.904397
2004-03-07,3.3260818
2004-03-08,1.3779591
2004-03-09,1.9871813
2004-03-10,3.35032
2004-03-11,6.7420297
2004-03-12,6.4370832
2004-03-13,2.8632996
2004-03-14,7.2219152
2004-03-15,8.023187
2004-03-16,8.175844
2004-03-17,6.9046693
2004-03-18,5.6114335
2004-03-19,5.7631125
2004-03-20,6.5455675
2004-03-21,4.7152762
2004-03-22,5.021151
2004-03-23,3.5344255
2004-03-24,3.346212
2004-03-25,3.903167
2004-03-26,2.7468147
2004-03-27,2.9934797
2004-03-28,4.715714
2004-03-29,1.7989261
2004-03-30,2.985301
2004-03-31,5.396085
2004-04-01,4.5973067
2004-04-02,3.9093328
2004-04-03,5.54947
2004-04-04,5.2080526
2004-04-05,6.018349
2004-04-06,5.257542
2004-04-07,3.9705737
2004-04-08,2.0377913
2004-04-09,3.259084
2004-04-10,2.134415
2004-04-11,2.126305
2004-04-12,2.5392606
2004-04-13,4.2312627
2004-04-14,6.780169
2004-04-15,4.6723857
2004-04-16,2.3352356
2004-04-17,4.756954
2004-04-18,2.8954947
2004-04-19,6.0942607
2004-04-20,4.209757
2004-04-21,7.8178425
2004-04-22,4.9205337
2004-04-23,3.1678386
2004-04-24,3.3679123
2004-04-25,2.057744
2004-04-26,1.8900844
2004-04-27,3.2358186
2004-04-28,3.4400563
2004-04-29,5.624581
2004-04-30,4.9413815
2004-05-01,2.7928123
2004-05-02,3.67488
2004-05-03,4.887939
2004-05-04,3.6007774
2004-05-05,2.4345427
2004-05-06,1.9582566
2004-05-07,2.3751194
2004-05-08,2.7848732
2004-05-09,2.1520786
2004-05-10,2.7261362
2004-05-11,2.225336
2004-05-12,2.0731556
2004-05-13,2.7362273
2004-05-14,3.637525
2004-05-15,3.2981782
2004-05-16,2.8644109
2004-05-17,4.4414973
2004-05-18,5.0969133
2004-05-19,4.853697
2004-05-20,3.7795358
2004-05-21,2.2668579
2004-05-22,2.126816
2004-05-23,2.8479204
2004-05-24,3.4771109
2004-05-25,2.445707
2004-05-26,2.2230358
2004-05-27,2.8506458
2004-05-28,4.2218947
2004-05-29,3.007934
2004-05-30,2.1949039
2004-05-31,1.9124022
2004-06-01,2.3957207
2004-06-02,2.7069411
2004-06-03,3.9992774
2004-06-04,4.67717
2004-06-05,3.0239635
2004-06-06,3.4905393
2004-06-07,2.557223
2004-06-08,2.7060378
2004-06-09,3.7919836
2004-06-10,4.685933
2004-06-11,5.3034782
2004-06-12,4.0180297
2004-06-13,3.5681188
2004-06-14,5.2466226
2004-06-15,5.018359
2004-06-16,3.0672145
2004-06-17,4.4551487
2004-06-18,3.3305962
2004-06-19,4.5544076
2004-06-20,3.1239607
2004-06-21,1.7809594
2004-06-22,2.2446244
2004-06-23,5.707776
2004-06-24,5.7166896
2004-06-25,3.1655624
2004-06-26,4.9047456
2004-06-27,3.7171974
2004-06-28,3.964777
2004-06-29,3.5871687
2004-06-30,4.70374
