summary,Climate Hydrology Ecology Support System subset,
originalResource,{"url":"https://eip.ceh.ac.uk/apps/chess/","title":"EIP | CHESS"},
metadataURL,https://catalogue.ceh.ac.uk/documents/80887755-1426-4dab-a4a6-250919d5020c,https://catalogue.ceh.ac.uk/documents/d329f4d6-95ba-4134-b77a-a377e0755653,
termsAndConditions,Licensing conditions apply,CHESS Met https://catalogue.ceh.ac.uk/documents/80887755-1426-4dab-a4a6-250919d5020c,CHESS PET https://catalogue.ceh.ac.uk/documents/d329f4d6-95ba-4134-b77a-a377e0755653,
credits,CEH, Terms and conditions apply,
location,{"type":"point","x":241843.56108712236,"y":666182.5804098262,"spatialReference":{"wkid":27700}},
DATES,Near-Surface Air Temperature (K)
2010-02-21,271.52518
2010-02-22,270.98532
2010-02-23,271.3623
2010-02-24,274.50333
2010-02-25,275.76013
2010-02-26,275.78357
2010-02-27,275.6693
2010-02-28,275.17175
2010-03-01,273.64703
2010-03-02,273.13327
2010-03-03,273.18448
2010-03-04,273.32953
2010-03-05,277.5412
2010-03-06,278.64954
2010-03-07,276.3411
2010-03-08,274.92087
2010-03-09,275.70334
2010-03-10,274.99207
2010-03-11,277.61185
2010-03-12,278.95853
2010-03-13,279.39346
2010-03-14,280.7406
2010-03-15,280.55344
2010-03-16,279.1575
2010-03-17,281.7548
2010-03-18,282.78497
2010-03-19,281.6763
2010-03-20,279.91403
2010-03-21,278.5245
2010-03-22,280.49518
2010-03-23,279.7187
2010-03-24,280.43777
2010-03-25,279.48517
2010-03-26,280.30716
2010-03-27,280.18878
2010-03-28,279.5132
2010-03-29,276.6221
2010-03-30,276.1585
2010-03-31,275.77902
2010-04-01,276.90207
2010-04-02,277.0951
2010-04-03,278.59375
2010-04-04,278.81268
2010-04-05,281.91443
2010-04-06,281.23706
2010-04-07,280.3358
2010-04-08,281.9883
2010-04-09,282.04333
2010-04-10,282.8856
2010-04-11,283.08344
2010-04-12,282.5746
2010-04-13,281.6656
2010-04-14,280.32748
2010-04-15,280.89365
2010-04-16,280.46814
2010-04-17,281.25146
2010-04-18,279.6933
2010-04-19,278.30072
2010-04-20,278.7587
2010-04-21,278.84653
2010-04-22,279.04858
2010-04-23,280.08557
2010-04-24,283.63528
2010-04-25,283.65814
2010-04-26,283.99304
2010-04-27,283.74118
2010-04-28,284.9405
2010-04-29,283.82623
2010-04-30,282.384
2010-05-01,281.0395
2010-05-02,279.46982
2010-05-03,279.7232
2010-05-04,281.8988
2010-05-05,284.4035
2010-05-06,283.312
2010-05-07,281.73026
2010-05-08,280.90024
2010-05-09,281.25742
