D,T
-335.585,19.1537
-336.585,19.149
-337.585,19.1493
-338.585,19.15
-339.585,19.1535
-340.585,19.1528
-341.585,19.1487
-342.585,19.1511
-343.585,19.1559
-344.585,19.1539
-345.585,19.1574
-346.585,19.1575
-347.585,19.1539
-348.585,19.1557
-349.585,19.1575
-350.585,19.1556
-351.585,19.1616
-352.585,19.1576
-353.585,19.1576
-354.585,19.1569
-355.585,19.1844
-356.585,19.2018
-357.585,19.2053
-358.585,19.2117
-359.585,19.1854
-360.585,19.1877
-361.585,19.1787
-362.585,18.7538
-363.585,18.4048
-364.585,18.3849
-365.585,18.3538
-366.585,18.3291
-367.585,18.3224
-368.585,18.3152
-369.585,18.3174
-370.585,18.327
-371.585,18.3448
-372.585,18.3808
-373.585,18.4179
-374.585,18.4766
-375.585,18.5108
-376.585,18.5729
-377.585,18.6187
-378.585,18.664
-379.585,18.7327
-380.585,18.8667
-381.585,19.0854
-382.585,19.2514
-383.585,19.2775
-384.585,19.2791
-385.585,19.2897
-386.585,19.5079
-387.585,19.6236
-388.585,19.6909
-389.585,19.7269
-390.585,19.7595
-391.585,19.8434
-392.585,19.9042
-393.585,20.0821
-394.585,20.2259
-395.585,20.3853
-396.585,20.4172
-397.585,20.2331
-398.585,20.1323
-399.585,20.1145
-400.275,20.1225
