D,T
-7.51,12.69
-7.52,12.69
-7.555,12.66
-7.615,12.56
-7.675,12.33
-7.945,11.71
-8.425,11.43
-8.905,11.36
-9.385,11.35
-9.865,11.31
-10.345,11.28
-10.825,11.27
-11.305,11.25
-11.785,11.24
-12.265,11.24
-12.745,11.22
-13.225,11.22
-13.705,11.22
-14.185,11.22
-14.665,11.24
-15.145,11.25
-15.625,11.25
-16.105,11.26
-16.585,11.27
-17.065,11.31
-17.545,11.32
-18.025,11.35
-18.505,11.37
-18.985,11.39
-19.465,11.41
-19.945,11.41
-20.425,11.41
-20.905,11.40
-21.385,11.41
-21.865,11.41
-22.345,11.41
-22.825,11.41
-23.305,11.41
-23.785,11.41
-24.265,11.41
-24.745,11.40
-25.225,11.41
-25.705,11.40
-26.185,11.40
-26.665,11.41
-27.145,11.40
-27.625,11.40
-28.105,11.41
-28.585,11.40
-29.065,11.40
-29.545,11.40
-30.025,11.38
-30.505,11.39
-30.985,11.39
-31.465,11.39
-31.945,11.40
-32.425,11.40
-32.905,11.40
-33.385,11.40
-33.865,11.40
-34.345,11.40
-34.825,11.40
-35.305,11.39
-35.785,11.39
-36.265,11.40
-36.745,11.39
-37.225,11.40
-37.705,11.39
-38.185,11.40
-38.665,11.39
-39.145,11.40
-39.625,11.40
-40.105,11.41
-40.585,11.40
-41.065,11.39
-41.545,11.40
-42.025,11.40
-42.505,11.39
-42.985,11.39
-43.465,11.39
-43.945,11.39
-44.425,11.40
-44.905,11.38
-45.385,11.40
-45.865,11.40
-46.345,11.39
-46.825,11.39
-47.305,11.39
-47.785,11.38
-48.265,11.40
-48.745,11.40
-49.225,11.40
-49.705,11.39
-50.185,11.39
-50.665,11.40
-51.145,11.39
-51.625,11.39
-52.105,11.40
-52.585,11.40
-53.065,11.39
-53.545,11.39
-54.025,11.39
-54.505,11.39
-54.985,11.40
-55.465,11.40
-55.945,11.38
-56.425,11.39
-56.905,11.40
-57.385,11.40
-57.865,11.39
-58.345,11.40
-58.825,11.39
-59.305,11.39
-59.785,11.40
-60.265,11.40
-60.745,11.40
-61.225,11.39
-61.705,11.40
-62.185,11.41
-62.665,11.40
-63.145,11.39
-63.625,11.39
-64.105,11.40
-64.585,11.40
-65.065,11.40
-65.545,11.40
-66.025,11.40
-66.505,11.40
-66.985,11.39
-67.465,11.39
-67.945,11.39
-68.425,11.40
-68.905,11.39
-69.385,11.40
-69.865,11.40
-70.345,11.40
-70.825,11.39
-71.305,11.40
-71.785,11.39
-72.265,11.40
-72.745,11.42
-73.225,11.44
-73.705,11.47
-74.185,11.48
-74.665,11.52
-75.145,11.57
-75.625,11.63
-76.105,11.66
-76.585,11.69
-77.065,11.71
-77.545,11.74
-78.025,11.77
-78.505,11.78
-78.985,11.79
-79.465,11.79
-79.945,11.80
-80.425,11.82
-80.905,11.85
-81.385,11.85
-81.865,11.87
-82.345,11.89
-82.825,11.92
-83.305,11.93
-83.785,11.94
-84.265,11.94
-84.745,11.96
-85.225,11.97
-85.705,11.99
-86.185,12.00
-86.665,12.01
-87.145,12.02
-87.625,12.02
-88.105,12.04
-88.585,12.04
-89.065,12.05
-89.545,12.07
-90.025,12.06
-90.505,12.07
-90.985,12.07
-91.465,12.08
-91.945,12.08
-92.425,12.09
-92.905,12.10
-93.385,12.10
-93.865,12.10
-94.345,12.10
-94.825,12.11
-95.305,12.12
-95.785,12.12
-96.265,12.13
-96.745,12.15
-97.225,12.15
-97.705,12.15
-98.185,12.15
-98.665,12.17
-99.145,12.18
-99.625,12.19
-100.105,12.19
-100.585,12.21
-101.065,12.23
-101.545,12.23
-102.025,12.24
-102.505,12.25
-102.985,12.26
-103.465,12.26
-103.945,12.28
-104.425,12.28
-104.905,12.30
-105.385,12.31
-105.865,12.32
-106.345,12.33
-106.825,12.34
-107.305,12.34
-107.785,12.36
-108.265,12.37
-108.745,12.37
-109.225,12.39
-109.705,12.40
-110.185,12.40
-110.665,12.42
-111.145,12.43
-111.625,12.44
-112.105,12.47
-112.585,12.48
-113.065,12.51
-113.545,12.54
-114.025,12.57
-114.505,12.58
-114.985,12.60
-115.465,12.62
-115.945,12.65
-116.425,12.67
-116.905,12.68
-117.385,12.70
-117.865,12.71
-118.345,12.75
-118.825,12.75
-119.305,12.78
-119.785,12.80
-120.265,12.83
-120.745,12.86
-121.225,12.88
-121.705,12.91
-122.185,12.94
-122.665,12.97
-123.145,13.02
-123.625,13.06
-124.105,13.06
-124.585,13.06
-125.065,13.07
-125.545,13.08
-126.025,13.08
-126.505,13.09
-126.985,13.09
-127.465,13.10
-127.945,13.09
-128.425,13.08
-128.905,13.10
-129.385,13.10
-129.865,13.11
-130.345,13.11
-130.825,13.15
-131.305,13.20
-131.785,13.25
-132.265,13.27
-132.745,13.32
-133.225,13.38
-133.705,13.46
-134.185,13.53
-134.665,13.57
-135.145,13.60
-135.625,13.63
-136.105,13.72
-136.585,13.80
-137.065,13.86
-137.545,13.90
-138.025,13.98
-138.505,14.04
-138.985,14.11
-139.465,14.17
-139.945,14.22
-140.425,14.28
-140.905,14.37
-141.385,14.46
-141.865,14.51
-142.345,14.61
-142.825,14.69
-143.305,14.82
-143.785,14.99
-144.265,15.19
-144.745,15.39
-145.225,15.45
-145.705,15.48
-146.185,15.51
-146.665,15.52
-147.145,15.54
-147.625,15.53
-148.105,15.56
-148.585,15.57
-149.065,15.59
-149.545,15.59
-150.025,15.59
-150.505,15.59
-150.985,15.60
-151.465,15.61
-151.945,15.62
-152.425,15.63
-152.905,15.63
-153.385,15.64
-153.865,15.64
-154.345,15.65
-154.825,15.65
-155.305,15.66
-155.785,15.65
-156.265,15.66
-156.745,15.66
-157.225,15.66
-157.705,15.66
-158.185,15.66
-158.665,15.67
-159.145,15.68
-159.625,15.68
-160.105,15.68
-160.585,15.68
-161.065,15.68
-161.545,15.68
-162.025,15.68
-162.505,15.68
-162.985,15.69
-163.465,15.69
-163.945,15.69
-164.425,15.69
-164.905,15.69
-165.385,15.70
-165.865,15.70
-166.345,15.70
-166.825,15.70
-167.305,15.70
-167.785,15.70
-168.265,15.70
-168.745,15.70
-169.225,15.70
-169.705,15.70
-170.185,15.70
-170.665,15.71
-171.145,15.71
-171.625,15.71
-172.105,15.71
-172.585,15.70
-173.065,15.71
-173.545,15.71
-174.025,15.71
-174.505,15.71
-174.985,15.71
-175.465,15.71
-175.945,15.71
-176.425,15.71
-176.905,15.71
-177.385,15.71
-177.865,15.71
-178.345,15.71
-178.825,15.72
-179.305,15.72
-179.785,15.72
-180.265,15.71
-180.745,15.72
-181.225,15.72
-181.705,15.72
-182.185,15.72
-182.665,15.72
-183.145,15.72
-183.625,15.71
-184.105,15.72
-184.585,15.72
-185.065,15.72
-185.545,15.72
-186.025,15.72
-186.505,15.72
-186.985,15.71
-187.465,15.72
-187.945,15.71
-188.425,15.71
-188.905,15.72
-189.385,15.71
-189.865,15.72
-190.345,15.71
-190.825,15.72
-191.305,15.72
-191.785,15.71
-192.265,15.72
-192.745,15.72
-193.225,15.71
-193.705,15.71
-194.185,15.72
-194.665,15.72
-195.145,15.72
-195.625,15.72
-196.105,15.71
-196.585,15.71
-197.065,15.71
-197.545,15.71
-198.025,15.71
-198.505,15.70
-198.985,15.71
-199.465,15.71
-199.945,15.71
-200.425,15.70
-200.905,15.71
-201.385,15.71
-201.865,15.71
-202.345,15.71
-202.825,15.71
-203.305,15.70
-203.785,15.70
-204.265,15.71
-204.745,15.70
-205.225,15.71
-205.705,15.70
-206.185,15.70
-206.665,15.71
