3HEX,unnamed,432307.8888888889,548196.1481481482,-58.870370370370374,NE190H,140,1.6,18,
3HFX,unnamed,433191.96,548103.44,-66.4,NE190H,130,4.9,7,
3HEJ,unnamed,432526.4318181818,548503.3863636364,-58.27272727272727,NE190H,120,1.5,139,
3HI4,unnamed,431865.1875,549484.6875,-39.25,NE190H,110,0.7,86,
3HII,unnamed,431723.3,549435.3833333333,-37.13333333333333,NE190H,110,0.7,73,
3HCW,unnamed,431711.7272727273,549302.7272727273,-37.0,NE190H,100,2.1,28,
3HCI,unnamed,431955.0,549199.0,-41.25,NE190H,100,1.6,54,
3HH9,unnamed,435257.6875,548872.90625,-73.625,NE140H,120,3.1,353,
3HGN,unnamed,435818.23529411765,548902.0588235294,-106.52941176470588,NE140H,140,5.1,54,
3HD4,unnamed,431893.6296296296,549825.1111111111,-40.81481481481482,NE190H,110,0.5,85,
3HDW,unnamed,431962.5333333333,549862.8,-42.0,NE190H,110,2.8,86,
3HF9,unnamed,435079.2727272727,548059.6363636364,-64.36363636363636,NE140H,100,3.8,70,
3HMN,unnamed,434430.44444444444,548699.2592592592,-50.22222222222222,NE140H,120,1.7,54,
3HN9,unnamed,434152.0909090909,548170.5454545454,-29.454545454545453,NE140H,120,3.1,56,
3HLN,unnamed,434654.8,548335.74,-53.04,NE140H,120,1.6,54,
3HQ8,unnamed,433026.84210526315,549861.4736842106,-33.26315789473684,NE140H,102,15.3,215,
3HP8,unnamed,433657.4285714286,549832.5714285715,-35.142857142857146,NE140H,107,49,155,
3HE9,unnamed,435847.25,548122.625,-100.8125,NE140H,50,2.8,31,
3HEN,unnamed,434917.36363636365,548048.6363636364,-60.09090909090909,NE140H,100,5.8,5,
3PKS,unnamed,439980.85714285716,546449.7142857143,-266.14285714285717,NE210H,110,1,70,
3PKU,unnamed,439969.5,545831.9,-259.5,NE210H,102,4,59,
3PKV,unnamed,438198.9,545726.85,-184.0,NE210H,60,2.4,21,
3PKW,unnamed,438011.0,545527.1111111111,-176.22222222222223,NE210H,60,2.7,328,
3PK9,unnamed,436554.5294117647,547633.6470588235,-174.41176470588235,NE210H,76,3.6,29,
3PKA,unnamed,436561.28571428574,547525.4285714285,-170.71428571428572,NE210H,76,2,56,
3PKQ,unnamed,439901.2,546630.2,-266.6,NE210H,110,1,70,
3PKR,unnamed,439974.0,546520.2857142857,-266.42857142857144,NE210H,110,1,70,
3PNB,unnamed,438653.7,544634.6,-181.5,NE210H,64,2.4,108,
3PK5,unnamed,436094.6875,547112.4375,-147.1875,NE210H,112,2.5,59,
3PK7,unnamed,436186.75,547985.0,-179.5,NE210H,76,3.1,41,
3PK8,unnamed,436510.76923076925,547913.1923076923,-188.23076923076923,NE210H,76,3.1,41,
3PN5,unnamed,439085.8888888889,544986.1111111111,-198.33333333333334,NE210H,94,2.8,41,
3PN6,unnamed,438784.85714285716,544674.9897959183,-184.0408163265306,NE210H,94,2.5,64,
3PN7,unnamed,438126.3157894737,544740.3684210526,-165.57894736842104,NE210H,61,0.5,70,
3PNA,unnamed,438156.92307692306,544341.3461538461,-151.34615384615384,NE210H,61,1.5,90,
3F5Q,unnamed,438014.0,543640.5,-56.75,NE140H,120,3.2,86,
3F5R,unnamed,431968.8333333333,546972.6666666666,34.5,NE140H,204,2.1,21,
3PN2,unnamed,437020.7983870968,543586.8709677419,-100.41935483870968,NE210H,107,2.1,82,
3PN4,unnamed,437683.4666666667,543387.0333333333,-115.16666666666667,NE210H,107,2.6,81,
3F70,unnamed,433323.5714285714,546011.0,48.142857142857146,NE140H,180,2.7,80,
3F5N,unnamed,437068.9210526316,544050.8947368421,-30.36842105263158,NE140H,120,5.2,152,
3F5O,unnamed,436621.92805755395,544380.6330935252,-33.26618705035971,NE140H,120,3,13,
3F5P,unnamed,438088.2727272727,543239.4545454546,-59.90909090909091,NE140H,140,3.5,85,
1F6V,unnamed,433116.0,546378.5555555555,26.555555555555557,NE140H,180,3.9,14,
3F6Y,unnamed,433157.2,546028.2,44.8,NE140H,180,4,194,
3F6W,unnamed,433479.1818181818,546173.0,41.72727272727273,NE140H,180,1.9,14,
3F6Z,unnamed,433206.75,546004.75,53.75,NE140H,180,2.7,81,
3F6R,unnamed,432473.5882352941,546757.5588235294,-4.911764705882353,NE140H,180,5.2,346,
3F6T,unnamed,433046.6119402985,546282.8059701492,34.6865671641791,NE140H,180,1.9,14,
3F6X,unnamed,433099.4285714286,546137.6285714286,42.857142857142854,NE140H,180,3.8,10,
3F6U,unnamed,432958.6666666667,546454.5,23.5,NE140H,180,4,14,
3F5C,unnamed,435204.23076923075,543793.8461538461,10.692307692307692,NE140H,89,1.1,82,
3F5D,unnamed,435411.15789473685,543482.4210526316,7.315789473684211,NE140H,89,0.3,200,
3F5E,unnamed,435805.70588235295,543519.7647058824,2.235294117647059,NE140H,104,2.6,73,
3F5F,unnamed,434150.9285714286,544882.6428571428,28.785714285714285,NE140H,97,2.5,77,
3F6I,unnamed,433371.8888888889,545940.1111111111,43.0,NE140H,122,2.7,50,
3F6A,unnamed,432621.86666666664,545788.2666666667,65.0,NE140H,122,1.9,33,
3F6B,unnamed,432904.5714285714,545694.2857142857,62.714285714285715,NE140H,122,1.9,33,
3F6D,unnamed,432718.23076923075,545297.0,77.15384615384616,NE140H,122,2,33,
3NHE,unnamed,432577.6666666667,549895.4444444445,-71.77777777777777,NE210H,110,2.8,39,
3F6H,unnamed,433946.0,545798.1,26.4,NE140H,122,2.7,59,
3F65,unnamed,432527.6447368421,546458.0394736842,9.894736842105264,NE140H,180,1.5,27,
3F6K,unnamed,433587.8,545954.4,35.4,NE140H,122,2.7,50,
3HNN,unnamed,435834.77777777775,549012.8888888889,-122.66666666666667,NE140H,140,33.2,344,
3HON,unnamed,435977.75,549065.25,-121.125,NE140H,130,3.9,69,
3HP9,unnamed,435725.65714285715,549208.9714285714,-102.34285714285714,NE140H,140,2.4,77,
3NTO,unnamed,435783.95454545453,549296.0,-148.6818181818182,NE210H,140,3,45,
3HJ9,unnamed,435313.375,548391.0,-76.5,NE140H,120,5.2,122,
3HIN,unnamed,435572.8,548360.6333333333,-85.36666666666666,NE140H,60,1.7,59,
3HFN,unnamed,435849.3333333333,549001.6,-113.86666666666666,NE140H,60,7.1,30,
3HG9,unnamed,435767.5,548979.625,-104.625,NE140H,60,6.3,29,
3HBO,unnamed,434268.95238095237,550539.2380952381,-118.0,NE140H,110,1.2,73,
3HTN,unnamed,434736.8888888889,550758.3703703703,-140.44444444444446,NE140H,110,3,116,
3HT9,unnamed,434146.13333333336,550937.2,-142.53333333333333,NE140H,110,16.6,2,
3HSN,unnamed,434658.0,550945.9285714285,-166.64285714285714,NE140H,110,0.9,73,
3HCA,unnamed,434267.5,550240.5333333333,-56.7,NE140H,110,2.3,77,
3HC0,unnamed,434835.5,550061.5,-74.14285714285714,NE140H,110,1.9,93,
3HDA,unnamed,435167.0,550137.8461538461,-85.53846153846153,NE140H,110,2.3,57,
3HDO,unnamed,435088.28,550460.28,-87.42,NE140H,120,1.9,110,
3POU,unnamed,432744.5,546201.2857142857,-26.178571428571427,NE210H,100,1.5,31,
3I3O,unnamed,431789.92307692306,552460.9230769231,-110.0,NE230H,74,1.2,77,
3HJ8,unnamed,433747.65,548052.3,-16.7,NE140H,120,3.6,348,
3HKM,unnamed,433197.2,548725.0,-24.8,NE140H,110,1,45,
55PN,unnamed,441943.1176470588,547799.1764705882,-333.2352941176471,NE190H,150,2.5,89,
55PO,unnamed,441968.44444444444,548115.7777777778,-323.0,NE190H,130,0,90,
55PP,unnamed,441756.4,548794.36,-338.44,NE190H,170,4.5,10,
55PQ,unnamed,441248.37209302327,548532.9302325582,-318.93023255813955,NE190H,130,2.3,30,
5ZWX,unnamed,441161.23333333334,543145.4333333333,-269.2,NE260H,160,4.6,29,
55PK,unnamed,442221.3935483871,552347.7483870968,-521.8064516129032,NE190H,210,6.4,101,
55PL,unnamed,442242.4482758621,552342.1379310344,-523.2413793103449,NE190H,100,6.8,102,
55PM,unnamed,441188.4,547906.0,-303.4,NE190H,130,2.1,93,
5YSK,unnamed,440210.0326086957,538358.4782608695,-97.03260869565217,NE210H,110,1.2,34,
53ON,unnamed,444531.20588235295,542763.9117647059,-219.8235294117647,NE120H,250,0.9,67,
5ZWH,unnamed,445051.36842105264,541433.1684210526,-307.6421052631579,NE260H,90,0.9,53,
5ZWV,unnamed,440791.36363636365,543268.6363636364,-267.8181818181818,NE260H,160,5.7,5,
5YS6,unnamed,441175.29411764705,537064.1764705882,-63.411764705882355,NE210H,110,0.7,106,
5YS8,unnamed,440989.14285714284,537015.7142857143,-63.57142857142857,NE210H,110,3.9,113,
5YSF,unnamed,441404.8,538377.856,-100.344,NE210H,110,3,38,
5YSL,unnamed,440508.54744525545,538286.700729927,-96.27737226277372,NE210H,110,1,4,
5YS4,unnamed,441936.7083333333,537834.5416666666,-100.08333333333333,NE210H,110,6.7,51,
5YS5,unnamed,441951.24,537319.52,-73.32,NE210H,110,23.7,271,
5YS2,unnamed,441259.0,537983.0,-84.42857142857143,NE210H,110,0.9,30,
5YS7,unnamed,441489.28571428574,537132.4285714285,-63.42857142857143,NE210H,110,1.7,223,
3GRM,unnamed,431895.0,537625.0,-26.285714285714285,NE265H,90,0.4,231,
3O10,unnamed,431612.0543478261,538472.8586956522,-5.326086956521739,NE265H,70,1.3,195,
3R87,unnamed,436615.48333333334,535592.6916666667,-98.51666666666667,NE280H,109,2.3,58,
3R8G,unnamed,437864.4375,535690.09375,-124.0625,NE280H,109,1.2,20,
3O7S,unnamed,435099.97297297296,536566.5135135135,-66.5945945945946,NE265H,120,1.4,20,
3O80,unnamed,435907.54545454547,537453.6363636364,-113.45454545454545,NE265H,90,4.5,71,
3O8E,unnamed,435778.9285714286,537864.7857142857,-106.28571428571429,NE265H,80,2.2,27,
3GRM,unnamed,431887.5714285714,537621.7142857143,-24.857142857142858,NE265H,90,0.4,231,
3O6S,unnamed,432828.2,536973.0,-32.6,NE265H,90,1.8,53,
3O70,unnamed,434265.7826086957,536470.7173913043,-52.26086956521739,NE265H,80,1.4,20,
3O6E,unnamed,432152.5714285714,536781.8571428572,-32.142857142857146,NE265H,90,1.8,53,
3O80,unnamed,435921.23529411765,536887.4705882353,-92.11764705882354,NE265H,80,3,25,
3O4S,unnamed,432793.2727272727,537061.4545454546,-34.54545454545455,NE265H,100,1.6,354,
3O5E,unnamed,432735.649122807,536301.2631578947,-27.70175438596491,NE265H,80,1.8,53,
3O60,unnamed,433034.9655172414,536446.5172413794,-29.79310344827586,NE265H,100,1.8,53,
3O60,unnamed,433265.28571428574,536445.0,-36.04761904761905,NE265H,100,1.8,53,
3O2E,unnamed,433565.1395348837,538580.8992248062,-60.945736434108525,NE265H,70,0.6,63,
3O30,unnamed,432755.85714285716,538941.7142857143,-47.285714285714285,NE265H,80,1.7,347,
3O3E,unnamed,433724.7,537730.4333333333,-67.56666666666666,NE265H,100,1.2,37,
3O4E,unnamed,432614.1923076923,537314.8076923077,-37.65384615384615,NE265H,100,1.2,37,
55PC,unnamed,442747.35164835164,549361.065934066,-398.010989010989,NE190H,190,1.2,67,
55PD,unnamed,442162.1538461539,549348.6153846154,-357.3076923076923,NE190H,130,3.2,224,
55PE,unnamed,442758.8327137547,549859.1635687732,-562.5836431226766,NE190H,170,14.7,148,
3O3S,unnamed,433326.2727272727,537214.2727272727,-49.0,NE265H,100,1.2,37,
5ZX2,unnamed,444432.9819277108,544346.5662650602,-383.4457831325301,NE260H,178,1.3,104,
55PA,unnamed,443652.21186440677,549353.3728813559,-419.40677966101697,NE190H,120,2.3,172,
55PB,unnamed,443831.0,549126.64,-427.6,NE190H,100,1.8,125,
55PF,unnamed,442191.52173913043,549876.4782608695,-495.2608695652174,NE190H,170,11.7,142,
5066,unnamed,440838.71428571426,536980.7142857143,-53.0,NE210H,110,0,90,
5076,unnamed,440944.0,536977.6,-53.0,NE210H,110,0,90,
5YSN,unnamed,441705.6666666667,539712.0,-199.22222222222223,NE210H,150,3.1,309,
5YSP,unnamed,441435.13333333336,539918.3666666667,-200.33333333333334,NE210H,140,4.4,28,
539T,unnamed,444605.4,539044.5333333333,-190.93333333333334,NE210H,100,3.5,20,
539U,unnamed,444476.85714285716,539226.7142857143,-193.21428571428572,NE210H,100,1.3,24,
539W,unnamed,445542.2014388489,539540.4460431655,-249.59712230215828,NE210H,120,4.1,20,
539X,unnamed,445917.77777777775,539943.2222222222,-268.6666666666667,NE210H,120,2.1,49,
539O,unnamed,444107.5,539002.0,-185.0,NE210H,110,0.9,1,
539P,unnamed,444683.8125,539333.7708333334,-197.35416666666666,NE210H,100,1.8,30,
539Q,unnamed,445670.1666666667,539010.0,-210.5,NE210H,120,3.5,66,
539S,unnamed,445450.8057324841,539327.4585987261,-212.5764331210191,NE210H,120,3.6,67,
3R8E,unnamed,437370.7948717949,535813.0,-124.94871794871794,NE280H,124,0.9,52,
3R86,unnamed,436464.8076923077,535818.7307692308,-101.3076923076923,NE280H,109,2.9,51,
3R8F,unnamed,436948.7565217391,535464.1913043478,-101.55652173913043,NE280H,109,4.5,20,
539N,unnamed,444351.5,539059.5555555555,-187.05555555555554,NE210H,110,1,3,
3HMM,unnamed,432864.6712328767,549426.7123287672,-22.767123287671232,NE140H,107,1.1,88,
3HNM,unnamed,432459.76923076925,549914.2307692308,-16.846153846153847,NE140H,107,1.4,327,
3H0M,unnamed,432527.0,549763.875,-16.25,NE140H,107,1.1,111,
3H08,unnamed,432096.5,549507.25,-18.875,NE140H,107,5,290,
3HHF,unnamed,437294.26923076925,549327.5384615385,-149.6153846153846,NE120H,230,1.8,100,
3HN8,unnamed,432078.3333333333,549938.5,-21.666666666666668,NE140H,107,1.4,320,
3HQM,unnamed,432730.78571428574,549940.2857142857,-24.0,NE140H,107,2.1,3,
3HPM,unnamed,433348.4285714286,549859.5,-31.571428571428573,NE140H,102,0.6,87,
3HNI,unnamed,439006.19402985077,548512.6865671641,-182.80597014925374,NE120H,190,1.5,60,
3HG1,unnamed,436432.125,549098.6875,-111.875,NE120H,230,2.1,70,
3HGT,unnamed,437312.0714285714,549692.7142857143,-149.85714285714286,NE120H,225,2.1,84,
3HH1,unnamed,436921.6,549114.2,-136.73333333333332,NE120H,208,2.7,75,
3R9E,unnamed,438054.55,535743.75,-183.55,NE280H,130,50,89,
