QS	NUMB	REGNO	RT	GRID_REFER	EASTING	NORTHING	X	Y	CONFIDENTI	STRTHEIGHT	NAME	LENGTH	BGS_ID
NS99SE	146	NS99SE146	BJ	NS_97795_93050	297795	693050	297795	693050	N	79.5	SOLSGIRTH-PIPER_POOL_1/67_BORE	372	755924
NT46NE	73	NT46NE73	BJ	NT_45694_69019	345694	669019	345694	669019	N	72.54	SPILMERSFORD_BOREHOLE_(5)	933.91	700194
NT07SE	369	NT07SE369	BJ	NT_08926_73037	308926	673037	308926	673037	N	71	STEWARTFIELD_BORE_NO._3	189	975694
NS83NE	83	NS83NE83	BJ	NS_88173_35697	288173	635697	288173	635697	N	256	STONEYKNOWES	312	727945
NT29NE	69	NT29NE69	BJ	NT_28890_97221	328890	697221	328890	697221	N	51.18	THORNTON_BRIDGE_BORE	968	981551
NT29NE	68	NT29NE68	BJ	NT_29691_97500	329691	697500	329691	697500	N	48.78	THORNTON_FARM_BORE	1154	981550
NS99NW	190	NS99NW190	BJ	NS_92765_96525	292765	696525	292765	696525	N	19.98	TILLICOULTRY_BORE_1/78	513	791097
NS89NE	99	NS89NE99	BJ	NS_86008_95939	286008	695939	286008	695939	N	16.04	TULLIBODY_NO_1/78_BORE	328	774782
NT39NW	381	NT39NW381	BJ	NT_33421_98330	333421	698330	333421	698330	N	48.63	WELLSGREEN_NO_1/1979_BH	1498	859319
NO30SE	195	NO30SE195	BJ	NO_35101_00337	335101	700337	335101	700337	N	63.5	WINDYGATES	1305	851526
