x,T,,,,,,
1.59E-01,1.01E+01,,,,,,
1.60E-01,9.86E+00,,,,,,
1.61E-01,9.65E+00,,,,,,
1.62E-01,9.44E+00,,,,,,
1.63E-01,9.24E+00,,,,,,
1.64E-01,9.04E+00,,,,,,
1.65E-01,8.85E+00,,,,,,
1.66E-01,8.66E+00,,,,,,
1.67E-01,8.47E+00,,,,,,
1.68E-01,8.29E+00,,,,,,
1.69E-01,8.10E+00,,,,,,
1.70E-01,7.93E+00,,,,,,
1.71E-01,7.75E+00,,,,,,
1.72E-01,7.58E+00,,,,,,
1.73E-01,7.41E+00,,,,,,
1.74E-01,7.24E+00,,,,,,
1.75E-01,7.08E+00,,,,,,
1.76E-01,6.92E+00,,,,,,
1.77E-01,6.77E+00,,,,,,
1.78E-01,6.61E+00,,,,,,
1.79E-01,6.46E+00,,,,,,
1.80E-01,6.31E+00,,,,,,
1.81E-01,6.17E+00,,,,,,
1.82E-01,6.03E+00,,,,,,
1.83E-01,5.89E+00,,,,,,
1.84E-01,5.75E+00,,,,,,
1.85E-01,5.62E+00,,,,,,
1.86E-01,5.48E+00,,,,,,
1.87E-01,5.35E+00,,,,,,
1.88E-01,5.23E+00,,,,,,
1.89E-01,5.10E+00,,,,,,
1.90E-01,4.98E+00,,,,,,
1.91E-01,4.86E+00,,,,,,
1.92E-01,4.75E+00,,,,,,
1.93E-01,4.63E+00,,,,,,
1.94E-01,4.52E+00,,,,,,
1.95E-01,4.41E+00,,,,,,
1.96E-01,4.30E+00,,,,,,
1.97E-01,4.20E+00,,,,,,
1.98E-01,4.09E+00,,,,,,
1.99E-01,3.99E+00,,,,,,
2.00E-01,3.89E+00,,,,,,
2.01E-01,3.80E+00,,,,,,
2.02E-01,3.70E+00,,,,,,
2.03E-01,3.61E+00,,,,,,
2.04E-01,3.52E+00,,,,,,
2.05E-01,3.43E+00,,,,,,
2.06E-01,3.34E+00,,,,,,
2.07E-01,3.26E+00,,,,,,
2.08E-01,3.18E+00,,,,,,
2.09E-01,3.10E+00,,,,,,
2.10E-01,3.02E+00,,,,,,
2.11E-01,2.94E+00,,,,,,
2.12E-01,2.86E+00,,,,,,
2.13E-01,2.79E+00,,,,,,
2.14E-01,2.72E+00,,,,,,
2.15E-01,2.64E+00,,,,,,
2.16E-01,2.58E+00,,,,,,
2.17E-01,2.51E+00,,,,,,
2.18E-01,2.44E+00,,,,,,
2.19E-01,2.38E+00,,,,,,
2.20E-01,2.31E+00,,,,,,
2.21E-01,2.25E+00,,,,,,
2.22E-01,2.19E+00,,,,,,
2.23E-01,2.13E+00,,,,,,
2.24E-01,2.07E+00,,,,,,
2.25E-01,2.02E+00,,,,,,
2.26E-01,1.96E+00,,,,,,
2.27E-01,1.91E+00,,,,,,
2.28E-01,1.86E+00,,,,,,
2.29E-01,1.81E+00,,,,,,
2.30E-01,1.76E+00,,,,,,
2.31E-01,1.71E+00,,,,,,
2.32E-01,1.66E+00,,,,,,
2.33E-01,1.62E+00,,,,,,
2.34E-01,1.57E+00,,,,,,
2.35E-01,1.53E+00,,,,,,
2.36E-01,1.48E+00,,,,,,
2.37E-01,1.44E+00,,,,,,
2.38E-01,1.40E+00,,,,,,
2.39E-01,1.36E+00,,,,,,
2.40E-01,1.32E+00,,,,,,
2.41E-01,1.28E+00,,,,,,
2.42E-01,1.25E+00,,,,,,
2.43E-01,1.21E+00,,,,,,
2.44E-01,1.18E+00,,,,,,
2.45E-01,1.14E+00,,,,,,
2.46E-01,1.11E+00,,,,,,
2.47E-01,1.08E+00,,,,,,
2.48E-01,1.05E+00,,,,,,
2.49E-01,1.02E+00,,,,,,
2.50E-01,9.85E-01,,,,,,
2.51E-01,9.56E-01,,,,,,
2.52E-01,9.28E-01,,,,,,
2.53E-01,9.00E-01,,,,,,
2.54E-01,8.74E-01,,,,,,
2.55E-01,8.47E-01,,,,,,
2.56E-01,8.22E-01,,,,,,
2.57E-01,7.97E-01,,,,,,
2.58E-01,7.73E-01,,,,,,
2.59E-01,7.50E-01,,,,,,
2.60E-01,7.27E-01,,,,,,
2.61E-01,7.05E-01,,,,,,
2.62E-01,6.83E-01,,,,,,
2.63E-01,6.62E-01,,,,,,
2.64E-01,6.42E-01,,,,,,
2.65E-01,6.22E-01,,,,,,
2.66E-01,6.03E-01,,,,,,
2.67E-01,5.84E-01,,,,,,
2.68E-01,5.66E-01,,,,,,
2.69E-01,5.48E-01,,,,,,
2.70E-01,5.31E-01,,,,,,
2.71E-01,5.15E-01,,,,,,
2.72E-01,4.98E-01,,,,,,
2.73E-01,4.83E-01,,,,,,
2.74E-01,4.67E-01,,,,,,
2.75E-01,4.52E-01,,,,,,
2.76E-01,4.38E-01,,,,,,
2.77E-01,4.24E-01,,,,,,
2.78E-01,4.10E-01,,,,,,
2.79E-01,3.97E-01,,,,,,
2.80E-01,3.84E-01,,,,,,
2.81E-01,3.72E-01,,,,,,
2.82E-01,3.60E-01,,,,,,
2.83E-01,3.48E-01,,,,,,
2.84E-01,3.37E-01,,,,,,
2.85E-01,3.26E-01,,,,,,
2.86E-01,3.15E-01,,,,,,
2.87E-01,3.05E-01,,,,,,
2.88E-01,2.95E-01,,,,,,
2.89E-01,2.85E-01,,,,,,
2.90E-01,2.75E-01,,,,,,
2.91E-01,2.66E-01,,,,,,
2.92E-01,2.57E-01,,,,,,
2.93E-01,2.49E-01,,,,,,
2.94E-01,2.40E-01,,,,,,
2.95E-01,2.32E-01,,,,,,
2.96E-01,2.24E-01,,,,,,
2.97E-01,2.17E-01,,,,,,
2.98E-01,2.09E-01,,,,,,
2.99E-01,2.02E-01,,,,,,
3.00E-01,1.95E-01,,,,,,
3.01E-01,1.89E-01,,,,,,
3.02E-01,1.82E-01,,,,,,
3.03E-01,1.76E-01,,,,,,
3.04E-01,1.70E-01,,,,,,
3.05E-01,1.64E-01,,,,,,
3.06E-01,1.58E-01,,,,,,
3.07E-01,1.53E-01,,,,,,
3.08E-01,1.47E-01,,,,,,
3.09E-01,1.42E-01,,,,,,
3.10E-01,1.37E-01,,,,,,
3.11E-01,1.32E-01,,,,,,
3.12E-01,1.28E-01,,,,,,
3.13E-01,1.23E-01,,,,,,
3.14E-01,1.19E-01,,,,,,
3.15E-01,1.15E-01,,,,,,
