t,T
9.60E+01,7.12E-27
9.70E+01,1.47E-26
9.80E+01,3.00E-26
9.90E+01,6.01E-26
1.00E+02,1.19E-25
1.01E+02,2.30E-25
1.02E+02,4.40E-25
1.03E+02,8.29E-25
1.04E+02,1.54E-24
1.05E+02,2.83E-24
1.06E+02,5.11E-24
1.07E+02,9.14E-24
1.08E+02,1.61E-23
1.09E+02,2.81E-23
1.10E+02,4.83E-23
1.11E+02,8.23E-23
1.12E+02,1.39E-22
1.13E+02,2.31E-22
1.14E+02,3.80E-22
1.15E+02,6.20E-22
1.16E+02,1.00E-21
1.17E+02,1.60E-21
1.18E+02,2.54E-21
1.19E+02,3.99E-21
1.20E+02,6.20E-21
1.21E+02,9.57E-21
1.22E+02,1.46E-20
1.23E+02,2.22E-20
1.24E+02,3.35E-20
1.25E+02,5.00E-20
1.26E+02,7.42E-20
1.27E+02,1.09E-19
1.28E+02,1.60E-19
1.29E+02,2.32E-19
1.30E+02,3.34E-19
1.31E+02,4.79E-19
1.32E+02,6.82E-19
1.33E+02,9.65E-19
1.34E+02,1.36E-18
1.35E+02,1.90E-18
1.36E+02,2.64E-18
1.37E+02,3.65E-18
1.38E+02,5.02E-18
1.39E+02,6.86E-18
1.40E+02,9.33E-18
1.41E+02,1.26E-17
1.42E+02,1.70E-17
1.43E+02,2.28E-17
1.44E+02,3.04E-17
1.45E+02,4.04E-17
1.46E+02,5.34E-17
1.47E+02,7.03E-17
1.48E+02,9.22E-17
1.49E+02,1.20E-16
1.50E+02,1.56E-16
1.51E+02,2.03E-16
1.52E+02,2.61E-16
1.53E+02,3.36E-16
1.54E+02,4.30E-16
1.55E+02,5.48E-16
1.56E+02,6.97E-16
1.57E+02,8.83E-16
1.58E+02,1.11E-15
1.59E+02,1.40E-15
1.60E+02,1.76E-15
1.61E+02,2.20E-15
1.62E+02,2.74E-15
1.63E+02,3.40E-15
1.64E+02,4.21E-15
1.65E+02,5.20E-15
1.66E+02,6.40E-15
1.67E+02,7.86E-15
1.68E+02,9.63E-15
1.69E+02,1.18E-14
1.70E+02,1.43E-14
1.71E+02,1.74E-14
1.72E+02,2.11E-14
1.73E+02,2.55E-14
1.74E+02,3.07E-14
1.75E+02,3.69E-14
1.76E+02,4.43E-14
1.77E+02,5.31E-14
1.78E+02,6.34E-14
1.79E+02,7.56E-14
1.80E+02,8.99E-14
1.81E+02,1.07E-13
1.82E+02,1.26E-13
1.83E+02,1.49E-13
1.84E+02,1.76E-13
1.85E+02,2.07E-13
1.86E+02,2.43E-13
1.87E+02,2.85E-13
1.88E+02,3.34E-13
1.89E+02,3.90E-13
1.90E+02,4.55E-13
1.91E+02,5.30E-13
1.92E+02,6.15E-13
1.93E+02,7.14E-13
1.94E+02,8.26E-13
1.95E+02,9.55E-13
1.96E+02,1.10E-12
1.97E+02,1.27E-12
1.98E+02,1.46E-12
1.99E+02,1.68E-12
2.00E+02,1.93E-12
2.01E+02,2.20E-12
2.02E+02,2.52E-12
2.03E+02,2.88E-12
2.04E+02,3.28E-12
2.05E+02,3.74E-12
2.06E+02,4.25E-12
2.07E+02,4.82E-12
2.08E+02,5.47E-12
2.09E+02,6.19E-12
2.10E+02,7.00E-12
2.11E+02,7.91E-12
2.12E+02,8.92E-12
2.13E+02,1.01E-11
2.14E+02,1.13E-11
2.15E+02,1.27E-11
2.16E+02,1.43E-11
2.17E+02,1.60E-11
2.18E+02,1.79E-11
2.19E+02,2.00E-11
2.20E+02,2.24E-11
2.21E+02,2.50E-11
2.22E+02,2.79E-11
2.23E+02,3.11E-11
2.24E+02,3.46E-11
2.25E+02,3.84E-11
2.26E+02,4.26E-11
2.27E+02,4.73E-11
2.28E+02,5.24E-11
2.29E+02,5.80E-11
2.30E+02,6.42E-11
2.31E+02,7.09E-11
2.32E+02,7.83E-11
2.33E+02,8.63E-11
2.34E+02,9.51E-11
2.35E+02,1.05E-10
2.36E+02,1.15E-10
2.37E+02,1.27E-10
2.38E+02,1.39E-10
2.39E+02,1.52E-10
2.40E+02,1.67E-10
2.41E+02,1.83E-10
2.42E+02,2.00E-10
2.43E+02,2.19E-10
2.44E+02,2.39E-10
2.45E+02,2.61E-10
2.46E+02,2.85E-10
2.47E+02,3.11E-10
2.48E+02,3.38E-10
2.49E+02,3.68E-10
2.50E+02,4.00E-10
2.51E+02,4.35E-10
2.52E+02,4.73E-10
2.53E+02,5.13E-10
2.54E+02,5.56E-10
2.55E+02,6.03E-10
2.56E+02,6.53E-10
2.57E+02,7.06E-10
2.58E+02,7.64E-10
2.59E+02,8.26E-10
2.60E+02,8.92E-10
2.61E+02,9.63E-10
2.62E+02,1.04E-09
2.63E+02,1.12E-09
2.64E+02,1.21E-09
2.65E+02,1.30E-09
2.66E+02,1.40E-09
2.67E+02,1.50E-09
2.68E+02,1.62E-09
2.69E+02,1.74E-09
2.70E+02,1.86E-09
2.71E+02,2.00E-09
2.72E+02,2.14E-09
2.73E+02,2.30E-09
2.74E+02,2.46E-09
2.75E+02,2.64E-09
2.76E+02,2.82E-09
2.77E+02,3.02E-09
2.78E+02,3.22E-09
2.79E+02,3.44E-09
2.80E+02,3.68E-09
2.81E+02,3.92E-09
2.82E+02,4.19E-09
2.83E+02,4.46E-09
2.84E+02,4.76E-09
2.85E+02,5.07E-09
2.86E+02,5.40E-09
2.87E+02,5.74E-09
