t,T
2.28E+02,2.62E-06
2.29E+02,2.76E-06
2.30E+02,2.90E-06
2.31E+02,3.04E-06
2.32E+02,3.19E-06
2.33E+02,3.35E-06
2.34E+02,3.51E-06
2.35E+02,3.68E-06
2.36E+02,3.86E-06
2.37E+02,4.04E-06
2.38E+02,4.23E-06
2.39E+02,4.42E-06
2.40E+02,4.63E-06
2.41E+02,4.84E-06
2.42E+02,5.06E-06
2.43E+02,5.28E-06
2.44E+02,5.52E-06
2.45E+02,5.76E-06
2.46E+02,6.01E-06
2.47E+02,6.27E-06
2.48E+02,6.53E-06
2.49E+02,6.81E-06
2.50E+02,7.10E-06
2.51E+02,7.39E-06
2.52E+02,7.70E-06
2.53E+02,8.01E-06
2.54E+02,8.33E-06
2.55E+02,8.67E-06
2.56E+02,9.01E-06
2.57E+02,9.37E-06
2.58E+02,9.73E-06
2.59E+02,1.01E-05
2.60E+02,1.05E-05
2.61E+02,1.09E-05
2.62E+02,1.13E-05
2.63E+02,1.17E-05
2.64E+02,1.22E-05
2.65E+02,1.26E-05
2.66E+02,1.31E-05
2.67E+02,1.36E-05
2.68E+02,1.40E-05
2.69E+02,1.45E-05
2.70E+02,1.51E-05
2.71E+02,1.56E-05
2.72E+02,1.61E-05
2.73E+02,1.67E-05
2.74E+02,1.72E-05
2.75E+02,1.78E-05
2.76E+02,1.84E-05
2.77E+02,1.90E-05
2.78E+02,1.97E-05
2.79E+02,2.03E-05
2.80E+02,2.10E-05
2.81E+02,2.17E-05
2.82E+02,2.24E-05
2.83E+02,2.31E-05
2.84E+02,2.38E-05
2.85E+02,2.45E-05
2.86E+02,2.53E-05
2.87E+02,2.61E-05
2.88E+02,2.69E-05
2.89E+02,2.77E-05
2.90E+02,2.85E-05
2.91E+02,2.94E-05
2.92E+02,3.02E-05
2.93E+02,3.11E-05
2.94E+02,3.20E-05
2.95E+02,3.30E-05
2.96E+02,3.39E-05
2.97E+02,3.49E-05
2.98E+02,3.59E-05
2.99E+02,3.69E-05
3.00E+02,3.79E-05
3.01E+02,3.90E-05
3.02E+02,4.00E-05
3.03E+02,4.11E-05
3.04E+02,4.22E-05
3.05E+02,4.34E-05
3.06E+02,4.45E-05
3.07E+02,4.57E-05
3.08E+02,4.69E-05
3.09E+02,4.81E-05
3.10E+02,4.94E-05
3.11E+02,5.06E-05
3.12E+02,5.19E-05
3.13E+02,5.32E-05
3.14E+02,5.46E-05
3.15E+02,5.60E-05
3.16E+02,5.73E-05
3.17E+02,5.88E-05
3.18E+02,6.02E-05
3.19E+02,6.17E-05
3.20E+02,6.31E-05
3.21E+02,6.47E-05
3.22E+02,6.62E-05
