xc,Tc
2.28E-01,6.04E-02
2.29E-01,6.42E-02
2.30E-01,6.83E-02
2.31E-01,7.25E-02
2.32E-01,7.69E-02
2.33E-01,8.15E-02
2.34E-01,8.62E-02
2.35E-01,9.12E-02
2.36E-01,9.63E-02
2.37E-01,1.02E-01
2.38E-01,1.07E-01
2.39E-01,1.13E-01
2.40E-01,1.18E-01
2.41E-01,1.24E-01
2.42E-01,1.31E-01
2.43E-01,1.37E-01
2.44E-01,1.43E-01
2.45E-01,1.50E-01
2.46E-01,1.57E-01
2.47E-01,1.63E-01
2.48E-01,1.70E-01
2.49E-01,1.77E-01
2.50E-01,1.84E-01
2.51E-01,1.92E-01
2.52E-01,1.99E-01
2.53E-01,2.06E-01
2.54E-01,2.14E-01
2.55E-01,2.21E-01
2.56E-01,2.28E-01
2.57E-01,2.36E-01
2.58E-01,2.43E-01
2.59E-01,2.50E-01
2.60E-01,2.58E-01
2.61E-01,2.65E-01
2.62E-01,2.72E-01
2.63E-01,2.79E-01
2.64E-01,2.86E-01
2.65E-01,2.93E-01
2.66E-01,2.99E-01
2.67E-01,3.05E-01
2.68E-01,3.12E-01
2.69E-01,3.18E-01
2.70E-01,3.23E-01
2.71E-01,3.29E-01
2.72E-01,3.34E-01
2.73E-01,3.39E-01
2.74E-01,3.43E-01
2.75E-01,3.48E-01
2.76E-01,3.51E-01
2.77E-01,3.55E-01
2.78E-01,3.58E-01
2.79E-01,3.61E-01
2.80E-01,3.64E-01
2.81E-01,3.66E-01
2.82E-01,3.68E-01
2.83E-01,3.69E-01
2.84E-01,3.70E-01
2.85E-01,3.71E-01
2.86E-01,3.71E-01
2.87E-01,3.71E-01
2.88E-01,3.70E-01
2.89E-01,3.69E-01
2.90E-01,3.68E-01
2.91E-01,3.66E-01
2.92E-01,3.64E-01
2.93E-01,3.61E-01
2.94E-01,3.58E-01
2.95E-01,3.55E-01
2.96E-01,3.51E-01
2.97E-01,3.47E-01
2.98E-01,3.43E-01
2.99E-01,3.38E-01
3.00E-01,3.33E-01
3.01E-01,3.28E-01
3.02E-01,3.23E-01
3.03E-01,3.17E-01
3.04E-01,3.11E-01
3.05E-01,3.05E-01
3.06E-01,2.99E-01
3.07E-01,2.92E-01
3.08E-01,2.85E-01
3.09E-01,2.79E-01
3.10E-01,2.72E-01
3.11E-01,2.64E-01
3.12E-01,2.57E-01
3.13E-01,2.50E-01
3.14E-01,2.43E-01
3.15E-01,2.35E-01
3.16E-01,2.28E-01
3.17E-01,2.21E-01
3.18E-01,2.13E-01
3.19E-01,2.06E-01
3.20E-01,1.99E-01
3.21E-01,1.91E-01
3.22E-01,1.84E-01
3.23E-01,1.77E-01
3.24E-01,1.70E-01
3.25E-01,1.63E-01
3.26E-01,1.56E-01
3.27E-01,1.50E-01
3.28E-01,1.43E-01
3.29E-01,1.37E-01
3.30E-01,1.30E-01
3.31E-01,1.24E-01
3.32E-01,1.18E-01
3.33E-01,1.13E-01
3.34E-01,1.07E-01
3.35E-01,1.02E-01
3.36E-01,9.62E-02
3.37E-01,9.11E-02
3.38E-01,8.62E-02
3.39E-01,8.15E-02
3.40E-01,7.69E-02
3.41E-01,7.25E-02
3.42E-01,6.83E-02
3.43E-01,6.43E-02
3.44E-01,6.04E-02
3.45E-01,5.67E-02
3.46E-01,5.32E-02
3.47E-01,4.98E-02
3.48E-01,4.66E-02
3.49E-01,4.36E-02
3.50E-01,4.07E-02
3.51E-01,3.80E-02
3.52E-01,3.54E-02
3.53E-01,3.30E-02
3.54E-01,3.06E-02
3.55E-01,2.85E-02
3.56E-01,2.64E-02
3.57E-01,2.45E-02
3.58E-01,2.27E-02
3.59E-01,2.10E-02
3.60E-01,1.94E-02
3.61E-01,1.79E-02
3.62E-01,1.65E-02
3.63E-01,1.52E-02
3.64E-01,1.40E-02
3.65E-01,1.28E-02
3.66E-01,1.18E-02
3.67E-01,1.08E-02
3.68E-01,9.89E-03
3.69E-01,9.05E-03
3.70E-01,8.27E-03
3.71E-01,7.55E-03
3.72E-01,6.89E-03
3.73E-01,6.28E-03
3.74E-01,5.71E-03
3.75E-01,5.19E-03
3.76E-01,4.72E-03
3.77E-01,4.28E-03
3.78E-01,3.88E-03
3.79E-01,3.51E-03
3.80E-01,3.17E-03
3.81E-01,2.87E-03
3.82E-01,2.59E-03
3.83E-01,2.33E-03
3.84E-01,2.10E-03
3.85E-01,1.89E-03
3.86E-01,1.70E-03
3.87E-01,1.52E-03
3.88E-01,1.36E-03
3.89E-01,1.22E-03
3.90E-01,1.09E-03
3.91E-01,9.76E-04
3.92E-01,8.71E-04
3.93E-01,7.77E-04
3.94E-01,6.92E-04
3.95E-01,6.16E-04
3.96E-01,5.47E-04
3.97E-01,4.86E-04
3.98E-01,4.31E-04
3.99E-01,3.82E-04
4.00E-01,3.38E-04
4.01E-01,2.99E-04
4.02E-01,2.64E-04
4.03E-01,2.33E-04
4.04E-01,2.05E-04
4.05E-01,1.80E-04
4.06E-01,1.59E-04
4.07E-01,1.39E-04
4.08E-01,1.22E-04
4.09E-01,1.07E-04
4.10E-01,9.38E-05
4.11E-01,8.20E-05
4.12E-01,7.17E-05
4.13E-01,6.25E-05
4.14E-01,5.45E-05
4.15E-01,4.75E-05
4.16E-01,4.13E-05
4.17E-01,3.59E-05
4.18E-01,3.11E-05
4.19E-01,2.70E-05
4.20E-01,2.34E-05
4.21E-01,2.02E-05
4.22E-01,1.75E-05
4.23E-01,1.51E-05
4.24E-01,1.30E-05
4.25E-01,1.12E-05
4.26E-01,9.65E-06
4.27E-01,8.30E-06
4.28E-01,7.12E-06
4.29E-01,6.11E-06
4.30E-01,5.24E-06
4.31E-01,4.48E-06
4.32E-01,3.83E-06
4.33E-01,3.27E-06
4.34E-01,2.79E-06
4.35E-01,2.38E-06
4.36E-01,2.03E-06
4.37E-01,1.72E-06
4.38E-01,1.46E-06
4.39E-01,1.24E-06
4.40E-01,1.05E-06
4.41E-01,8.91E-07
4.42E-01,7.53E-07
4.43E-01,6.37E-07
4.44E-01,5.37E-07
4.45E-01,4.53E-07
4.46E-01,3.81E-07
4.47E-01,3.21E-07
4.48E-01,2.70E-07
4.49E-01,2.26E-07
4.50E-01,1.90E-07
4.51E-01,1.59E-07
4.52E-01,1.33E-07
4.53E-01,1.11E-07
4.54E-01,9.28E-08
4.55E-01,7.74E-08
4.56E-01,6.45E-08
4.57E-01,5.37E-08
4.58E-01,4.46E-08
4.59E-01,3.70E-08
4.60E-01,3.07E-08
4.61E-01,2.55E-08
4.62E-01,2.11E-08
4.63E-01,1.74E-08
4.64E-01,1.44E-08
4.65E-01,1.19E-08
4.66E-01,9.79E-09
4.67E-01,8.06E-09
4.68E-01,6.63E-09
4.69E-01,5.44E-09
4.70E-01,4.47E-09
4.71E-01,3.66E-09
4.72E-01,3.00E-09
4.73E-01,2.45E-09
4.74E-01,2.00E-09
4.75E-01,1.64E-09
4.76E-01,1.33E-09
4.77E-01,1.09E-09
4.78E-01,8.83E-10
4.79E-01,7.18E-10
4.80E-01,5.83E-10
4.81E-01,4.72E-10
4.82E-01,3.83E-10
4.83E-01,3.10E-10
4.84E-01,2.50E-10
4.85E-01,2.02E-10
4.86E-01,1.63E-10
4.87E-01,1.31E-10
4.88E-01,1.06E-10
4.89E-01,8.49E-11
4.90E-01,6.82E-11
4.91E-01,5.47E-11
4.92E-01,4.38E-11
4.93E-01,3.51E-11
4.94E-01,2.80E-11
4.95E-01,2.24E-11
4.96E-01,1.79E-11
4.97E-01,1.42E-11
4.98E-01,1.13E-11
4.99E-01,9.02E-12
5.00E-01,7.16E-12
5.01E-01,5.68E-12
5.02E-01,4.50E-12
5.03E-01,3.57E-12
5.04E-01,2.82E-12
5.05E-01,2.23E-12
5.06E-01,1.76E-12
5.07E-01,1.39E-12
5.08E-01,1.09E-12
5.09E-01,8.59E-13
5.10E-01,6.75E-13
5.11E-01,5.30E-13
5.12E-01,4.15E-13
5.13E-01,3.25E-13
5.14E-01,2.54E-13
5.15E-01,1.99E-13
5.16E-01,1.55E-13
5.17E-01,1.21E-13
5.18E-01,9.43E-14
5.19E-01,7.34E-14
5.20E-01,5.70E-14
5.21E-01,4.43E-14
5.22E-01,3.43E-14
