summary,Climate Hydrology Ecology Support System subset,
originalResource,{"url":"https://eip.ceh.ac.uk/apps/chess/","title":"EIP | CHESS"},
metadataURL,https://catalogue.ceh.ac.uk/documents/80887755-1426-4dab-a4a6-250919d5020c,https://catalogue.ceh.ac.uk/documents/d329f4d6-95ba-4134-b77a-a377e0755653,
termsAndConditions,Licensing conditions apply,CHESS Met https://catalogue.ceh.ac.uk/documents/80887755-1426-4dab-a4a6-250919d5020c,CHESS PET https://catalogue.ceh.ac.uk/documents/d329f4d6-95ba-4134-b77a-a377e0755653,
credits,CEH, Terms and conditions apply,
location,{"type":"point","x":241843.56108712236,"y":666182.5804098262,"spatialReference":{"wkid":27700}},
DATES,Near-Surface Air Temperature (K)
2008-06-30,286.95847
2008-07-01,288.68726
2008-07-02,287.9741
2008-07-03,287.38757
2008-07-04,288.22382
2008-07-05,287.5914
2008-07-06,287.3915
2008-07-07,286.34915
2008-07-08,286.7003
2008-07-09,287.5161
2008-07-10,286.3497
2008-07-11,285.7731
2008-07-12,285.50534
2008-07-13,286.87338
2008-07-14,289.22284
2008-07-15,288.42932
2008-07-16,286.47186
2008-07-17,286.71475
2008-07-18,286.78226
2008-07-19,286.2464
2008-07-20,285.44464
2008-07-21,287.08044
2008-07-22,289.76273
2008-07-23,290.70618
2008-07-24,292.07687
2008-07-25,291.5225
2008-07-26,290.18933
2008-07-27,289.68802
2008-07-28,291.81262
2008-07-29,291.03937
2008-07-30,290.37558
2008-07-31,291.749
2008-08-01,289.02274
2008-08-02,288.30386
2008-08-03,287.52213
2008-08-04,287.97513
2008-08-05,287.52417
2008-08-06,287.15466
2008-08-07,286.82617
2008-08-08,286.45734
2008-08-09,286.99872
2008-08-10,288.08798
2008-08-11,287.8991
2008-08-12,287.43317
2008-08-13,287.69946
2008-08-14,287.02005
2008-08-15,287.20697
2008-08-16,287.9089
2008-08-17,288.4851
2008-08-18,287.77097
2008-08-19,288.5006
2008-08-20,287.7521
2008-08-21,286.81186
2008-08-22,286.134
2008-08-23,286.0122
2008-08-24,288.45877
2008-08-25,288.14194
2008-08-26,287.07852
2008-08-27,288.70596
2008-08-28,289.36398
2008-08-29,289.90717
2008-08-30,290.65643
2008-08-31,287.89285
2008-09-01,285.4391
2008-09-02,284.5075
2008-09-03,283.99722
2008-09-04,283.7332
2008-09-05,283.9112
2008-09-06,286.16614
2008-09-07,285.65564
2008-09-08,285.92264
2008-09-09,286.17773
2008-09-10,286.77264
2008-09-11,288.42413
2008-09-12,287.03607
2008-09-13,287.2896
2008-09-14,286.8757
2008-09-15,285.7474
2008-09-16,285.2506
2008-09-17,285.46536
2008-09-18,285.81735
2008-09-19,286.8615
2008-09-20,287.97653
2008-09-21,286.71628
2008-09-22,283.80194
2008-09-23,282.91885
2008-09-24,285.2771
2008-09-25,285.453
2008-09-26,286.14847
2008-09-27,285.58286
2008-09-28,282.10715
2008-09-29,284.1152
2008-09-30,283.25873
2008-10-01,281.96722
