summary,Climate Hydrology Ecology Support System subset,
originalResource,{"url":"https://eip.ceh.ac.uk/apps/chess/","title":"EIP | CHESS"},
metadataURL,https://catalogue.ceh.ac.uk/documents/80887755-1426-4dab-a4a6-250919d5020c,https://catalogue.ceh.ac.uk/documents/d329f4d6-95ba-4134-b77a-a377e0755653,
termsAndConditions,Licensing conditions apply,CHESS Met https://catalogue.ceh.ac.uk/documents/80887755-1426-4dab-a4a6-250919d5020c,CHESS PET https://catalogue.ceh.ac.uk/documents/d329f4d6-95ba-4134-b77a-a377e0755653,
credits,CEH, Terms and conditions apply,
location,{"type":"point","x":241843.56108712236,"y":666182.5804098262,"spatialReference":{"wkid":27700}},
DATES,Surface Downwelling Longwave Radiation (W m-2)
2005-02-20,272.62598
2005-02-21,265.71954
2005-02-22,282.6998
2005-02-23,271.3388
2005-02-24,289.8622
2005-02-25,295.8379
2005-02-26,293.08994
2005-02-27,295.1433
2005-02-28,307.55502
2005-03-01,291.5947
2005-03-02,260.39053
2005-03-03,280.18326
2005-03-04,289.07077
2005-03-05,282.48944
2005-03-06,265.33688
2005-03-07,305.7341
2005-03-08,276.47638
2005-03-09,302.75052
2005-03-10,309.2861
2005-03-11,300.1714
2005-03-12,270.57434
2005-03-13,266.1821
2005-03-14,298.93768
2005-03-15,332.54147
2005-03-16,340.84637
2005-03-17,339.60263
2005-03-18,347.06934
2005-03-19,311.59357
2005-03-20,312.64835
2005-03-21,342.42935
2005-03-22,346.34866
2005-03-23,322.1664
2005-03-24,330.71207
2005-03-25,322.34265
2005-03-26,328.9047
2005-03-27,331.22775
2005-03-28,326.26617
2005-03-29,323.10822
2005-03-30,329.5491
2005-03-31,312.79712
2005-04-01,339.08044
2005-04-02,313.14594
2005-04-03,327.57544
2005-04-04,288.41672
2005-04-05,291.8291
2005-04-06,300.82657
2005-04-07,296.37177
2005-04-08,261.4811
2005-04-09,323.9473
2005-04-10,328.59348
2005-04-11,326.6812
2005-04-12,285.99832
2005-04-13,300.64096
2005-04-14,317.1322
2005-04-15,309.9981
2005-04-16,315.02145
2005-04-17,323.43896
2005-04-18,332.19757
2005-04-19,293.48917
2005-04-20,301.5995
2005-04-21,287.4209
2005-04-22,297.65875
2005-04-23,275.82642
2005-04-24,270.4955
2005-04-25,278.88986
2005-04-26,322.23093
2005-04-27,308.83664
2005-04-28,331.8251
2005-04-29,299.43686
2005-04-30,327.7624
2005-05-01,343.81088
2005-05-02,337.15704
