Timestamp,Value
Jan 2010,35.4
Feb 2010,68.4
Mar 2010,108.4
Apr 2010,61
May 2010,29.4
Jun 2010,22.6
Jul 2010,130
Aug 2010,50
Sep 2010,114.4
Oct 2010,118.4
Nov 2010,104.8
Dec 2010,16.4
Jan 2011,83.6
Feb 2011,118
Mar 2011,62.6
Apr 2011,44.8
May 2011,97
Jun 2011,71.8
Jul 2011,60.8
Aug 2011,81.6
Sep 2011,149
Oct 2011,246
Nov 2011,128.2
Dec 2011,185.8
Jan 2012,108.4
Feb 2012,62.8
Mar 2012,36.4
Apr 2012,44.6
May 2012,44.6
Jun 2012,118.4
Jul 2012,111
Aug 2012,77.4
Sep 2012,140.8
Oct 2012,151
Nov 2012,117
Dec 2012,146.2
Jan 2013,119.2
Feb 2013,53.2
Mar 2013,50
Apr 2013,61.8
May 2013,100.8
Jun 2013,66.4
Jul 2013,79.8
Aug 2013,52.2
Sep 2013,76.6
Oct 2013,123.2
Nov 2013,65.2
Dec 2013,127.6
Jan 2014,140.8
Feb 2014,145.4
Mar 2014,91.2
Apr 2014,50.6
May 2014,75
Jun 2014,33.6
Jul 2014,75.4
Aug 2014,92.4
Sep 2014,10.2
Oct 2014,141.2
Nov 2014,90.6
Dec 2014,237
Jan 2015,155
Feb 2015,75.4
Mar 2015,71.6
Apr 2015,21.8
May 2015,52.8
Jun 2015,55.8
Jul 2015,75.4
Aug 2015,80
Sep 2015,26.8
Oct 2015,52.4
Nov 2015,228.4
Dec 2015,158
Jan 2016,115.8
Feb 2016,118
Mar 2016,43.6
Apr 2016,65.8
May 2016,47.8
Jun 2016,30.2
Jul 2016,83
Aug 2016,51
Sep 2016,86
Oct 2016,29.8
Nov 2016,75.8
Dec 2016,60.6
Jan 2017,62
Feb 2017,93
Mar 2017,83.4
Apr 2017,14.8
May 2017,34.6
Jun 2017,109.2
Jul 2017,81.8
Aug 2017,76
Sep 2017,78.6
Oct 2017,100
Nov 2017,92.8
Dec 2017,87.6
Jan 2018,135.6
Feb 2018,49.4
Mar 2018,41.8
Apr 2018,71.2
May 2018,36.4
Jun 2018,56.2
Jul 2018,52.8
Aug 2018,99.4
Sep 2018,67.6
Oct 2018,115.4
Nov 2018,145.4
Dec 2018,95.6
Jan 2019,58
Feb 2019,67.4
Mar 2019,140.6
Apr 2019,38.6
May 2019,61.4
Jun 2019,51.2
Jul 2019,115.4
Aug 2019,150.2
Sep 2019,127.6
Oct 2019,133.4
Nov 2019,59.8
Dec 2019,40.4
