Timestamp,Value
Nov 2010,3
Dec 2010,40.6
Jan 2011,125
Feb 2011,230.4
Mar 2011,97
Apr 2011,54.2
May 2011,170
Jun 2011,84.6
Jul 2011,64.8
Aug 2011,165.8
Sep 2011,128.8
Oct 2011,236.6
Nov 2011,168.2
Dec 2011,160.2
Jan 2012,136.6
Feb 2012,84
Mar 2012,44.8
Apr 2012,73
May 2012,46.6
Jun 2012,130.4
Jul 2012,90.4
Aug 2012,128.4
Sep 2012,74.8
Oct 2012,127.2
Nov 2012,140.6
Dec 2012,257
Jan 2013,148.2
Feb 2013,75.8
Mar 2013,50
Apr 2013,89.8
May 2013,95
Jun 2013,66.4
Jul 2013,105.4
Aug 2013,53.4
Sep 2013,92
Oct 2013,183.8
Nov 2013,88.8
Dec 2013,166.6
Jan 2014,206
Feb 2014,219.2
Mar 2014,126.4
Apr 2014,74.2
May 2014,132.8
Jun 2014,41
Jul 2014,89.4
Aug 2014,88
Sep 2014,17.2
Oct 2014,176.6
Nov 2014,100
Dec 2014,172.2
Jan 2015,193.8
Feb 2015,101.4
Mar 2015,144.2
Apr 2015,45
May 2015,153.8
Jun 2015,81
Jul 2015,122.6
Aug 2015,106.8
Sep 2015,7.8
Oct 2015,108.8
Nov 2015,226.2
Dec 2015,201.8
Jan 2016,194.8
Feb 2016,145.4
Mar 2016,87
Apr 2016,90.4
May 2016,82.4
Jun 2016,37.4
Jul 2016,80.6
Aug 2016,92.4
Sep 2016,110
Oct 2016,33.8
Nov 2016,121.4
Dec 2016,36.6
Jan 2017,120.8
Feb 2017,163
Mar 2017,120.8
Apr 2017,25.8
May 2017,44.6
Jun 2017,112.8
Jul 2017,97.8
Aug 2017,134.2
Sep 2017,139
Oct 2017,156.4
Nov 2017,109.8
Dec 2017,103.2
Jan 2018,172
Feb 2018,76.8
Mar 2018,109.4
Apr 2018,76.4
May 2018,33.4
Jun 2018,41
Jul 2018,66.4
Aug 2018,110.8
Sep 2018,85
Oct 2018,88.2
Nov 2018,140.2
Dec 2018,120.8
Jan 2019,70
Feb 2019,74.6
Mar 2019,148.8
Apr 2019,45
May 2019,64
Jun 2019,89
Jul 2019,143.2
Aug 2019,171.2
Sep 2019,125.6
Oct 2019,143.4
Nov 2019,84.6
Dec 2019,51.2
