Timestamp,Value
Jan 2010,60.4
Feb 2010,52
Mar 2010,50
Apr 2010,86
May 2010,23.4
Jun 2010,38
Jul 2010,150.2
Aug 2010,75.2
Sep 2010,124.8
Oct 2010,124
Nov 2010,125.4
Dec 2010,38.6
Jan 2011,72.8
Feb 2011,195.4
Mar 2011,100
Apr 2011,40.6
May 2011,122.4
Jun 2011,113.8
Jul 2011,67.8
Aug 2011,125.8
Sep 2011,118.4
Oct 2011,141.8
Nov 2011,174.6
Dec 2011,213.6
Jan 2012,111.8
Feb 2012,35
Mar 2012,30
Apr 2012,79.8
May 2012,70.2
Jun 2012,115.8
Jul 2012,158.2
Aug 2012,144.4
Sep 2012,94.2
Oct 2012,126
Nov 2012,126.6
Dec 2012,205.2
Jan 2013,103.6
Feb 2013,36.2
Mar 2013,20
Apr 2013,73.8
May 2013,83
Jun 2013,11.2
Jul 2013,0
Aug 2013,0.6
Sep 2013,67.4
Oct 2013,202.8
Nov 2013,80.6
Dec 2013,296.2
Jan 2014,217.8
Feb 2014,182
Mar 2014,128.8
Apr 2014,47.4
May 2014,32.6
Jun 2014,54.2
Jul 2014,32.4
Aug 2014,82.8
Sep 2014,11.2
Oct 2014,138.6
Nov 2014,91.8
Dec 2014,135.6
Jan 2015,211.2
Feb 2015,117.8
Mar 2015,133
Apr 2015,56.6
May 2015,111
Jun 2015,73
Jul 2015,145
Aug 2015,73.8
Sep 2015,29.2
Oct 2015,70.4
Nov 2015,240.4
Dec 2015,319.6
Jan 2016,198.4
Feb 2016,148
Mar 2016,60.2
Apr 2016,71.4
May 2016,62.2
Jun 2016,42
Jul 2016,88
Aug 2016,52.4
Sep 2016,106
Oct 2016,48.4
Nov 2016,49.8
Dec 2016,37
Jan 2017,26.8
Feb 2017,116.4
Mar 2017,87
Apr 2017,8
May 2017,40.6
Jun 2017,92.8
Jul 2017,63.4
Aug 2017,91.6
Sep 2017,69.4
Oct 2017,84.8
Nov 2017,61.8
Dec 2017,87.8
Jan 2018,184
Feb 2018,43.8
Mar 2018,68.6
Apr 2018,59.2
May 2018,21.6
Jun 2018,53.4
Jul 2018,34.8
Aug 2018,62.4
Sep 2018,69.8
Oct 2018,61.8
Nov 2018,164.4
Dec 2018,85.2
Jan 2019,27.2
Feb 2019,75.4
Mar 2019,113.4
Apr 2019,33.8
May 2019,56
Jun 2019,61.6
Jul 2019,70.6
Aug 2019,132.6
Sep 2019,56
Oct 2019,95.2
Nov 2019,65
Dec 2019,33.4
