Timestamp,Value
Jan 2010,42
Feb 2010,91.8
Mar 2010,56.4
Apr 2010,53.8
May 2010,39.6
Jun 2010,32
Jul 2010,143.2
Aug 2010,53.4
Sep 2010,77.4
Oct 2010,13
Nov 2010,48.6
Dec 2010,29
Jan 2011,74.6
Feb 2011,138.2
Mar 2011,90.4
Apr 2011,28.2
May 2011,71.8
Jun 2011,79.2
Jul 2011,134
Aug 2011,126.4
Sep 2011,90.2
Oct 2011,108.4
Nov 2011,128.4
Dec 2011,124
Jan 2012,91
Feb 2012,26
Mar 2012,34.4
Apr 2012,103
May 2012,67.2
Jun 2012,132.6
Jul 2012,148.2
Aug 2012,120.8
Sep 2012,56.2
Oct 2012,116.6
Nov 2012,88.8
Dec 2012,155.6
Jan 2013,123.2
Feb 2013,38.6
Mar 2013,48.2
Apr 2013,58.6
May 2013,42.4
Jun 2013,28.4
Jul 2013,71.2
Aug 2013,32.2
Sep 2013,50.2
Oct 2013,154
Nov 2013,39
Dec 2013,215.6
Jan 2014,135.8
Feb 2014,139.8
Mar 2014,91
Apr 2014,83.6
May 2014,57.2
Jun 2014,92.8
Jul 2014,55.4
Aug 2014,77
Sep 2014,11.4
Oct 2014,145.2
Nov 2014,92.6
Dec 2014,94.6
Jan 2015,180.4
Feb 2015,70
Mar 2015,97.6
Apr 2015,39.6
May 2015,108.8
Jun 2015,53.2
Jul 2015,151.4
Aug 2015,66.8
Sep 2015,17.2
Oct 2015,55
Nov 2015,194.6
Dec 2015,278.6
Jan 2016,209.2
Feb 2016,100.4
Mar 2016,29
Apr 2016,58.4
May 2016,42.8
Jun 2016,82.8
Jul 2016,79.8
Aug 2016,43.2
Sep 2016,80
Oct 2016,48.8
Nov 2016,40.4
Dec 2016,102.8
Jan 2017,35.6
Feb 2017,88.2
Mar 2017,71.2
Apr 2017,10.4
May 2017,44
Jun 2017,137.8
Jul 2017,67.4
Aug 2017,104.8
Sep 2017,72
Oct 2017,74
Nov 2017,46.8
Dec 2017,52.4
Jan 2018,106.8
Feb 2018,37
Mar 2018,111.8
Apr 2018,65.4
May 2018,21
Jun 2018,45.6
Jul 2018,45.8
Aug 2018,54.4
Sep 2018,70.2
Oct 2018,52.6
Nov 2018,151.6
Dec 2018,83.2
Jan 2019,13.6
Feb 2019,42.8
Mar 2019,104.8
Apr 2019,36
May 2019,80
Jun 2019,66.4
Jul 2019,90.6
Aug 2019,143.2
Sep 2019,81.2
Oct 2019,89.6
Nov 2019,88.2
Dec 2019,38.4
