Timestamp,Value
Jan 2010,28.2
Feb 2010,4.8
Apr 2010,14.6
May 2010,58.6
Jun 2010,44.6
Jul 2010,104.6
Aug 2010,48
Sep 2010,75.8
Oct 2010,52.8
Nov 2010,69.6
Dec 2010,57
Jan 2011,0
Feb 2011,0
Mar 2011,27.2
Apr 2011,18.8
May 2011,42.4
Jun 2011,82.4
Jul 2011,110.2
Aug 2011,164
Sep 2011,49
Oct 2011,93.4
Nov 2011,50
Dec 2011,72.6
Jan 2012,38.4
Feb 2012,11.4
Mar 2012,9.8
Apr 2012,99.2
May 2012,81.8
Jun 2012,78.6
Jul 2012,15.8
Aug 2012,83.2
Sep 2012,67
Oct 2012,108.2
Nov 2012,102.8
Dec 2012,196.2
Jan 2013,83.8
Feb 2013,28
Mar 2013,42.8
Apr 2013,19.8
May 2013,0.2
Jun 2013,24.4
Jul 2013,82.4
Aug 2013,19.4
Sep 2013,41.4
Oct 2013,104.8
Nov 2013,48
Dec 2013,183
Jan 2014,88.4
Feb 2014,59.6
Mar 2014,50.8
Apr 2014,57
May 2014,68.6
Jun 2014,67.4
Jul 2014,35.2
Aug 2014,90
Sep 2014,20.6
Oct 2014,92.4
Nov 2014,9.8
Dec 2014,51.4
Jan 2015,50.2
Feb 2015,27.2
Mar 2015,51.2
Apr 2015,28.8
May 2015,47.4
Jun 2015,0
Jul 2015,96.6
Aug 2015,8.8
Sep 2015,4
Oct 2015,23.2
Nov 2015,152
Dec 2015,121
Jan 2016,73.6
Feb 2016,0
Mar 2016,0
Apr 2016,43
May 2016,13.8
Jun 2016,12
Jul 2016,65.4
Aug 2016,44.2
Sep 2016,15.8
Oct 2016,45.6
Nov 2016,60.2
Dec 2016,74.8
Jan 2017,25.6
Feb 2017,62.4
Mar 2017,47.4
Apr 2017,4
May 2017,28.6
Jun 2017,180.8
Jul 2017,69.4
Aug 2017,0
Sep 2017,0
Oct 2017,0
Nov 2017,36.4
Dec 2017,47.4
Jan 2018,66.2
Feb 2018,29.8
Mar 2018,74.6
Apr 2018,66.6
May 2018,16.4
Jun 2018,50.4
Jul 2018,31.8
Aug 2018,69.2
Sep 2018,47.4
Oct 2018,29.8
Nov 2018,57.6
Dec 2018,31.2
Jan 2019,11.4
Feb 2019,17.2
Mar 2019,73
Apr 2019,16.2
May 2019,71.8
Jun 2019,77.2
Jul 2019,99.8
Aug 2019,137.4
Sep 2019,78.4
Oct 2019,105.8
Nov 2019,74.2
Dec 2019,15.8
