summary,Climate Hydrology Ecology Support System subset,
originalResource,{"url":"https://eip.ceh.ac.uk/apps/chess/","title":"EIP | CHESS"},
metadataURL,https://catalogue.ceh.ac.uk/documents/80887755-1426-4dab-a4a6-250919d5020c,https://catalogue.ceh.ac.uk/documents/d329f4d6-95ba-4134-b77a-a377e0755653,
termsAndConditions,Licensing conditions apply,CHESS Met https://catalogue.ceh.ac.uk/documents/80887755-1426-4dab-a4a6-250919d5020c,CHESS PET https://catalogue.ceh.ac.uk/documents/d329f4d6-95ba-4134-b77a-a377e0755653,
credits,CEH, Terms and conditions apply,
location,{"type":"point","x":334132.7787655574,"y":658017.530274143,"spatialReference":{"wkid":27700}},
DATES,Potential evapotranspiration with interception correction (mm/day)
2011-02-16,0.2945658
2011-02-17,0.15306164
2011-02-18,0.4995628
2011-02-19,0.49107766
2011-02-20,0.35621896
2011-02-21,0.3449045
2011-02-22,0.25869018
2011-02-23,0.21593441
2011-02-24,0.8541308
2011-02-25,1.0308983
2011-02-26,0.60775506
2011-02-27,0.61084497
2011-02-28,0.3822751
2011-03-01,0.40478915
2011-03-02,0.5156451
2011-03-03,0.05773987
2011-03-04,0.40585113
2011-03-05,0.61281466
2011-03-06,0.67359376
2011-03-07,0.68755174
2011-03-08,1.0695038
2011-03-09,1.1591609
2011-03-10,1.3782789
2011-03-11,1.0387602
2011-03-12,0.12427464
2011-03-13,0.5844524
2011-03-14,0.8111417
2011-03-15,0.12637083
2011-03-16,0.6628153
2011-03-17,0.75440955
2011-03-18,1.0050046
2011-03-19,0.9565189
2011-03-20,0.7837464
2011-03-21,1.4333608
2011-03-22,0.98572093
2011-03-23,1.0371432
2011-03-24,1.1522229
2011-03-25,0.84606165
2011-03-26,0.77061385
2011-03-27,1.055831
2011-03-28,0.9820886
2011-03-29,1.0316359
2011-03-30,0.73078966
2011-03-31,1.5229979
2011-04-01,1.4653211
2011-04-02,1.8861853
2011-04-03,1.8257432
2011-04-04,1.473536
2011-04-05,1.8376654
2011-04-06,1.9586176
2011-04-07,2.1950183
2011-04-08,2.014426
2011-04-09,2.057586
2011-04-10,2.3639808
2011-04-11,1.7835289
2011-04-12,2.4293673
2011-04-13,1.0840012
2011-04-14,1.2469435
