X,Y,Elevation,Distance
-350132.0648000017,7534457.302900001,136.22000000000116,0
-350082.71510000154,7534435.368900001,135.12720000000263,0.030359500000005937
-350033.3654999994,7534413.434699997,134.49709999999322,0.060718900000007125
-349984.01579999923,7534391.5009,133.52580000000307,0.09107829999999375
-349934.6662000008,7534369.566799998,133.02180000000226,0.1214377999999997
-349885.31650000065,7534347.633100003,132.96929999999702,0.15179720000000088
-349835.9668999985,7534325.6994,132.58340000000317,0.18215660000000208
-349786.61719999834,7534303.765600003,132.25019999999495,0.21251609999999346
-349737.2675999999,7534281.832000002,132.46689999999944,0.24287549999999464
-349687.91789999976,7534259.898500003,133.18020000000251,0.27323500000000056
-349638.5683000013,7534237.9648,134.1368999999977,0.30359440000000176
-349589.2186000012,7534216.031499997,134.2725999999966,0.33395380000000296
-349539.868999999,7534194.097900003,133.55999999999767,0.36431320000000416
-349490.5192999989,7534172.1647000015,131.76870000000053,0.39467269999999554
-349441.16970000043,7534150.2315,129.89359999999578,0.4250320999999967
-349391.8198999986,7534128.298199996,126.6021999999939,0.45539160000000267
-349342.47030000016,7534106.365099996,124.46110000000044,0.4857510000000038
-349293.1206,7534084.431900002,123.75419999999576,0.5161104999999952
-349243.7710000016,7534062.498899996,121.7783999999956,0.5464698999999964
-349194.42130000144,7534040.566100001,110.49199999999837,0.5768292999999975
-349145.0716999993,7534018.633000001,108.01450000000477,0.6071886999999988
-349095.72199999913,7533996.700300001,99.14690000000701,0.6375482000000047
-349046.3724000007,7533974.7676,90.98189999999886,0.6679076000000059
-348997.02270000055,7533952.8347999975,88.66079999999783,0.6982670999999972
-348947.6730999984,7533930.9021999985,85.80580000000191,0.7286264999999985
-348898.32339999824,7533908.969499998,77.86169999999401,0.7589858999999997
-348848.9737999998,7533887.0370000005,74.0225000000064,0.7893453000000009
-348799.62409999966,7533865.104599997,69.46689999999944,0.8197048000000068
-348750.2745000012,7533843.1721,68.01910000000498,0.8500641999999934
-348700.9248000011,7533821.2399,67.02850000000035,0.8804236999999994
-348651.5751999989,7533799.307499997,66.9661000000051,0.9107831000000005
-348602.2254999988,7533777.375299998,67.56750000000465,0.9411426000000065
-348552.87590000033,7533755.443300001,65.66160000000673,0.9715019999999931
-348503.5260999985,7533733.511100002,64.0853000000061,1.0018613999999943
-348454.17650000006,7533711.579099998,64.82009999999718,1.0322207999999955
-348404.8267999999,7533689.647200003,70.6426999999967,1.0625803000000013
-348355.4772000015,7533667.7151999995,78.54820000000472,1.0929397000000027
-348306.12750000134,7533645.783500001,78.2896000000037,1.123299199999994
-348256.7778999992,7533623.851599999,77.42179999999644,1.153658599999995
-348207.42819999903,7533601.9199,77.1872000000003,1.1840179999999964
-348158.0786000006,7533579.988399997,77.26080000000365,1.2143773999999976
-348108.72890000045,7533558.056599997,78.09309999999823,1.2447369000000034
-348059.3792999983,7533536.125200003,79.73709999999846,1.2750963000000046
-348010.02959999814,7533514.193599999,82.48089999999502,1.305455799999996
-347960.6799999997,7533492.2623,85.3573999999935,1.3358151999999972
-347911.33029999956,7533470.331,90.62930000000051,1.3661747000000033
-347861.9807000011,7533448.399599999,95.4606000000058,1.3965341000000044
-347812.631000001,7533426.468500003,98.35610000000451,1.4268935000000055
-347763.2813999988,7533404.5374,103.51230000000214,1.4572529000000067
-347713.9316000007,7533382.606200002,106.97629999999481,1.4876123999999981
-347664.5819000006,7533360.675300002,108.77360000000044,1.517971900000004
-347615.2322999984,7533338.744199999,110.84889999999723,1.5483313000000051
-347565.88259999826,7533316.8134,112.66190000000642,1.5786907000000065
-347516.5329999998,7533294.882600002,114.19759999999951,1.609050099999993
-347467.1832999997,7533272.951700002,115.28919999999925,1.6394095999999991
-347417.83370000124,7533251.0211,115.52430000000458,1.6697690000000002
-347368.4840000011,7533229.090300001,115.36380000000645,1.7001285000000061
-347319.13439999893,7533207.1598000005,114.37960000000021,1.7304878999999928
-347269.7846999988,7533185.2293,113.66569999999774,1.7608473999999987
-347220.43510000035,7533163.298799999,113.15519999999378,1.7912067999999998
-347171.0854000002,7533141.3684,112.39320000000589,1.821566200000001
-347121.73580000177,7533119.438199997,112.13670000000275,1.8519256000000024
-347072.38610000163,7533097.507799998,111.70620000000053,1.8822850999999936
-347023.03649999946,7533075.577600002,110.89999999999418,1.912644499999995
-346973.6867999993,7533053.647399999,110.90219999999681,1.9430040000000008
-346924.3372000009,7533031.7173999995,110.59290000000328,1.973363400000002
-346874.98739999905,7533009.7874,109.5,2.0037228000000033
-346825.6378000006,7532987.857299998,109.92239999999583,2.034082299999995
-346776.28810000047,7532965.927500002,109.99219999999332,2.0644416999999957
-346726.9384999983,7532943.997500002,110.52300000000105,2.094801099999997
-346677.58879999816,7532922.0678,110.58220000000438,2.1251606000000027
-346628.2391999997,7532900.1382,110.97580000000016,2.155520000000004
-346578.8894999996,7532878.208400004,111.43379999999888,2.1858794999999955
-346529.53990000113,7532856.2788999975,110.6414999999979,2.2162388999999964
-346480.190200001,7532834.3495000005,110.20609999999578,2.246598299999998
-346430.84059999883,7532812.4199,110.08599999999569,2.276957699999999
-346381.4908999987,7532790.490599997,110.43099999999685,2.307317200000005
-346332.14130000025,7532768.561099999,110.71910000000207,2.337676600000006
-346282.7916000001,7532746.631899998,111.11250000000291,2.3680360999999976
-346233.44200000166,7532724.702799998,109.76290000000153,2.3983954999999985
-346184.09230000153,7532702.773500003,109.3978999999963,2.4287550000000046
-346134.74269999936,7532680.844499998,108.5399999999936,2.459114400000006
-346085.3929999992,7532658.915299997,107.86560000000463,2.489473800000007
