Date,Silksworth
28-Aug-06,-67.43
28-Aug-06,-67.43
30-Aug-06,-67.45
30-Aug-06,-67.45
01-Sep-06,-67.45
01-Sep-06,-67.45
03-Sep-06,-67.44
03-Sep-06,-67.44
05-Sep-06,-67.48
05-Sep-06,-67.48
07-Sep-06,-67.50
07-Sep-06,-67.50
09-Sep-06,-67.52
09-Sep-06,-67.52
11-Sep-06,-67.51
11-Sep-06,-67.51
13-Sep-06,-67.48
13-Sep-06,-67.48
15-Sep-06,-67.50
15-Sep-06,-67.50
17-Sep-06,-67.51
17-Sep-06,-67.51
19-Sep-06,-67.50
19-Sep-06,-67.50
21-Sep-06,-67.49
21-Sep-06,-67.49
23-Sep-06,-67.51
23-Sep-06,-67.51
25-Sep-06,-67.51
25-Sep-06,-67.51
27-Sep-06,-67.52
27-Sep-06,-67.52
29-Sep-06,-67.51
29-Sep-06,-67.51
01-Oct-06,-67.50
01-Oct-06,-67.50
03-Oct-06,-67.50
03-Oct-06,-67.50
05-Oct-06,-67.52
05-Oct-06,-67.52
07-Oct-06,-67.52
07-Oct-06,-67.52
09-Oct-06,-67.56
09-Oct-06,-67.56
11-Oct-06,-67.56
11-Oct-06,-67.56
13-Oct-06,-67.60
13-Oct-06,-67.60
15-Oct-06,-67.62
15-Oct-06,-67.62
17-Oct-06,-67.58
17-Oct-06,-67.58
19-Oct-06,-67.53
19-Oct-06,-67.53
21-Oct-06,-67.51
21-Oct-06,-67.51
23-Oct-06,-67.52
23-Oct-06,-67.52
25-Oct-06,-67.54
25-Oct-06,-67.54
27-Oct-06,-67.57
27-Oct-06,-67.57
29-Oct-06,-67.60
29-Oct-06,-67.60
31-Oct-06,-67.58
31-Oct-06,-67.58
02-Nov-06,-67.65
02-Nov-06,-67.65
04-Nov-06,-67.65
04-Nov-06,-67.65
06-Nov-06,-67.64
06-Nov-06,-67.64
08-Nov-06,-67.63
08-Nov-06,-67.63
10-Nov-06,-67.65
10-Nov-06,-67.65
12-Nov-06,-67.62
12-Nov-06,-67.62
14-Nov-06,-67.60
14-Nov-06,-67.60
16-Nov-06,-67.58
16-Nov-06,-67.58
18-Nov-06,-67.61
18-Nov-06,-67.61
20-Nov-06,-67.60
20-Nov-06,-67.60
22-Nov-06,-67.58
22-Nov-06,-67.58
24-Nov-06,-67.56
24-Nov-06,-67.56
26-Nov-06,-67.62
26-Nov-06,-67.62
28-Nov-06,-67.64
28-Nov-06,-67.64
30-Nov-06,-67.67
30-Nov-06,-67.67
02-Dec-06,-67.64
02-Dec-06,-67.64
04-Dec-06,-67.58
04-Dec-06,-67.58
06-Dec-06,-67.59
06-Dec-06,-67.59
08-Dec-06,-67.58
08-Dec-06,-67.58
10-Dec-06,-67.66
10-Dec-06,-67.66
12-Dec-06,-67.66
12-Dec-06,-67.66
14-Dec-06,-67.67
14-Dec-06,-67.67
16-Dec-06,-67.69
16-Dec-06,-67.69
18-Dec-06,-67.73
18-Dec-06,-67.73
20-Dec-06,-67.76
20-Dec-06,-67.76
22-Dec-06,-67.78
22-Dec-06,-67.78
24-Dec-06,-67.78
24-Dec-06,-67.78
26-Dec-06,-67.77
26-Dec-06,-67.77
28-Dec-06,-67.73
28-Dec-06,-67.73
30-Dec-06,-67.67
30-Dec-06,-67.67
01-Jan-07,-67.69
01-Jan-07,-67.69
03-Jan-07,-67.72
03-Jan-07,-67.72
05-Jan-07,-67.72
05-Jan-07,-67.72
07-Jan-07,-67.69
07-Jan-07,-67.69
09-Jan-07,-67.67
09-Jan-07,-67.67
11-Jan-07,-67.70
11-Jan-07,-67.70
13-Jan-07,-67.72
13-Jan-07,-67.72
15-Jan-07,-67.75
15-Jan-07,-67.75
17-Jan-07,-67.71
17-Jan-07,-67.71
19-Jan-07,-67.69
21-Jan-07,-67.72
23-Jan-07,-67.77
25-Jan-07,-67.78
27-Jan-07,-67.79
29-Jan-07,-67.79
31-Jan-07,-67.78
02-Feb-07,-67.81
04-Feb-07,-67.81
06-Feb-07,-67.76
08-Feb-07,-67.72
10-Feb-07,-67.72
12-Feb-07,-67.67
14-Feb-07,-67.72
16-Feb-07,-67.73
18-Feb-07,-67.74
20-Feb-07,-67.71
22-Feb-07,-67.69
24-Feb-07,-67.67
26-Feb-07,-67.71
28-Feb-07,-67.64
02-Mar-07,-67.68
04-Mar-07,-67.70
06-Mar-07,-67.67
08-Mar-07,-67.72
10-Mar-07,-67.76
12-Mar-07,-67.74
14-Mar-07,-67.77
16-Mar-07,-67.74
18-Mar-07,-67.67
20-Mar-07,-67.70
22-Mar-07,-67.71
24-Mar-07,-67.72
26-Mar-07,-67.72
28-Mar-07,-67.70
30-Mar-07,-67.70
02-Apr-07,-67.74
04-Apr-07,-67.71
06-Apr-07,-67.71
08-Apr-07,-67.70
10-Apr-07,-67.69
12-Apr-07,-67.70
14-Apr-07,-67.70
16-Apr-07,-67.70
18-Apr-07,-67.69
20-Apr-07,-67.68
22-Apr-07,-67.66
24-Apr-07,-67.64
26-Apr-07,-67.66
28-Apr-07,-67.67
30-Apr-07,-67.65
02-May-07,-67.64
04-May-07,-67.63
06-May-07,-67.60
08-May-07,-67.58
10-May-07,-67.56
12-May-07,-67.54
14-May-07,-67.54
16-May-07,-67.54
18-May-07,-67.51
20-May-07,-67.53
22-May-07,-67.54
24-May-07,-67.52
26-May-07,-67.48
28-May-07,-67.48
30-May-07,-67.45
02-Jun-07,-67.50
04-Jun-07,-67.51
06-Jun-07,-67.49
08-Jun-07,-67.47
10-Jun-07,-67.46
12-Jun-07,-67.42
14-Jun-07,-67.39
16-Jun-07,-67.34
18-Jun-07,-67.35
20-Jun-07,-67.35
22-Jun-07,-67.34
24-Jun-07,-67.32
26-Jun-07,-67.31
28-Jun-07,-67.30
30-Jun-07,-67.30
02-Jul-07,-67.27
04-Jul-07,-67.26
06-Jul-07,-67.26
08-Jul-07,-67.29
10-Jul-07,-67.28
12-Jul-07,-67.28
14-Jul-07,-67.26
16-Jul-07,-67.26
18-Jul-07,-67.27
20-Jul-07,-67.29
22-Jul-07,-67.24
24-Jul-07,-67.24
26-Jul-07,-67.23
28-Jul-07,-67.25
30-Jul-07,-67.27
02-Aug-07,-67.27
04-Aug-07,-67.27
06-Aug-07,-67.26
08-Aug-07,-67.29
10-Aug-07,-67.29
12-Aug-07,-67.26
14-Aug-07,-67.22
16-Aug-07,-67.23
18-Aug-07,-67.25
20-Aug-07,-67.25
22-Aug-07,-67.29
24-Aug-07,-67.29
26-Aug-07,-67.30
28-Aug-07,-67.29
30-Aug-07,-67.28
01-Sep-07,-67.27
03-Sep-07,-67.29
05-Sep-07,-67.32
07-Sep-07,-67.32
09-Sep-07,-67.30
11-Sep-07,-67.31
13-Sep-07,-67.30
15-Sep-07,-67.30
17-Sep-07,-67.27
19-Sep-07,-67.28
21-Sep-07,-67.28
23-Sep-07,-67.27
25-Sep-07,-67.27
27-Sep-07,-67.31
29-Sep-07,-67.29
02-Oct-07,-67.31
04-Oct-07,-67.30
06-Oct-07,-67.32
08-Oct-07,-67.32
10-Oct-07,-67.32
12-Oct-07,-67.32
14-Oct-07,-67.31
16-Oct-07,-67.29
18-Oct-07,-67.35
20-Oct-07,-67.37
22-Oct-07,-67.34
24-Oct-07,-67.36
26-Oct-07,-67.34
28-Oct-07,-67.31
30-Oct-07,-67.34
01-Nov-07,-67.37
03-Nov-07,-67.38
05-Nov-07,-67.37
07-Nov-07,-67.37
09-Nov-07,-67.36
11-Nov-07,-67.36
13-Nov-07,-67.36
15-Nov-07,-67.39
17-Nov-07,-67.37
19-Nov-07,-67.33
21-Nov-07,-67.31
23-Nov-07,-67.36
25-Nov-07,-67.38
27-Nov-07,-67.39
29-Nov-07,-67.33
01-Dec-07,-67.30
03-Dec-07,-67.31
05-Dec-07,-67.33
07-Dec-07,-67.32
09-Dec-07,-67.29
11-Dec-07,-67.40
13-Dec-07,-67.44
15-Dec-07,-67.46
17-Dec-07,-67.48
19-Dec-07,-67.49
21-Dec-07,-67.46
23-Dec-07,-67.45
25-Dec-07,-67.43
27-Dec-07,-67.44
29-Dec-07,-67.42
31-Dec-07,-67.48
02-Jan-08,-67.45
04-Jan-08,-67.39
06-Jan-08,-67.39
08-Jan-08,-67.40
10-Jan-08,-67.39
12-Jan-08,-67.40
14-Jan-08,-67.38
16-Jan-08,-67.38
18-Jan-08,-67.41
20-Jan-08,-67.46
22-Jan-08,-67.45
24-Jan-08,-67.47
26-Jan-08,-67.48
28-Jan-08,-67.50
30-Jan-08,-67.47
01-Feb-08,-67.40
03-Feb-08,-67.42
05-Feb-08,-67.42
07-Feb-08,-67.51
09-Feb-08,-67.52
11-Feb-08,-67.54
13-Feb-08,-67.56
15-Feb-08,-67.57
17-Feb-08,-67.57
19-Feb-08,-67.54
21-Feb-08,-67.50
23-Feb-08,-67.51
25-Feb-08,-67.50
27-Feb-08,-67.51
29-Feb-08,-67.52
02-Mar-08,-67.53
04-Mar-08,-67.59
06-Mar-08,-67.58
08-Mar-08,-67.52
10-Mar-08,-67.48
12-Mar-08,-67.51
14-Mar-08,-67.57
16-Mar-08,-67.59
18-Mar-08,-67.62
20-Mar-08,-67.58
22-Mar-08,-67.56
24-Mar-08,-67.57
26-Mar-08,-67.58
28-Mar-08,-67.57
30-Mar-08,-67.58
01-Apr-08,-67.62
03-Apr-08,-67.66
05-Apr-08,-67.64
07-Apr-08,-67.59
09-Apr-08,-67.58
11-Apr-08,-67.57
13-Apr-08,-67.60
15-Apr-08,-67.65
17-Apr-08,-67.63
19-Apr-08,-67.61
21-Apr-08,-67.63
23-Apr-08,-67.65
25-Apr-08,-67.66
27-Apr-08,-67.65
29-Apr-08,-67.61
01-May-08,-67.62
03-May-08,-67.69
05-May-08,-67.71
07-May-08,-67.71
09-May-08,-67.70
11-May-08,-67.72
13-May-08,-67.73
15-May-08,-67.72
17-May-08,-67.72
19-May-08,-67.74
21-May-08,-67.75
23-May-08,-67.75
25-May-08,-67.76
27-May-08,-67.75
29-May-08,-67.74
31-May-08,-67.75
02-Jun-08,-67.73
04-Jun-08,-67.74
06-Jun-08,-67.75
08-Jun-08,-67.77
10-Jun-08,-67.78
12-Jun-08,-67.77
14-Jun-08,-67.76
16-Jun-08,-67.76
18-Jun-08,-67.74
20-Jun-08,-67.77
22-Jun-08,-67.75
24-Jun-08,-67.78
26-Jun-08,-67.77
28-Jun-08,-67.78
30-Jun-08,-67.79
02-Jul-08,-67.78
04-Jul-08,-67.79
06-Jul-08,-67.75
08-Jul-08,-67.75
10-Jul-08,-67.74
12-Jul-08,-67.74
14-Jul-08,-67.78
16-Jul-08,-67.79
18-Jul-08,-67.75
20-Jul-08,-67.77
22-Jul-08,-67.80
24-Jul-08,-67.79
26-Jul-08,-67.78
28-Jul-08,-67.79
30-Jul-08,-67.78
01-Aug-08,-67.74
03-Aug-08,-67.72
05-Aug-08,-67.73
07-Aug-08,-67.73
09-Aug-08,-67.70
11-Aug-08,-67.69
13-Aug-08,-67.65
15-Aug-08,-67.69
17-Aug-08,-67.70
19-Aug-08,-67.65
21-Aug-08,-67.65
23-Aug-08,-67.67
25-Aug-08,-67.67
27-Aug-08,-67.70
29-Aug-08,-67.70
31-Aug-08,-67.67
02-Sep-08,-67.64
04-Sep-08,-67.61
06-Sep-08,-67.61
08-Sep-08,-67.63
10-Sep-08,-67.61
12-Sep-08,-67.62
14-Sep-08,-67.62
16-Sep-08,-67.63
18-Sep-08,-67.63
20-Sep-08,-67.64
22-Sep-08,-67.65
24-Sep-08,-67.65
26-Sep-08,-67.67
28-Sep-08,-67.63
30-Sep-08,-67.55
02-Oct-08,-67.54
04-Oct-08,-67.55
06-Oct-08,-67.54
08-Oct-08,-67.55
10-Oct-08,-67.57
12-Oct-08,-67.57
14-Oct-08,-67.54
16-Oct-08,-67.52
18-Oct-08,-67.53
20-Oct-08,-67.48
22-Oct-08,-67.50
24-Oct-08,-67.50
26-Oct-08,-67.48
28-Oct-08,-67.47
30-Oct-08,-67.44
01-Nov-08,-67.46
03-Nov-08,-67.46
05-Nov-08,-67.45
07-Nov-08,-67.39
09-Nov-08,-67.35
11-Nov-08,-67.33
13-Nov-08,-67.38
15-Nov-08,-67.38
17-Nov-08,-67.37
19-Nov-08,-67.34
21-Nov-08,-67.32
23-Nov-08,-67.26
25-Nov-08,-67.29
27-Nov-08,-67.24
29-Nov-08,-67.20
01-Dec-08,-67.19
03-Dec-08,-67.15
05-Dec-08,-67.09
07-Dec-08,-67.17
09-Dec-08,-67.15
11-Dec-08,-67.12
13-Dec-08,-67.03
15-Dec-08,-67.07
17-Dec-08,-67.03
19-Dec-08,-67.03
21-Dec-08,-67.04
23-Dec-08,-67.05
25-Dec-08,-67.04
27-Dec-08,-67.02
29-Dec-08,-66.98
31-Dec-08,-66.95
01-Jan-09,-66.94
02-Jan-09,-66.92
03-Jan-09,-66.90
04-Jan-09,-66.87
05-Jan-09,-66.88
06-Jan-09,-66.86
07-Jan-09,-66.85
08-Jan-09,-66.84
09-Jan-09,-66.83
10-Jan-09,-66.78
11-Jan-09,-66.74
12-Jan-09,-66.73
13-Jan-09,-66.73
14-Jan-09,-66.72
15-Jan-09,-66.71
16-Jan-09,-66.67
17-Jan-09,-66.63
18-Jan-09,-66.60
19-Jan-09,-66.56
20-Jan-09,-66.59
21-Jan-09,-66.58
22-Jan-09,-66.53
23-Jan-09,-66.52
24-Jan-09,-66.52
25-Jan-09,-66.51
26-Jan-09,-66.55
27-Jan-09,-66.55
28-Jan-09,-66.55
29-Jan-09,-66.54
30-Jan-09,-66.52
31-Jan-09,-66.52
01-Feb-09,-66.51
02-Feb-09,-66.44
03-Feb-09,-66.42
04-Feb-09,-66.40
05-Feb-09,-66.38
06-Feb-09,-66.36
07-Feb-09,-66.37
08-Feb-09,-66.35
09-Feb-09,-66.33
10-Feb-09,-66.35
11-Feb-09,-66.37
12-Feb-09,-66.35
13-Feb-09,-66.36
14-Feb-09,-66.34
15-Feb-09,-66.32
16-Feb-09,-66.31
17-Feb-09,-66.30
18-Feb-09,-66.29
19-Feb-09,-66.28
20-Feb-09,-66.27
21-Feb-09,-66.25
22-Feb-09,-66.22
23-Feb-09,-66.21
24-Feb-09,-66.20
25-Feb-09,-66.17
26-Feb-09,-66.15
27-Feb-09,-66.13
28-Feb-09,-66.10
01-Mar-09,-66.08
02-Mar-09,-66.07
03-Mar-09,-65.99
04-Mar-09,-65.97
05-Mar-09,-65.99
06-Mar-09,-65.99
07-Mar-09,-65.96
08-Mar-09,-65.93
09-Mar-09,-65.95
10-Mar-09,-65.96
11-Mar-09,-65.94
12-Mar-09,-65.93
13-Mar-09,-65.90
14-Mar-09,-65.91
15-Mar-09,-65.93
16-Mar-09,-65.92
17-Mar-09,-65.92
18-Mar-09,-65.88
19-Mar-09,-65.87
20-Mar-09,-65.85
21-Mar-09,-65.83
22-Mar-09,-65.79
23-Mar-09,-65.75
24-Mar-09,-65.71
25-Mar-09,-65.68
26-Mar-09,-65.64
27-Mar-09,-65.62
28-Mar-09,-65.65
29-Mar-09,-65.65
30-Mar-09,-65.65
31-Mar-09,-65.65
01-Apr-09,-65.64
02-Apr-09,-65.60
03-Apr-09,-65.57
04-Apr-09,-65.57
05-Apr-09,-65.55
06-Apr-09,-65.50
07-Apr-09,-65.46
08-Apr-09,-65.46
09-Apr-09,-65.44
10-Apr-09,-65.43
11-Apr-09,-65.44
12-Apr-09,-65.43
13-Apr-09,-65.41
14-Apr-09,-65.40
15-Apr-09,-65.38
16-Apr-09,-65.36
17-Apr-09,-65.36
18-Apr-09,-65.35
19-Apr-09,-65.34
20-Apr-09,-65.33
21-Apr-09,-65.31
22-Apr-09,-65.29
23-Apr-09,-65.25
24-Apr-09,-65.22
25-Apr-09,-65.19
26-Apr-09,-65.15
27-Apr-09,-65.13
28-Apr-09,-65.12
29-Apr-09,-65.11
30-Apr-09,-65.12
01-May-09,-65.12
02-May-09,-65.11
03-May-09,-65.09
04-May-09,-65.05
05-May-09,-65.02
06-May-09,-64.99
07-May-09,-64.96
08-May-09,-64.97
09-May-09,-64.97
10-May-09,-64.98
11-May-09,-64.98
12-May-09,-64.95
13-May-09,-64.92
14-May-09,-64.87
15-May-09,-64.82
16-May-09,-64.81
17-May-09,-64.79
18-May-09,-64.79
19-May-09,-64.78
20-May-09,-64.77
21-May-09,-64.75
22-May-09,-64.73
23-May-09,-64.73
24-May-09,-64.72
25-May-09,-64.68
26-May-09,-64.67
27-May-09,-64.67
28-May-09,-64.68
29-May-09,-64.67
30-May-09,-64.65
31-May-09,-64.64
01-Jun-09,-64.62
02-Jun-09,-64.60
03-Jun-09,-64.57
04-Jun-09,-64.54
05-Jun-09,-64.49
06-Jun-09,-64.47
07-Jun-09,-64.45
08-Jun-09,-64.44
09-Jun-09,-64.42
10-Jun-09,-64.41
11-Jun-09,-64.41
12-Jun-09,-64.39
13-Jun-09,-64.37
14-Jun-09,-64.35
15-Jun-09,-64.33
16-Jun-09,-64.32
17-Jun-09,-64.27
18-Jun-09,-64.26
19-Jun-09,-64.26
20-Jun-09,-64.25
21-Jun-09,-64.25
22-Jun-09,-64.23
