Borehole_name,Region,Grid_reference,X,Y,LAT,LON,Depth,Temp,T_grad,Type,Source,ROCK,gradient,COND,HEAT_FLUX,HF_+_CLIMATE,Source
Cousland_No.5,East_Midland_Valley,NT_3774_6773,337740,667730,55.899,-2.997,585,17.8,15.0,BHT,BP,,,,,,
Cousland_No.6,East_Midland_Valley,NT_3835_6801,338350,668010,55.901,-2.988,582,23.9,25.6,BHT,BP,,,,,,
Pumpherston,East_Midland_Valley,NT_0733_6979,307330,669790,55.912,-3.484,1175,36.7,23.3,BHT,BP,,,,,,
Lochead,East_Midland_Valley,NT_3219_9659,332190,696590,56.157,-3.093,1167,30.4,17.7,BHT,NCB,,,,,,
Boreland,East_Midland_Valley,NT_3040_9420,330400,694200,56.135,-3.121,1007,29.8,20.1,EQM,AND,SDST_/_SHAL,20.2,1.96,40,54,ANDERSON_(1940)
Mackies_Mill,East_Midland_Valley,NT_3050_9795,330500,697950,56.169,-3.121,960,33.3,24.6,BHT,NCB,,,,,,
Thornton_Bridge,East_Midland_Valley,NT_2889_9722,328890,697220,56.162,-3.147,665,28.0,27.5,BHT,NCB,,,,,,
Thornton_Farm,East_Midland_Valley,NT_2969_9761,329690,697610,56.166,-3.134,1055,38.0,26.8,BHT,NCB,,,,,,
Eastfield,East_Midland_Valley,NT_3264_7297,332640,672970,55.945,-3.080,1028,26.0,15.6,BHT,NCB,,,,,,
Bilston_Glen_Colliery,East_Midland_Valley,NT_2996_6320,329960,663200,55.857,-3.120,670,15.0,8.7,MWT,NCB,,,,,,
Lady_Victoria_Colliery,East_Midland_Valley,NT_3294_6666,332940,666660,55.888,-3.074,768,18.0,10.8,MWT,NCB,,,,,,
Auchendinny,East_Midland_Valley,NT_2496_6125,324960,661250,55.839,-3.200,459,18.0,19.6,BHT,NCB,,,,,,
Wellsgreen,East_Midland_Valley,NT_3342_9833,333420,698330,56.173,-3.074,1485,42.3,22.0,LOG,NCB,,,,,,
Livingston,East_Midland_Valley,NT_018_691,301800,669100,55.905,-3.572,640,27.0,28.1,EQM,OX3,,,,66,,OXBURGH_AND_OT~ERS_(1980)
Stewart,East_Midland_Valley,NT_3633_6476,336330,664760,55.872,-3.019,942,37.9,34.9,BHT,LAS,,,,,,
Frances,East_Midland_Valley,NT_3214_9050,332140,690500,56.102,-3.093,841,29.0,23.8,VST,NCB,,,,,,
Monktonhall,East_Midland_Valley,NT_3242_7053,332420,670530,55.923,-3.083,866,25.5,18.2,VST,NCB,,,,,,
Seafield,East_Midland_Valley,NT_3150_8923,331500,689230,56.091,-3.102,789,29.0,25.3,VST,NCB,,,,,,
Castle_Douglas,Dumfries_&_Galloway,NX_717_550,271700,555000,54.873,-4.001,231,14.7,23.8,EQM,OX5,,,,61,,OXBURGH_AND_OT~ERS_(1980)
Archerbeck,Dumfries_&_Galloway,NY_4157_7815,341570,578150,55.094,-2.917,1365,61.2,37.9,LOG,BGS,,,,,,
Rookhope,,NY_9376_4278,393760,542780,54.780,-2.099,152,16.6,22.9,EQM,,,,,,,
Rookhope,,NY_9376_4278,393760,542780,54.780,-2.099,215,19.9,54.9,EQM,,,,,,,
Rookhope,,NY_9376_4278,393760,542780,54.780,-2.099,273,22.2,51.6,EQM,,,,,,,
Rookhope,,NY_9376_4278,393760,542780,54.780,-2.099,366,26.3,49.7,EQM,,,,,,,
Rookhope,,NY_9376_4278,393760,542780,54.780,-2.099,427,28.5,47.8,EQM,,GRAN,31.1,2.94,92,,Bott_et_al._(1972)_&_chadwick_(1956)
Rookhope,,NY_9376_4278,393760,542780,54.780,-2.099,488,30.4,15.7,EQM,,,,,,,
Rookhope,,NY_9376_4278,393760,542780,54.780,-2.099,549,32.4,44.3,EQM,,,,,,,
Rookhope,,NY_9376_4278,393760,542780,54.780,-2.099,610,34.4,43.1,EQM,,,,,,,
Rookhope,,NY_9376_4278,393760,542780,54.780,-2.099,671,36.4,42.2,EQM,,,,,,,
Rookhope,,NY_9376_4278,393760,542780,54.780,-2.099,731,38.3,41.3,EQM,,,,,,,
Rookhope,,NY_9376_4278,393760,542780,54.780,-2.099,792,40.3,40.7,EQM,,,,,,,
Rookhope,,NY_9376_4278,393760,542780,54.780,-2.099,806,40.7,40.4,EQM,,,,,,,
Ferneyrigg,,NY_9579_8366,395790,583660,55.147,-2.068,426,16.0,18.5,LOG,,,,,,,
Silloth,,NY_1230_5484,312300,554840,54.881,-3.368,727,28.0,24.8,BHT,,,,,,,
Silloth,,NY_1230_5484,312300,554840,54.881,-3.368,1335,68.0,43.4,BHT,,,,,,,
Rowanburnfoot,,NY_41037575,341030,575750,55.073,-2.925,876,47.0,42.5,BHT,,,,,,,
Woodhouselees,,NY_3911_7496,339110,574960,55.065,-2.955,1036,26.7,16.4,BHT,,,,,,,
Knottyholm,,NY_39507715,339500,577150,55.085,-2.949,519,29.7,38.0,BHT,,,,,,,
Broadmeadows,,NY_3766_7627,337660,576270,55.077,-2.978,778,27.8,23.2,BHT,,,,,,,
Staithes_No1,,NZ_76961852,476960,518520,54.556,-0.812,1173,37.4,23.7,BHT,,,,,,,
Woodland,,NZ_0910_2780,409100,527800,54.645,-1.861,197,16.1,39.6,EQM,,SDST,46.9,4.00,96,,Bott_et_al._(1972)_&_chadwick_(1956)
Woodland,,NZ_0910_2780,409100,527800,54.645,-1.861,283,20.1,41.7,EQM,,LMST,,2.82,,,
Woodland,,NZ_0910_2780,409100,527800,54.645,-1.861,368,24.8,44.8,EQM,,DOLR,,2.21,,,
Woodland,,NZ_0910_2780,409100,527800,54.645,-1.861,488,29.7,43.9,EQM,,SHAL,,1.40,,,
Throckley_No_1,,NZ_1456_6762,414560,567620,55.003,-1.774,591,24.7,25.9,LOG,,,,,,,
Newton_Mulgrave,,NZ_7739_1360,477390,513600,54.512,-0.806,1357,59.4,37.4,DST,,,,,,,
Newton_Mulgrave,,NZ_7739_1360,477390,513600,54.512,-0.806,1465,64.4,38.0,DST,,,,,,,
Newton_Mulgrave,,NZ_7739_1360,477390,513600,54.512,-0.806,1476,71.1,42.3,DST,,,,,,,
Ralph_Cross,,NZ_6759_0243,467590,502430,54.413,-0.960,940,37.8,32.1,BHT,,,,,,,
Ralph_Cross,,NZ_6759_0243,467590,502430,54.413,-0.960,1632,50.0,26.0,BHT,,,,,,,
Whitey_Bay,,NZ_3498_7485,434980,574850,55.067,-1.454,1052,32.2,21.1,BHT,,,,,,,
Seal_sands,,NZ_5382_38,453800,523800,54.607,-1.169,4170,104.0,22.6,BHT,,,,,,,
YP1,,NZ_9226_0878,492260,508780,54.466,-0.578,1351,41.0,23.3,BHT,,,,,,,
YP2,,NZ_9399_0637,493990,506370,54.444,-0.552,1264,42.2,26.3,BHT,,,,,,,
YP3,,NZ_9181_0669,491810,506690,54.447,-0.586,1360,45.0,26.3,BHT,,,,,,,
YP4,,NZ_9245_0801,492450,508010,54.459,-0.575,1387,42.2,23.6,BHT,,,,,,,
YP5,,NZ_8957_0685,489570,506850,54.449,-0.620,1311,39.0,22.8,BHT,,,,,,,
YP6,,NZ_8960_0894,489600,508940,54.468,-0.619,1341,42.2,24.2,BHT,,,,,,,
YP7,,NZ_9437_0737,494370,507370,54.453,-0.546,1317,44.0,26.4,BHT,,,,,,,
YP8,,NZ_9154_0792,491540,507920,54.458,-0.589,1413,45.0,25.1,BHT,,,,,,,
YP12,,NZ_9663_0130,496630,501300,54.398,-0.513,1372,4.0,23.0,BHT,,,,,,,
Eskdale_No_11,,NZ_8544_0424,485440,504240,54.426,-0.685,1481,71.1,42.4,BHT,,,,,,,
Eskdale_No_12,,NZ_8570_82,485700,508200,54.462,-0.679,1219,33.3,19.6,LOG,,,,,,,
Eskdale_No_12,,NZ_8570_82,485700,508200,54.462,-0.679,1219,43.3,27.8,LOG,,,,,,,
Eskdale_No_12,,NZ_8570_82,485700,508200,54.462,-0.679,1219,44.7,29.0,LOG,,,,,,,
Eskdale_No_12,,NZ_8570_82,485700,508200,54.462,-0.679,1695,43.3,20.0,LOG,,,,,,,
Eskdale_No_12,,NZ_8570_82,485700,508200,54.462,-0.679,1873,41.1,16.9,BHT,,,,,,,
Hapton,,NZ_3966_6562,439660,565620,54.984,-1.382,1322,44.8,26.4,DST,,,,,,,
Hapton,,NZ_3966_6562,439660,565620,54.984,-1.382,1768,68.9,33.4,LOG,,,,,,,
Robin_Hoods_Bay,,NZ_9478_0403,494780,504030,54.423,-0.541,1638,46.7,22.6,BHT,,,,,,,
Kirkleatham_1,,NZ_5879_2127,458790,521270,54.583,-1.092,191,16.1,32.5,EQM,,,21.1,2.29,48,,
Kirkleatham_1,,NZ_5879_2127,458790,521270,54.583,-1.092,286,18.4,29.7,EQM,,MARL,,,,,Bullard_and_niblett_(1951)
Kirkleatham_1,,NZ_5879_2127,458790,521270,54.583,-1.092,381,20.6,28.1,EQM,,SDST,,,,,
Kirkleatham_1,,NZ_5879_2127,458790,521270,54.583,-1.092,477,22.2,25.8,EQM,,SHAL,,,,,
Kirkleatham_1,,NZ_5879_2127,458790,521270,54.583,-1.092,572,24.3,25.2,EQM,,LMST,,,,,
Kirkleatham_1,,NZ_5879_2127,458790,521270,54.583,-1.092,668,27.0,25.6,EQM,,,,,,,
Kirkleatham_1,,NZ_5879_2127,458790,521270,54.583,-1.092,858,29.4,22.7,EQM,,,,,,,
Kirkleatham_1,,NZ_5879_2127,458790,521270,54.583,-1.092,935,30.4,21.9,EQM,,,,,,,
Tocketts_1,,NZ_6314_1810,463140,518100,54.554,-1.025,191,15.9,32.5,EQM,,,27.5,1.80,49,,Bullard_and_niblett_(1951)
Tocketts_1,,NZ_6314_1810,463140,518100,54.554,-1.025,281,18.9,32.7,EQM,,,,,,,
Tocketts_1,,NZ_6314_1810,463140,518100,54.554,-1.025,429,24.4,34.3,EQM,,MARL,,,,,
Tocketts_1,,NZ_6314_1810,463140,518100,54.554,-1.025,572,27.9,31.8,EQM,,SDST,,,,,
Tocketts_1,,NZ_6314_1810,463140,518100,54.554,-1.025,715,30.6,29.2,EQM,,SHAL,,,,,
Tocketts_1,,NZ_6314_1810,463140,518100,54.554,-1.025,810,32.8,28.5,EQM,,LMST,,,,,
Tocketts_1,,NZ_6314_1810,463140,518100,54.554,-1.025,906,35.7,28.7,EQM,,,,,,,
Boulby,,NZ_7611_84,476100,518400,54.555,-0.825,1087,39.9,28.0,EQM,,MARL,21.0,2.23,47,,OXBURGH_AND_RICHARDSSON
Egton_Moor,,NZ_7695_0278,476950,502780,54.415,-0.816,1226,30.0,17.8,BHT,,,,,,,
South_Hetton,,NZ_3824_53,438200,545300,54.801,-1.407,1633,46.1,23.2,BHT,,,,,,,
South_Hetton,,NZ_3824_53,438200,545300,54.801,-1.407,355,18.9,27.0,EQM,,,,,58,76,Bott_et_al._(1972)_&_chadwick_(1956)
South_Hetton,,NZ_3824_53,438200,545300,54.801,-1.407,386,20.4,28.8,EQM,,,,,,,
South_Hetton,,NZ_3824_53,438200,545300,54.801,-1.407,416,21.1,28.4,EQM,,,,,,,
South_Hetton,,NZ_3824_53,438200,545300,54.801,-1.407,447,22.2,28.9,EQM,,SDST,,2.77,,,
South_Hetton,,NZ_3824_53,438200,545300,54.801,-1.407,477,23.6,30.0,EQM,,SHALE,,1.36,,,
South_Hetton,,NZ_3824_53,438200,545300,54.801,-1.407,508,24.4,29.7,EQM,,COAL,,0.24,,,
South_Hetton,,NZ_3824_53,438200,545300,54.801,-1.407,521,24.2,28.6,EQM,,,,,,,
South_Hetton,,NZ_3824_53,438200,545300,54.801,-1.407,529,25.0,29.7,EQM,,,,,,,
Sleights_A1,,NZ_8280_83,482800,508300,54.463,-0.724,1369,50.6,30.7,LOG,,,,,,,
Ugthorpe_A19,,NZ_8142_1171,481420,511710,54.494,-0.744,1390,46.1,26.5,LOG,,,,,,,
Bolden_Colliery,,NZ_3466_23,434600,562300,54.954,-1.461,1365,23.9,10.3,CFM,,,,,,,
Bolden_Colliery,,NZ_3466_23,434600,562300,54.954,-1.461,1514,26.1,10.8,CFM,,,,,,,
Roosecote,,SD_2304_6866,323040,468660,54.108040,-3.1786091,791,29.4,24.1,LOG,,,,,,,
Raydale,,SD_9026_8474,390260,484740,54.258236,-2.1510130,285,19.0,35.4,DST,,,,,,,
Raydale,,SD_9026_8474,390260,484740,54.258236,-2.1510130,450,20.9,26.7,LOG,,,,,,,
Raydale,,SD_9026_8474,390260,484740,54.258236,-2.1510130,593,23.2,24.1,EQM,,GRAN,19.5,3.65,65,,OXBURGH_AND_RICHARDSSON
Boulsworth,,SD_9269_3479,392690,434790,53.809347,-2.1124905,1814,57.2,27.2,BHT,,,,,,,
Boulsworth,,SD_9269_3479,392690,434790,53.809347,-2.1124905,1919,57.2,25.7,DST,,,,,,,
