summary,Climate Hydrology Ecology Support System subset,
originalResource,{"url":"https://eip.ceh.ac.uk/apps/chess/","title":"EIP | CHESS"},
metadataURL,https://catalogue.ceh.ac.uk/documents/80887755-1426-4dab-a4a6-250919d5020c,https://catalogue.ceh.ac.uk/documents/d329f4d6-95ba-4134-b77a-a377e0755653,
termsAndConditions,Licensing conditions apply,CHESS Met https://catalogue.ceh.ac.uk/documents/80887755-1426-4dab-a4a6-250919d5020c,CHESS PET https://catalogue.ceh.ac.uk/documents/d329f4d6-95ba-4134-b77a-a377e0755653,
credits,CEH, Terms and conditions apply,
location,{"type":"point","x":241843.56108712236,"y":666182.5804098262,"spatialReference":{"wkid":27700}},
DATES,Surface Downwelling Shortwave Radiation (W m-2)
1999-06-30,123.69398
1999-07-01,201.32281
1999-07-02,139.23045
1999-07-03,127.10897
1999-07-04,161.30385
1999-07-05,245.82062
1999-07-06,152.90945
1999-07-07,128.55296
1999-07-08,249.20004
1999-07-09,302.13486
1999-07-10,141.18567
1999-07-11,273.19202
1999-07-12,299.49854
1999-07-13,126.92756
1999-07-14,179.51443
1999-07-15,197.27365
1999-07-16,141.10638
1999-07-17,132.02258
1999-07-18,114.68586
1999-07-19,107.01791
1999-07-20,113.8431
1999-07-21,111.85656
1999-07-22,250.81378
1999-07-23,179.47485
1999-07-24,153.00465
1999-07-25,150.30925
1999-07-26,328.47998
1999-07-27,326.99066
1999-07-28,256.74765
1999-07-29,260.5525
1999-07-30,290.7142
1999-07-31,262.96854
1999-08-01,235.21442
1999-08-02,152.58878
1999-08-03,154.06067
1999-08-04,170.6071
1999-08-05,129.11925
1999-08-06,209.35234
1999-08-07,51.92295
1999-08-08,143.2406
1999-08-09,112.288315
1999-08-10,180.29068
1999-08-11,139.27512
1999-08-12,157.62253
1999-08-13,128.22905
1999-08-14,150.10231
1999-08-15,145.88022
1999-08-16,217.7757
1999-08-17,92.412926
1999-08-18,158.46736
1999-08-19,162.99413
1999-08-20,123.362976
1999-08-21,205.2688
1999-08-22,240.82286
1999-08-23,208.96204
1999-08-24,180.53304
1999-08-25,80.111046
1999-08-26,117.63133
1999-08-27,132.24547
1999-08-28,177.8787
1999-08-29,114.34805
1999-08-30,99.1915
1999-08-31,83.17042
1999-09-01,40.8056
1999-09-02,147.20895
1999-09-03,110.376526
1999-09-04,129.73502
1999-09-05,113.11108
1999-09-06,81.323616
1999-09-07,156.11523
1999-09-08,82.608345
1999-09-09,176.72073
1999-09-10,162.81876
1999-09-11,67.499825
1999-09-12,133.224
1999-09-13,129.89117
1999-09-14,163.87036
1999-09-15,154.84074
1999-09-16,71.14964
1999-09-17,109.677795
1999-09-18,66.23386
1999-09-19,68.10043
1999-09-20,58.337456
1999-09-21,118.260056
1999-09-22,119.134125
1999-09-23,93.964935
1999-09-24,67.5301
1999-09-25,93.71925
1999-09-26,86.17476
1999-09-27,64.078735
1999-09-28,85.92836
1999-09-29,67.82727
1999-09-30,56.62278
1999-10-01,60.922493
1999-10-02,84.540985
1999-10-03,88.973785
1999-10-04,114.861015
1999-10-05,92.43846
1999-10-06,59.197052
1999-10-07,63.575806
1999-10-08,41.265354
1999-10-09,43.185566
1999-10-10,57.493473
1999-10-11,92.21631
1999-10-12,48.53868
1999-10-13,48.660164
1999-10-14,47.576973
1999-10-15,63.296425
1999-10-16,49.225254
1999-10-17,58.420494
1999-10-18,78.09488
1999-10-19,57.511997
1999-10-20,69.45859
1999-10-21,36.309624
1999-10-22,65.30766
1999-10-23,46.1565
1999-10-24,43.5733
1999-10-25,38.961277
1999-10-26,38.875187
1999-10-27,27.969004
1999-10-28,63.53884
1999-10-29,31.553371
1999-10-30,26.100964
1999-10-31,42.834892
1999-11-01,28.480549
1999-11-02,47.55874
1999-11-03,24.11225
1999-11-04,25.138103
1999-11-05,24.072777
1999-11-06,53.251617
1999-11-07,11.958172
1999-11-08,35.133354
1999-11-09,45.167023
1999-11-10,48.227825
1999-11-11,19.718292
1999-11-12,19.866213
1999-11-13,20.049044
1999-11-14,20.294113
1999-11-15,25.855465
1999-11-16,41.12524
1999-11-17,23.957897
1999-11-18,42.375034
1999-11-19,36.663536
1999-11-20,33.092854
1999-11-21,17.125431
1999-11-22,22.759663
1999-11-23,18.320127
1999-11-24,19.899878
1999-11-25,16.230888
1999-11-26,15.993664
1999-11-27,23.673504
1999-11-28,13.949576
1999-11-29,31.715145
1999-11-30,14.152111
1999-12-01,21.585201
1999-12-02,15.923008
1999-12-03,15.545199
1999-12-04,21.595556
1999-12-05,6.899312
1999-12-06,14.068802
1999-12-07,14.981637
1999-12-08,18.273006
1999-12-09,15.41823
1999-12-10,16.583939
1999-12-11,6.4615326
1999-12-12,13.401521
1999-12-13,19.194536
1999-12-14,18.27734
1999-12-15,20.065922
1999-12-16,11.4683075
1999-12-17,22.137398
1999-12-18,13.286911
1999-12-19,21.107357
1999-12-20,6.2044954
1999-12-21,22.964355
1999-12-22,6.211576
1999-12-23,12.880603
1999-12-24,13.454621
1999-12-25,11.555562
1999-12-26,13.216918
1999-12-27,14.248268
1999-12-28,25.59336
1999-12-29,25.256176
1999-12-30,6.4739523
1999-12-31,12.726796
2000-01-01,15.652711
2000-01-02,18.079178
2000-01-03,13.745989
2000-01-04,14.558477
2000-01-05,12.784444
2000-01-06,29.068727
2000-01-07,7.1186004
2000-01-08,17.336454
2000-01-09,31.56955
2000-01-10,14.79047
2000-01-11,13.714737
2000-01-12,16.18564
2000-01-13,18.32943
2000-01-14,29.64107
2000-01-15,28.804531
2000-01-16,21.689344
2000-01-17,31.474665
2000-01-18,28.140778
2000-01-19,22.666313
2000-01-20,30.858576
2000-01-21,24.573736
2000-01-22,33.62138
2000-01-23,36.005093
2000-01-24,44.44997
2000-01-25,36.64396
2000-01-26,10.281067
2000-01-27,10.514059
2000-01-28,21.588434
2000-01-29,25.950546
2000-01-30,11.253749
2000-01-31,11.513878
2000-02-01,32.413757
2000-02-02,40.4195
2000-02-03,25.408909
2000-02-04,24.126081
2000-02-05,24.702034
2000-02-06,24.070854
2000-02-07,24.88315
2000-02-08,40.11178
2000-02-09,34.811996
2000-02-10,48.10293
2000-02-11,37.96106
2000-02-12,45.11579
2000-02-13,74.343254
2000-02-14,34.998817
2000-02-15,45.995285
2000-02-16,58.73272
2000-02-17,50.129646
2000-02-18,33.975433
2000-02-19,89.98355
2000-02-20,51.535866
2000-02-21,85.00559
2000-02-22,43.107616
2000-02-23,42.4049
2000-02-24,40.931667
2000-02-25,72.81821
2000-02-26,57.60082
2000-02-27,37.955894
2000-02-28,66.2065
2000-02-29,60.272602
2000-03-01,107.38696
2000-03-02,41.591057
2000-03-03,99.943306
2000-03-04,88.14024
2000-03-05,63.469585
2000-03-06,54.9355
2000-03-07,49.459663
2000-03-08,61.95979
2000-03-09,51.852203
2000-03-10,56.672493
2000-03-11,104.90964
2000-03-12,56.49035
2000-03-13,53.515312
2000-03-14,101.892914
2000-03-15,60.030003
2000-03-16,56.48611
2000-03-17,67.21766
2000-03-18,135.98428
2000-03-19,102.09137
2000-03-20,115.97966
2000-03-21,64.52555
2000-03-22,113.26283
2000-03-23,69.70717
2000-03-24,97.00192
2000-03-25,118.34195
2000-03-26,159.84377
2000-03-27,118.0002
2000-03-28,111.433975
2000-03-29,94.608345
2000-03-30,90.53313
2000-03-31,67.398
2000-04-01,78.63582
2000-04-02,37.806534
2000-04-03,141.54964
2000-04-04,208.59537
2000-04-05,219.85056
2000-04-06,223.55566
2000-04-07,114.18399
2000-04-08,94.608955
2000-04-09,108.16724
2000-04-10,94.10099
2000-04-11,83.13537
2000-04-12,85.81008
2000-04-13,105.46458
2000-04-14,199.95065
2000-04-15,183.38208
2000-04-16,185.25705
2000-04-17,94.34762
2000-04-18,191.89258
2000-04-19,191.86655
2000-04-20,207.50842
2000-04-21,169.21751
2000-04-22,179.77809
2000-04-23,173.16516
2000-04-24,138.7829
2000-04-25,88.52488
2000-04-26,49.13057
2000-04-27,135.65288
2000-04-28,180.21312
2000-04-29,126.85599
2000-04-30,285.36093
2000-05-01,259.73016
2000-05-02,261.21597
2000-05-03,193.56726
2000-05-04,292.0129
2000-05-05,293.9321
2000-05-06,273.54166
2000-05-07,266.69598
2000-05-08,323.55258
2000-05-09,300.33545
2000-05-10,210.25598
2000-05-11,278.50793
2000-05-12,294.11975
2000-05-13,293.33054
2000-05-14,277.83124
2000-05-15,195.16974
2000-05-16,106.46652
2000-05-17,205.76912
2000-05-18,174.78374
2000-05-19,215.3901
2000-05-20,130.6415
2000-05-21,204.04623
2000-05-22,285.19116
2000-05-23,178.79866
2000-05-24,258.49213
2000-05-25,286.09546
2000-05-26,268.32086
2000-05-27,186.95575
2000-05-28,231.28452
2000-05-29,291.54236
2000-05-30,294.93872
2000-05-31,217.1756
2000-06-01,137.65933
2000-06-02,213.34793
2000-06-03,202.84155
2000-06-04,60.8201
2000-06-05,113.09901
2000-06-06,146.01418
2000-06-07,196.89561
2000-06-08,118.95297
2000-06-09,131.64893
2000-06-10,220.35551
2000-06-11,173.79092
2000-06-12,145.4852
2000-06-13,286.44693
2000-06-14,246.62021
2000-06-15,289.87878
2000-06-16,309.7975
2000-06-17,168.41084
2000-06-18,249.41016
2000-06-19,225.84457
2000-06-20,166.81294
2000-06-21,175.0365
2000-06-22,172.64194
2000-06-23,123.882095
2000-06-24,170.24643
2000-06-25,233.36261
2000-06-26,241.65253
2000-06-27,208.19504
2000-06-28,191.30052
2000-06-29,143.49478
2000-06-30,229.42804
