summary,Climate Hydrology Ecology Support System subset,
originalResource,{"url":"https://eip.ceh.ac.uk/apps/chess/","title":"EIP | CHESS"},
metadataURL,https://catalogue.ceh.ac.uk/documents/80887755-1426-4dab-a4a6-250919d5020c,https://catalogue.ceh.ac.uk/documents/d329f4d6-95ba-4134-b77a-a377e0755653,
termsAndConditions,Licensing conditions apply,CHESS Met https://catalogue.ceh.ac.uk/documents/80887755-1426-4dab-a4a6-250919d5020c,CHESS PET https://catalogue.ceh.ac.uk/documents/d329f4d6-95ba-4134-b77a-a377e0755653,
credits,CEH, Terms and conditions apply,
location,{"type":"point","x":334132.7787655574,"y":658017.530274143,"spatialReference":{"wkid":27700}},
DATES,Surface Downwelling Shortwave Radiation (W m-2)
2010-02-20,79.29559
2010-02-21,67.65027
2010-02-22,79.63816
2010-02-23,65.17294
2010-02-24,20.3397
2010-02-25,37.674976
2010-02-26,21.200047
2010-02-27,43.538635
2010-02-28,48.517475
2010-03-01,104.78698
2010-03-02,111.114
2010-03-03,82.47914
2010-03-04,111.724365
2010-03-05,63.916405
2010-03-06,57.358845
2010-03-07,80.37425
2010-03-08,70.353386
2010-03-09,78.52949
2010-03-10,129.03409
2010-03-11,79.19221
2010-03-12,73.59333
2010-03-13,107.95909
2010-03-14,91.74503
2010-03-15,68.76149
2010-03-16,67.54851
2010-03-17,85.85234
2010-03-18,59.713985
2010-03-19,124.67078
2010-03-20,89.902245
2010-03-21,100.69612
2010-03-22,84.92848
2010-03-23,33.294308
2010-03-24,62.75438
2010-03-25,64.15623
2010-03-26,69.719154
2010-03-27,148.47073
2010-03-28,99.44827
2010-03-29,87.874245
2010-03-30,36.912785
2010-03-31,67.99269
2010-04-01,176.40736
2010-04-02,161.22314
2010-04-03,99.53283
2010-04-04,116.39293
2010-04-05,76.81745
2010-04-06,77.87143
2010-04-07,184.1174
2010-04-08,135.76033
2010-04-09,100.05089
2010-04-10,192.21739
2010-04-11,208.91484
2010-04-12,221.18297
2010-04-13,128.68233
2010-04-14,186.9981
2010-04-15,114.49073
2010-04-16,263.4756
2010-04-17,199.68433
2010-04-18,114.005005
2010-04-19,147.35873
2010-04-20,203.48769
2010-04-21,216.74362
2010-04-22,177.35449
2010-04-23,48.83049
2010-04-24,154.13739
2010-04-25,108.45561
2010-04-26,185.67029
2010-04-27,96.93695
2010-04-28,129.10913
2010-04-29,125.308174
2010-04-30,170.6517
2010-05-01,110.89168
2010-05-02,123.5846
2010-05-03,191.62814
2010-05-04,131.93637
2010-05-05,121.01717
2010-05-06,113.926125
2010-05-07,226.64362
2010-05-08,217.99493
2010-05-09,176.82133
2010-05-10,150.36282
2010-05-11,205.06729
2010-05-12,244.46176
2010-05-13,167.06273
2010-05-14,180.08682
2010-05-15,264.95816
2010-05-16,195.86812
2010-05-17,214.00987
2010-05-18,313.5235
2010-05-19,144.25854
2010-05-20,177.53024
2010-05-21,251.02667
2010-05-22,317.7267
2010-05-23,263.89746
2010-05-24,206.04451
2010-05-25,212.86029
2010-05-26,204.05989
2010-05-27,203.42245
2010-05-28,243.5724
2010-05-29,151.93947
2010-05-30,188.62613
2010-05-31,300.43784
2010-06-01,149.06612
2010-06-02,252.50932
2010-06-03,317.86316
2010-06-04,277.24268
2010-06-05,257.52765
2010-06-06,62.794678
2010-06-07,120.931816
2010-06-08,63.05349
2010-06-09,63.168633
2010-06-10,161.8346
2010-06-11,164.67667
2010-06-12,195.05243
2010-06-13,120.08248
2010-06-14,146.4254
2010-06-15,227.74734
2010-06-16,227.52278
2010-06-17,234.99194
2010-06-18,251.7402
2010-06-19,239.9187
2010-06-20,251.08264
2010-06-21,243.01694
2010-06-22,340.1399
2010-06-23,178.2815
2010-06-24,180.9931
2010-06-25,173.21405
2010-06-26,200.89929
2010-06-27,242.1727
2010-06-28,227.48306
2010-06-29,224.06505
2010-06-30,247.29364
