summary,Climate Hydrology Ecology Support System subset,
originalResource,{"url":"https://eip.ceh.ac.uk/apps/chess/","title":"EIP | CHESS"},
metadataURL,https://catalogue.ceh.ac.uk/documents/80887755-1426-4dab-a4a6-250919d5020c,https://catalogue.ceh.ac.uk/documents/d329f4d6-95ba-4134-b77a-a377e0755653,
termsAndConditions,Licensing conditions apply,CHESS Met https://catalogue.ceh.ac.uk/documents/80887755-1426-4dab-a4a6-250919d5020c,CHESS PET https://catalogue.ceh.ac.uk/documents/d329f4d6-95ba-4134-b77a-a377e0755653,
credits,CEH, Terms and conditions apply,
location,{"type":"point","x":334132.7787655574,"y":658017.530274143,"spatialReference":{"wkid":27700}},
DATES,Surface Downwelling Shortwave Radiation (W m-2)
2012-02-20,36.244244
2012-02-21,38.90605
2012-02-22,38.156868
2012-02-23,42.56702
2012-02-24,76.44365
2012-02-25,50.194897
2012-02-26,47.344177
2012-02-27,40.302746
2012-02-28,48.39932
2012-02-29,48.82975
2012-03-01,67.2962
2012-03-02,55.73966
2012-03-03,59.39004
2012-03-04,70.13001
2012-03-05,114.83108
2012-03-06,71.212265
2012-03-07,100.0912
2012-03-08,63.409607
2012-03-09,79.92899
2012-03-10,59.02845
2012-03-11,117.06963
2012-03-12,92.54817
2012-03-13,58.62034
2012-03-14,65.8665
2012-03-15,74.65244
2012-03-16,64.687675
2012-03-17,127.44517
2012-03-18,143.71841
2012-03-19,72.61468
2012-03-20,90.7637
2012-03-21,120.432915
2012-03-22,171.92917
2012-03-23,92.081024
2012-03-24,108.662796
2012-03-25,168.54163
2012-03-26,185.62898
2012-03-27,190.2444
2012-03-28,170.43848
2012-03-29,182.07025
2012-03-30,197.75226
2012-03-31,141.73639
2012-04-01,142.18478
2012-04-02,38.978184
2012-04-03,89.526764
2012-04-04,147.9661
2012-04-05,148.89273
2012-04-06,41.02713
2012-04-07,81.89058
2012-04-08,86.444786
2012-04-09,99.28218
2012-04-10,87.08711
2012-04-11,115.19364
2012-04-12,123.49758
2012-04-13,148.9012
2012-04-14,160.04118
2012-04-15,170.58093
2012-04-16,153.46976
2012-04-17,138.19086
2012-04-18,144.56888
2012-04-19,101.90948
2012-04-20,121.63487
2012-04-21,108.030655
2012-04-22,135.08597
2012-04-23,134.02248
2012-04-24,129.80281
2012-04-25,101.183334
2012-04-26,50.629333
2012-04-27,165.25812
2012-04-28,224.96284
2012-04-29,159.13074
2012-04-30,107.76217
2012-05-01,165.2198
2012-05-02,170.009
2012-05-03,208.97801
2012-05-04,145.2325
2012-05-05,217.01508
2012-05-06,222.87038
2012-05-07,121.708694
2012-05-08,185.43219
2012-05-09,202.0502
2012-05-10,56.22854
2012-05-11,126.00161
2012-05-12,278.15695
2012-05-13,120.60179
2012-05-14,207.7529
2012-05-15,202.24442
2012-05-16,204.58675
2012-05-17,58.539326
2012-05-18,58.83925
2012-05-19,157.76814
2012-05-20,313.80914
2012-05-21,283.13715
2012-05-22,337.20068
2012-05-23,338.04184
2012-05-24,288.90686
2012-05-25,324.74435
2012-05-26,372.4503
2012-05-27,340.95557
2012-05-28,306.06592
2012-05-29,156.14937
2012-05-30,113.26514
2012-05-31,112.876915
2012-06-01,205.63834
2012-06-02,175.74556
2012-06-03,192.43869
2012-06-04,237.07437
2012-06-05,183.59547
2012-06-06,119.9781
2012-06-07,131.07693
2012-06-08,63.168633
2012-06-09,128.1823
2012-06-10,134.2001
2012-06-11,127.839096
2012-06-12,159.54071
2012-06-13,186.44115
2012-06-14,201.0264
2012-06-15,63.70414
2012-06-16,63.741627
2012-06-17,123.81719
2012-06-18,266.3779
2012-06-19,254.6398
2012-06-20,265.62204
2012-06-21,115.66293
2012-06-22,142.3836
2012-06-23,131.27516
2012-06-24,155.19415
2012-06-25,162.7806
2012-06-26,199.10393
2012-06-27,118.239235
2012-06-28,128.4188
2012-06-29,155.47028
2012-06-30,199.7709
