X,Y,Elevation,Distance
-149536.83740000054,7331612.931000002,32.283400000000256,0
-149504.5709999986,7331533.023400001,32.68610000000626,0.05171099999999569
-149472.3044999987,7331453.116700001,32.260699999998906,0.10342200000000594
-149440.03810000047,7331373.211000003,32.46600000000035,0.15513289999999688
-149407.77160000056,7331293.3059,32.47980000000098,0.20684390000000713
-149375.50519999862,7331213.401600003,32.776700000002165,0.2585549000000028
-149343.2386999987,7331133.498199999,31.43850000000384,0.3102658999999985
-149310.9723000005,7331053.5956000015,31.59200000000419,0.3619768999999942
-149278.70580000058,7330973.693999998,33.11389999999665,0.41368790000000444
-149246.43939999863,7330893.792999998,33.50250000000233,0.4653987999999954
-149214.17289999872,7330813.892800003,30.887100000007194,0.5171098999999958
-149181.9065000005,7330733.9934,27.647899999996298,0.5688209000000061
-149149.6400000006,7330654.094899997,33.77079999999842,0.6205319000000018
-149117.37359999865,7330574.197400004,35.095100000005914,0.6722428000000072
-149085.10720000043,7330494.300499998,34.96850000000268,0.723953800000003
-149052.84070000052,7330414.4043999985,34.898300000000745,0.7756647999999986
-149020.57429999858,7330334.509199999,34.39590000000317,0.8273757999999943
-148988.3077000007,7330254.614699997,34.8524000000034,0.8790868000000046
-148956.04129999876,7330174.721299998,35.229000000006636,0.9307976999999955
-148923.77479999885,7330094.828500003,36.367599999997765,0.9825087000000058
-148891.50840000063,7330014.936499998,36.88159999999334,1.0342197000000015
-148859.24190000072,7329935.045299999,38.04159999999683,1.0859306999999971
-148826.97549999878,7329855.155000001,39.98720000000321,1.1376416999999927
-148794.70899999887,7329775.265600003,40.72809999999299,1.189352700000003
-148762.44260000065,7329695.376900002,40.385800000003655,1.241063599999994
-148730.1761999987,7329615.489,39.16610000000219,1.2927746000000042
-148697.9096999988,7329535.601899996,39.827699999994365,1.3444857000000047
-148665.64330000058,7329455.7157000005,40.206099999995786,1.3961965999999956
-148633.37680000067,7329375.8303999975,40.90769999999611,1.447907600000006
-148601.11039999872,7329295.945799999,41.32709999999497,1.4996186000000015
-148568.8438999988,7329216.061999999,42.452799999999115,1.5513295999999972
-148536.5775000006,7329136.178999998,43.798399999999674,1.603040599999993
-148504.3110000007,7329056.296800002,44.21279999999388,1.6547516000000033
-148472.04459999874,7328976.415399998,45.45639999999548,1.706462599999999
-148439.77809999883,7328896.535099998,45.94310000000405,1.7581735000000045
-148407.5117000006,7328816.6554000005,47.99850000000151,1.8098845000000001
-148375.245099999,7328736.776500002,47.240499999999884,1.8615954999999957
-148342.9787000008,7328656.898400001,47.381099999998696,1.913306500000006
-148310.71229999885,7328577.0211,47.159499999994296,1.9650175000000016
-148278.44579999894,7328497.144900002,46.865399999995134,2.0167284000000074
-148246.17940000072,7328417.269199997,46.375499999994645,2.068439400000003
-148213.9129000008,7328337.394400001,43.02139999999781,2.1201505000000034
-148181.64649999887,7328257.520400003,43.34219999999914,2.1718613999999943
-148149.37999999896,7328177.647200003,47.89849999999569,2.2235724999999946
-148117.11360000074,7328097.7751,47.50810000000638,2.2752834
-148084.84710000083,7328017.903499998,48.376699999993434,2.326994399999996
-148052.58069999888,7327938.032799996,48.258499999996275,2.378705400000006
-148020.31419999897,7327858.162900001,48.15439999999944,2.4304164000000017
-147988.04780000076,7327778.293799996,49.138000000006286,2.4821273999999977
-147955.7813999988,7327698.425700001,50.82159999999567,2.533838300000003
-147923.5148999989,7327618.558300003,51.213099999993574,2.585549299999999
-147891.2485000007,7327538.691600002,50.958499999993364,2.6372602999999945
-147858.98200000077,7327458.825800002,51.6423000000068,2.688971300000005
-147826.71559999883,7327378.9608,52.77499999999418,2.7406823000000004
-147794.44909999892,7327299.0967999995,52.48189999999886,2.792393200000006
-147762.1827000007,7327219.233499996,51.75,2.8441042000000016
-147729.9162000008,7327139.370899998,51.354999999995925,2.895815300000002
-147697.64979999885,7327059.509199999,46.90670000000682,2.947526199999993
-147665.38320000097,7326979.648199998,46.40020000000368,2.9992372999999932
-147633.11679999903,7326899.7883,47.57020000000193,3.0509481999999987
-147600.85029999912,7326819.929099999,48.01039999999921,3.1026591999999944
-147568.5839000009,7326740.070600003,50.215500000005704,3.1543702000000046
-147556.57239999995,7326644.463500001,49.8640000000014,3.2062492000000055
-147544.56080000102,7326548.857500002,47.298500000004424,3.2581282000000064
-147532.54940000176,7326453.252700001,44.284499999994296,3.3100071999999927
-147520.53779999912,7326357.649099998,45.26970000000438,3.3618861999999936
-147508.52629999816,7326262.046700001,47.885699999998906,3.4137652999999992
-147496.51469999924,7326166.4454,48.907600000005914,3.4656443
-147484.5031999983,7326070.845299996,48.962899999998626,3.5175233000000005
-147472.49159999937,7325975.246399999,49.2213999999949,3.5694023000000014
-147460.4800999984,7325879.648599997,49.923399999999674,3.6212813000000023
-147448.4686000012,7325784.052000001,53.382400000002235,3.6731603000000032
-147436.45699999854,7325688.456600003,56.173399999999674,3.7250393999999942
-147424.44559999928,7325592.862400003,58.94310000000405,3.776918399999995
-147412.43400000036,7325497.269299999,68.07799999999406,3.828797399999996
-147400.4224999994,7325401.6774,66.2094999999972,3.8806763999999964
-147388.41090000048,7325306.0867,63.939100000003236,3.932555500000002
-147376.39939999953,7325210.497100003,55.169800000003306,3.984434500000003
-147364.38789999858,7325114.908699997,39.944699999992736,4.036313500000004
-147352.37629999965,7325019.3213,43.42720000000554,4.088192599999995
-147340.3647999987,7324923.735299997,45.6417999999976,4.140071599999995
-147328.35319999978,7324828.150399998,48.41670000000158,4.191950599999997
-147316.34180000052,7324732.566699997,60.9036000000051,4.243829700000002
